period,provider,product,actual_contract,data_role,quality_status,status,min_datetime,max_datetime,checksum,standard_path,market_data_file_id,quality_report_ids,data_version
1d,rqdata,jm,JM2305,primary,passed,success,2022-12-06T00:00:00+00:00,2023-04-12T00:00:00+00:00,301e1d0c4409e05b34ce844e82fe43361d4b55c2663915aabf2701c5fc561810,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2305/JM2305_1d_20221206_20230412.parquet,86646,[83871],rq_acb_jm_JM2305_1d_20221206_20230412_v1
1d,rqdata,jm,JM2309,primary,passed,success,2023-04-13T00:00:00+00:00,2023-08-10T00:00:00+00:00,3779025ef05bdb623bae9aac9c9f6a1a41aa3fc9226ffcaa7a11c780fc671c9f,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2309/JM2309_1d_20230413_20230810.parquet,42430,[83873],rq_acb_jm_JM2309_1d_20230413_20230810_v1
1d,rqdata,jm,JM2401,primary,passed,success,2023-08-11T00:00:00+00:00,2023-12-06T00:00:00+00:00,bb083ef6a9523673f357b3ecf5c4eea328907c30e42f9f81d76a0e3e813fa3e7,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2401/JM2401_1d_20230811_20231206.parquet,42432,[83875],rq_acb_jm_JM2401_1d_20230811_20231206_v1
1d,rqdata,jm,JM2405,primary,passed,success,2023-12-07T00:00:00+00:00,2024-04-09T00:00:00+00:00,bf23c94b805d3dfe7767e31f1b47b8385ca44b11047d6ccb5cd5bcf28021de48,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2405/JM2405_1d_20231207_20240409.parquet,42434,[83877],rq_acb_jm_JM2405_1d_20231207_20240409_v1
1d,rqdata,jm,JM2409,primary,passed,success,2024-04-10T00:00:00+00:00,2024-08-15T00:00:00+00:00,7ed109cf32c79a4dacb7183cf761bdb70ade2d5bc51cc9467f0b4b670043d0ec,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2409/JM2409_1d_20240410_20240815.parquet,42436,[83879],rq_acb_jm_JM2409_1d_20240410_20240815_v1
1d,rqdata,jm,JM2501,primary,passed,success,2024-08-16T00:00:00+00:00,2024-12-17T00:00:00+00:00,8d6d24ab08c61b8980f93115c4451be46530ede272a5b31ffdd554820a3cc8d4,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2501/JM2501_1d_20240816_20241217.parquet,42438,[83881],rq_acb_jm_JM2501_1d_20240816_20241217_v1
1d,rqdata,jm,JM2505,primary,passed,success,2024-12-18T00:00:00+00:00,2025-04-14T00:00:00+00:00,f53ee7f8d2c36f209589866295d1419a48c2abb8b2390cb3cc81eb5907876633,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2505/JM2505_1d_20241218_20250414.parquet,42440,[83883],rq_acb_jm_JM2505_1d_20241218_20250414_v1
1d,rqdata,jm,JM2509,primary,passed,success,2025-04-15T00:00:00+00:00,2025-07-30T00:00:00+00:00,b7d6d73b40e5ee7827bf7f6825131612250610eee5a0096c69d04d6190bb9a5c,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2509/JM2509_1d_20250415_20250730.parquet,42442,[83885],rq_acb_jm_JM2509_1d_20250415_20250730_v1
1d,rqdata,jm,JM2601,primary,passed,success,2025-07-31T00:00:00+00:00,2025-12-04T00:00:00+00:00,8b66d9f7b70ef7a4a354bb518a42301066decb7485db1ac89aa0747d7f76b408,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2601/JM2601_1d_20250731_20251204.parquet,42444,[83887],rq_acb_jm_JM2601_1d_20250731_20251204_v1
1d,rqdata,jm,JM2605,primary,passed,success,2025-12-05T00:00:00+00:00,2026-04-15T00:00:00+00:00,1360e47306a05db0fa8d190b472d69cdc6684f0aaca75d76bffc3503c09831ab,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2605/JM2605_1d_20251205_20260415.parquet,86666,[83889],rq_acb_jm_JM2605_1d_20251205_20260415_v1
