period,provider,source,product,actual_contract,data_role,quality_status,row_count,min_datetime,max_datetime,checksum,standard_path,market_data_file_id,data_quality_report_id,data_version,status,repair_batch
1m,rqdata,rqdata,p,P1601,primary,passed,43275,2015-06-04T21:01:00,2015-11-26T15:00:00,860d3223ec92b197ebbd4e966b4cd42e7a2cd58b028f8233ec8a662c553f6032,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1601/P1601_1m_20150605_20151126.parquet,102722,115234,rq_acb_p_P1601_1m_20150605_20151126_v1,success,metadata-registration-missing-001
1m,rqdata,rqdata,p,P1405,primary,passed,17100,2013-11-05T09:01:00,2014-02-26T15:00:00,ebdc0b2ae412050474d8fa0b7b833834a57b38de7a13fe3bcc5c2647f7383bc7,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1405/P1405_1m_20131105_20140226.parquet,102724,115236,rq_acb_p_P1405_1m_20131105_20140226_v1,success,metadata-registration-missing-001
1m,rqdata,rqdata,p,P1301,primary,passed,21150,2012-06-07T09:01:00,2012-10-24T15:00:00,729afe37507ec2d87e520502d283589a5cc2201cecbe94b4d1ce13e82134656b,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1301/P1301_1m_20120607_20121024.parquet,102725,115237,rq_acb_p_P1301_1m_20120607_20121024_v1,success,metadata-registration-missing-001
1m,rqdata,rqdata,p,P1209,primary,passed,20250,2012-01-19T09:01:00,2012-06-06T15:00:00,84754e97f44bd0a7d9e38a1df736e8d5e5eba6d7f5c07d46b2575e457d05d64b,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1209/P1209_1m_20120119_20120606.parquet,102726,115238,rq_acb_p_P1209_1m_20120119_20120606_v1,success,metadata-registration-missing-001
1m,rqdata,rqdata,p,P1509,primary,passed,29775,2015-03-09T21:01:00,2015-06-04T15:00:00,773b0b886f3a2002a30659ce57b0fc3ecb9a7f0f39672f02ebe5d39b283a4337,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1509/P1509_1m_20150310_20150604.parquet,102727,115239,rq_acb_p_P1509_1m_20150310_20150604_v1,success,metadata-registration-missing-001
1m,rqdata,rqdata,p,P1101,primary,passed,21375,2010-04-28T09:01:00,2010-09-13T15:00:00,9f2d9edc34f91990aa999029228ca04b7f14e05730eb0883a2923465cef6ace9,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1101/P1101_1m_20100428_20100913.parquet,102728,115240,rq_acb_p_P1101_1m_20100428_20100913_v1,success,metadata-registration-missing-001
1m,rqdata,rqdata,p,P1205,primary,passed,27675,2011-07-20T09:01:00,2012-01-18T15:00:00,f15b5c98c8680a976586f2d37f3c983d549a3f65c803675ad148b1158b4b04f0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1205/P1205_1m_20110720_20120118.parquet,102729,115241,rq_acb_p_P1205_1m_20110720_20120118_v1,success,metadata-registration-missing-001
1m,rqdata,rqdata,p,P1505,primary,passed,43185,2014-11-07T21:01:00,2015-03-09T15:00:00,6201f205d8c9194d819204127097f2b35ff1f28b991647835d17e68aa29589f6,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1505/P1505_1m_20141110_20150309.parquet,102730,115242,rq_acb_p_P1505_1m_20141110_20150309_v1,success,metadata-registration-missing-001
1m,rqdata,rqdata,p,P1605,primary,passed,26700,2015-11-26T21:01:00,2016-03-15T15:00:00,67b86991bc599e8778cd1c9f4357532eabc1872cffc0f6107db6255f83fc17c5,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1605/P1605_1m_20151127_20160315.parquet,102731,115243,rq_acb_p_P1605_1m_20151127_20160315_v1,success,metadata-registration-missing-001
1m,rqdata,rqdata,p,P1201,primary,passed,15525,2011-04-12T09:01:00,2011-07-19T15:00:00,5535cceefab296a75502a6ea63fe8f397e00e7c274c663aa6e474c3c459f0f2c,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1201/P1201_1m_20110412_20110719.parquet,102732,115244,rq_acb_p_P1201_1m_20110412_20110719_v1,success,metadata-registration-missing-001
