contract,period,source_role,data_version,canonical_path,raw_path,row_count,min_datetime,max_datetime,checksum,quality_status,market_data_file_id,data_quality_report_id
JM2609,15m,derived_from_1m,s6_03_20260717_0bfd88fc_jm_JM2609_15m_d1m_20260717_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=jm/contract=JM2609/batch=s6_03_20260717_0bfd88fc/JM2609_15m_20260401_20260717_derived_from_1m_s6_03_20260717_0bfd88fc.parquet,,544,2026-06-12T21:15:00,2026-07-17T15:00:00,d4c38b2335f5db97a42a17c0118fed679558d8535d0a9a02d31d481520fd7ba7,passed,103943,116001
JM2609,1d,direct,s6_03_20260717_0bfd88fc_jm_JM2609_1d_d_20260717_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2609/batch=s6_03_20260717_0bfd88fc/JM2609_1d_20260401_20260717_direct_s6_03_20260717_0bfd88fc.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/jm_historical_catchup/batch=s6_03_20260717_0bfd88fc/actual/JM2609_1d_raw.parquet,103,2026-04-01T15:00:00,2026-07-17T00:00:00,ff066c9b0bc34f26dbaaa77887f489add22b568aec95c4c3b72f81af17e2f29c,passed,103941,115999
JM2609,1m,direct,s6_03_20260717_0bfd88fc_jm_JM2609_1m_d_20260717_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=jm/contract=JM2609/batch=s6_03_20260717_0bfd88fc/JM2609_1m_20260401_20260717_direct_s6_03_20260717_0bfd88fc.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/jm_historical_catchup/batch=s6_03_20260717_0bfd88fc/actual/JM2609_1m_raw.parquet,8160,2026-06-12T21:01:00,2026-07-17T15:00:00,f73b859f7a26db0603f5802e6eb2f7782abca3419e80bb116948f88d2d60d10b,passed,103939,115998
JM2609,30m,derived_from_1m,s6_03_20260717_0bfd88fc_jm_JM2609_30m_d1m_20260717_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=jm/contract=JM2609/batch=s6_03_20260717_0bfd88fc/JM2609_30m_20260401_20260717_derived_from_1m_s6_03_20260717_0bfd88fc.parquet,,284,2026-06-12T21:30:00,2026-07-17T15:00:00,d432e3be22d4751de261d526ffe1a44f30e4a6ce2ad546a8a2fc86071fef8b23,passed,103944,116002
JM2609,5m,derived_from_1m,s6_03_20260717_0bfd88fc_jm_JM2609_5m_d1m_20260717_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=jm/contract=JM2609/batch=s6_03_20260717_0bfd88fc/JM2609_5m_20260401_20260717_derived_from_1m_s6_03_20260717_0bfd88fc.parquet,,1632,2026-06-12T21:05:00,2026-07-17T15:00:00,44837468fb8a657d8e0e38351c83bf3cc2839a7ce6da1b2036529cc613232b33,passed,103942,116000
JM2609,60m,derived_from_1m,s6_03_20260717_0bfd88fc_jm_JM2609_60m_d1m_20260717_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=jm/contract=JM2609/batch=s6_03_20260717_0bfd88fc/JM2609_60m_20260401_20260717_derived_from_1m_s6_03_20260717_0bfd88fc.parquet,,166,2026-06-12T22:00:00,2026-07-17T15:00:00,73e821f552827fd9b39d1bf2b81d898d385033bb1fe2b1eea511fd512748dfbb,passed,103945,116003
jm.MAIN,15m,derived_from_1m,s6_03_20260717_0bfd88fc_jm_jm_MAIN_15m_d1m_20260717_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=jm/contract=jm.MAIN/batch=s6_03_20260717_0bfd88fc/jm_MAIN_15m_20130322_20260717_derived_from_1m_s6_03_20260717_0bfd88fc.parquet,,72856,2013-03-22T09:15:00,2026-07-17T15:00:00,67b8ea4efe27f37911fd351026ed55213e9877670fca3a535c2029006681bc18,passed,103934,115994
jm.MAIN,1d,derived_from_1m,s6_03_20260717_0bfd88fc_jm_jm_MAIN_1d_d1m_20260717_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=jm.MAIN/batch=s6_03_20260717_0bfd88fc/jm_MAIN_1d_20130322_20260717_derived_from_1m_s6_03_20260717_0bfd88fc.parquet,,3236,2013-03-22T00:00:00,2026-07-17T00:00:00,1cf3fe85e797a521fcae524baf96b6d8749f58570884e80578ce86dfebf2ab5b,passed,103937,115997
jm.MAIN,1d,direct,s6_03_20260717_0bfd88fc_jm_jm_MAIN_1d_d_20260717_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=jm.MAIN/batch=s6_03_20260717_0bfd88fc/jm_MAIN_1d_20130322_20260717_direct_s6_03_20260717_0bfd88fc.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/jm_historical_catchup/batch=s6_03_20260717_0bfd88fc/continuous/jm_MAIN_1d_raw.parquet,3236,2013-03-22T00:00:00,2026-07-17T00:00:00,25f6a32acada4b0e525c7571c2f127861a3aeb974aaa5e81407d07875d6840bc,passed,103930,115991
jm.MAIN,1m,direct,s6_03_20260717_0bfd88fc_jm_jm_MAIN_1m_d_20260717_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=jm/contract=jm.MAIN/batch=s6_03_20260717_0bfd88fc/jm_MAIN_1m_20130322_20260717_direct_s6_03_20260717_0bfd88fc.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/jm_historical_catchup/batch=s6_03_20260717_0bfd88fc/continuous/jm_MAIN_1m_raw.parquet,1092840,2013-03-22T09:01:00,2026-07-17T15:00:00,4266cd8cb61adc360647492e6213ec626cbcbe9937123204ac31527d236ba972,passed,103928,115990
jm.MAIN,1w,direct,s6_03_20260717_0bfd88fc_jm_jm_MAIN_1w_d_20260717_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=jm/contract=jm.MAIN/batch=s6_03_20260717_0bfd88fc/jm_MAIN_1w_20130322_20260717_direct_s6_03_20260717_0bfd88fc.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/jm_historical_catchup/batch=s6_03_20260717_0bfd88fc/continuous/jm_MAIN_1w_raw.parquet,684,2013-03-22T00:00:00,2026-07-17T00:00:00,c42f240251aee462d62d399aa7e3bcd036d4ed5a7c46198e242cb2a970f334a9,passed,103932,115992
jm.MAIN,30m,derived_from_1m,s6_03_20260717_0bfd88fc_jm_jm_MAIN_30m_d1m_20260717_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=jm/contract=jm.MAIN/batch=s6_03_20260717_0bfd88fc/jm_MAIN_30m_20130322_20260717_derived_from_1m_s6_03_20260717_0bfd88fc.parquet,,38046,2013-03-22T09:30:00,2026-07-17T15:00:00,561561a7f632c95879a48d432eaad745e78342430df55fbe8c65c5831cbe6e84,passed,103935,115995
jm.MAIN,5m,derived_from_1m,s6_03_20260717_0bfd88fc_jm_jm_MAIN_5m_d1m_20260717_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=jm/contract=jm.MAIN/batch=s6_03_20260717_0bfd88fc/jm_MAIN_5m_20130322_20260717_derived_from_1m_s6_03_20260717_0bfd88fc.parquet,,218568,2013-03-22T09:05:00,2026-07-17T15:00:00,47539b722f1d3b4def4a1da0bc5670d3e74497bfe1a8d06720c8422a9bdab4b1,passed,103933,115993
jm.MAIN,60m,derived_from_1m,s6_03_20260717_0bfd88fc_jm_jm_MAIN_60m_d1m_20260717_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=jm/contract=jm.MAIN/batch=s6_03_20260717_0bfd88fc/jm_MAIN_60m_20130322_20260717_derived_from_1m_s6_03_20260717_0bfd88fc.parquet,,22762,2013-03-22T10:00:00,2026-07-17T15:00:00,cd40b29a6f5dea455cac98fae59d57eeb1c164b508bf91608de618750177f2ba,passed,103936,115996
