contract,period,source_role,data_version,canonical_path,raw_path,row_count,min_datetime,max_datetime,checksum,quality_status,market_data_file_id,data_quality_report_id
JM2609,15m,derived_from_1m,s6_03_20260720_1c9772c6_jm_JM2609_15m_d1m_20260720_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=jm/contract=JM2609/batch=s6_03_20260720_1c9772c6/JM2609_15m_20260401_20260720_derived_from_1m_s6_03_20260720_1c9772c6.parquet,,567,2026-06-12T21:15:00,2026-07-20T15:00:00,3d3c72e52c506dcb2c4a34f56726720129b3878c0c160fa2945128768ca4d7d6,passed,103961,116014
JM2609,1d,direct,s6_03_20260720_1c9772c6_jm_JM2609_1d_d_20260720_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2609/batch=s6_03_20260720_1c9772c6/JM2609_1d_20260401_20260720_direct_s6_03_20260720_1c9772c6.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/jm_historical_catchup/batch=s6_03_20260720_1c9772c6/actual/JM2609_1d_raw.parquet,104,2026-04-01T15:00:00,2026-07-20T00:00:00,386b445cee48e10c71ad3bf6cd6258893916dc1da185746e2f6f6390e8096921,passed,103960,116013
JM2609,1m,direct,s6_03_20260720_1c9772c6_jm_JM2609_1m_d_20260720_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=jm/contract=JM2609/batch=s6_03_20260720_1c9772c6/JM2609_1m_20260401_20260720_direct_s6_03_20260720_1c9772c6.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/jm_historical_catchup/batch=s6_03_20260720_1c9772c6/actual/JM2609_1m_raw.parquet,8505,2026-06-12T21:01:00,2026-07-20T15:00:00,2f9ddad6d6ac364b66be2f9b453a5e65c4adb26618adc6ede26a1f4105242dad,passed,103958,116012
JM2609,30m,derived_from_1m,s6_03_20260720_1c9772c6_jm_JM2609_30m_d1m_20260720_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=jm/contract=JM2609/batch=s6_03_20260720_1c9772c6/JM2609_30m_20260401_20260720_derived_from_1m_s6_03_20260720_1c9772c6.parquet,,296,2026-06-12T21:30:00,2026-07-20T15:00:00,cd90cd7a234adaa0a9bea140815256d8405d8aa0fac0973afde31f1e36116d62,passed,103962,116015
JM2609,5m,derived_from_1m,s6_03_20260720_1c9772c6_jm_JM2609_5m_d1m_20260720_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=jm/contract=JM2609/batch=s6_03_20260720_1c9772c6/JM2609_5m_20260401_20260720_derived_from_1m_s6_03_20260720_1c9772c6.parquet,,1701,2026-06-12T21:05:00,2026-07-20T15:00:00,2c5efba252514ff74ce1dcba5473c7ee3326139bf1472676fdc9ec7891fb85fb,passed,103963,116016
JM2609,60m,derived_from_1m,s6_03_20260720_1c9772c6_jm_JM2609_60m_d1m_20260720_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=jm/contract=JM2609/batch=s6_03_20260720_1c9772c6/JM2609_60m_20260401_20260720_derived_from_1m_s6_03_20260720_1c9772c6.parquet,,173,2026-06-12T22:00:00,2026-07-20T15:00:00,15724430d9ed51473435ff76d9b79d74c1ac4aaeed0502dc1136fac017d3af94,passed,103964,116017
jm.MAIN,15m,derived_from_1m,s6_03_20260720_1c9772c6_jm_jm_MAIN_15m_d1m_20260720_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=jm/contract=jm.MAIN/batch=s6_03_20260720_1c9772c6/jm_MAIN_15m_20130322_20260720_derived_from_1m_s6_03_20260720_1c9772c6.parquet,,72871,2013-03-22T09:15:00,2026-07-20T15:00:00,3cd32387c22f5ee79f8b7612078ed44e12a246a6fbd49fc8a6680ad97172f22e,passed,103953,116008
jm.MAIN,1d,derived_from_1m,s6_03_20260720_1c9772c6_jm_jm_MAIN_1d_d1m_20260720_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=jm.MAIN/batch=s6_03_20260720_1c9772c6/jm_MAIN_1d_20130322_20260720_derived_from_1m_s6_03_20260720_1c9772c6.parquet,,3237,2013-03-22T00:00:00,2026-07-20T00:00:00,69b715b9af0ec2a25705a85f2d7b8528e289468b3c62df4ffcc68cfcc12973ba,passed,103956,116011
jm.MAIN,1d,direct,s6_03_20260720_1c9772c6_jm_jm_MAIN_1d_d_20260720_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=jm.MAIN/batch=s6_03_20260720_1c9772c6/jm_MAIN_1d_20130322_20260720_direct_s6_03_20260720_1c9772c6.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/jm_historical_catchup/batch=s6_03_20260720_1c9772c6/continuous/jm_MAIN_1d_raw.parquet,3237,2013-03-22T00:00:00,2026-07-20T00:00:00,0a7aad7fb9252e985d11c5391bec6903582f801dadea08a69264aff948728afa,passed,103949,116005
jm.MAIN,1m,direct,s6_03_20260720_1c9772c6_jm_jm_MAIN_1m_d_20260720_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=jm/contract=jm.MAIN/batch=s6_03_20260720_1c9772c6/jm_MAIN_1m_20130322_20260720_direct_s6_03_20260720_1c9772c6.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/raw/rqdata/jm_historical_catchup/batch=s6_03_20260720_1c9772c6/continuous/jm_MAIN_1m_raw.parquet,1093065,2013-03-22T09:01:00,2026-07-20T15:00:00,09d596ca2789e24bf07cca8ad42188acaabd9a2575c0f9347013c26b6b1148d6,passed,103947,116004
