key,provider,data_type,product,exchange,contract,source_symbol,period,chunk_start,chunk_end,raw_path,canonical_path,rows,checksum,status,error,created_at,updated_at
rb:main_continuous:5m:2026-05,tqsdk,main_continuous,rb,SHFE,rb.MAIN,rb.MAIN,5m,2026-05-29,2026-06-25,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=tqsdk/data_type=main_continuous/period=5m/exchange=SHFE/symbol=rb/contract=rb.MAIN/year=2026/month=05/part-000.parquet,1218,63609de8cf77c9f0179514efdc7c0cfd067afda9217a436af957a77605db9942,success,missing session_id; used trading_day-only grouping,2026-06-25T20:20:05.587433+00:00,2026-06-25T20:20:05.587433+00:00
rb:main_continuous:15m:2026-05,tqsdk,main_continuous,rb,SHFE,rb.MAIN,rb.MAIN,15m,2026-05-29,2026-06-25,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=tqsdk/data_type=main_continuous/period=15m/exchange=SHFE/symbol=rb/contract=rb.MAIN/year=2026/month=05/part-000.parquet,406,a15dc091d55ed78fe5bc0e6c2b01961092795325d0b66038e9c10c7ac15e5936,success,missing session_id; used trading_day-only grouping,2026-06-25T20:20:05.609792+00:00,2026-06-25T20:20:05.609792+00:00
rb:main_continuous:30m:2026-05,tqsdk,main_continuous,rb,SHFE,rb.MAIN,rb.MAIN,30m,2026-05-29,2026-06-25,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=tqsdk/data_type=main_continuous/period=30m/exchange=SHFE/symbol=rb/contract=rb.MAIN/year=2026/month=05/part-000.parquet,212,8d052c3b8ff74a2e4a76243f8df555eba2799c6b0194e43d83751b897d05cca1,success,missing session_id; used trading_day-only grouping,2026-06-25T20:20:05.631909+00:00,2026-06-25T20:20:05.631909+00:00
rb:main_continuous:60m:2026-05,tqsdk,main_continuous,rb,SHFE,rb.MAIN,rb.MAIN,60m,2026-05-29,2026-06-25,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=tqsdk/data_type=main_continuous/period=60m/exchange=SHFE/symbol=rb/contract=rb.MAIN/year=2026/month=05/part-000.parquet,106,4e102ac4f3b0e1a8c2990fb7340f0fefe6a4052f482a19b052594aeb73ad4ae5,success,missing session_id; used trading_day-only grouping,2026-06-25T20:20:05.647017+00:00,2026-06-25T20:20:05.647017+00:00
rb:main_continuous:120m:2026-05,tqsdk,main_continuous,rb,SHFE,rb.MAIN,rb.MAIN,120m,2026-05-29,2026-06-25,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=tqsdk/data_type=main_continuous/period=120m/exchange=SHFE/symbol=rb/contract=rb.MAIN/year=2026/month=05/part-000.parquet,53,cd0277e0a972b3f9443f64f6eb6e16b2f5c3bf2d5f9b184769a36d7b44d630c2,success,missing session_id; used trading_day-only grouping,2026-06-25T20:20:05.665994+00:00,2026-06-25T20:20:05.665994+00:00
hc:main_continuous:5m:2026-05,tqsdk,main_continuous,hc,SHFE,hc.MAIN,hc.MAIN,5m,2026-05-29,2026-06-25,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=tqsdk/data_type=main_continuous/period=5m/exchange=SHFE/symbol=hc/contract=hc.MAIN/year=2026/month=05/part-000.parquet,1218,16aa01fe2231462be211990cdad2a038034b4dc31dd0598fff06ed187dbf8ba4,success,missing session_id; used trading_day-only grouping,2026-06-25T20:20:05.703623+00:00,2026-06-25T20:20:05.703623+00:00
hc:main_continuous:15m:2026-05,tqsdk,main_continuous,hc,SHFE,hc.MAIN,hc.MAIN,15m,2026-05-29,2026-06-25,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=tqsdk/data_type=main_continuous/period=15m/exchange=SHFE/symbol=hc/contract=hc.MAIN/year=2026/month=05/part-000.parquet,406,782abb28123391accb87dc67bff940c5b784e2accb53e2914235065ecc940416,success,missing session_id; used trading_day-only grouping,2026-06-25T20:20:05.719221+00:00,2026-06-25T20:20:05.719221+00:00
hc:main_continuous:30m:2026-05,tqsdk,main_continuous,hc,SHFE,hc.MAIN,hc.MAIN,30m,2026-05-29,2026-06-25,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=tqsdk/data_type=main_continuous/period=30m/exchange=SHFE/symbol=hc/contract=hc.MAIN/year=2026/month=05/part-000.parquet,212,8e5073599d4a47f921d23f74a293addb477646046f361c4a0f626a728931a2ed,success,missing session_id; used trading_day-only grouping,2026-06-25T20:20:05.734991+00:00,2026-06-25T20:20:05.734991+00:00
hc:main_continuous:60m:2026-05,tqsdk,main_continuous,hc,SHFE,hc.MAIN,hc.MAIN,60m,2026-05-29,2026-06-25,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=tqsdk/data_type=main_continuous/period=60m/exchange=SHFE/symbol=hc/contract=hc.MAIN/year=2026/month=05/part-000.parquet,106,edae5d969a88bb17a87407d27af41d0b476d67b0303282d8426129008af1eb68,success,missing session_id; used trading_day-only grouping,2026-06-25T20:20:05.750861+00:00,2026-06-25T20:20:05.750861+00:00
hc:main_continuous:120m:2026-05,tqsdk,main_continuous,hc,SHFE,hc.MAIN,hc.MAIN,120m,2026-05-29,2026-06-25,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=tqsdk/data_type=main_continuous/period=120m/exchange=SHFE/symbol=hc/contract=hc.MAIN/year=2026/month=05/part-000.parquet,53,54547b06a4e282db4eeaa88233c90fe046b0ecfa9f6dbc673ef847cf4c2988ce,success,missing session_id; used trading_day-only grouping,2026-06-25T20:20:05.767564+00:00,2026-06-25T20:20:05.767564+00:00
