key,status,retry_count,error
FG:1m:2025-03,success,0,
FG:1m:2025-04,success,0,
FG:1m:2025-05,success,0,
FG:1m:2025-06,success,0,
FG:1m:2025-07,success,0,
FG:1m:2025-08,success,0,
FG:1m:2025-09,success,0,
FG:1m:2025-10,success,0,
FG:1m:2025-11,success,0,
FG:1m:2025-12,success,0,
FG:1m:2026-01,success,0,
FG:1m:2026-02,success,0,
FG:1m:2026-03,success,0,
FG:1m:2026-04,success,0,
FG:1m:2026-05,success,0,
FG:1m:2026-06,success,0,
sc:1m:2021-06,success,0,
sc:1m:2021-07,success,0,
sc:1m:2021-08,success,0,
sc:1m:2021-09,success,0,
sc:1m:2021-10,success,0,
sc:1m:2021-11,success,0,
sc:1m:2021-12,success,0,
sc:1m:2022-01,success,0,
sc:1m:2022-02,success,0,
sc:1m:2022-03,success,0,
sc:1m:2022-04,success,0,
sc:1m:2022-05,success,0,
sc:1m:2022-06,success,0,
sc:1m:2022-07,success,0,
sc:1m:2022-08,success,0,
sc:1m:2022-09,success,0,
sc:1m:2022-10,success,0,
sc:1m:2022-11,success,0,
sc:1m:2022-12,success,0,
sc:1m:2023-01,success,0,
sc:1m:2023-02,success,0,
sc:1m:2023-03,success,0,
sc:1m:2023-04,success,0,
sc:1m:2023-05,success,0,
sc:1m:2023-06,success,0,
sc:1m:2023-07,success,0,
sc:1m:2023-08,success,0,
sc:1m:2023-09,success,0,
sc:1m:2023-10,success,0,
sc:1m:2023-11,success,0,
sc:1m:2023-12,success,0,
sc:1m:2024-01,success,0,
sc:1m:2024-02,success,0,
sc:1m:2024-03,success,0,
sc:1m:2024-04,success,0,
sc:1m:2024-05,success,0,
sc:1m:2024-06,success,0,
sc:1m:2024-07,success,0,
sc:1m:2024-08,success,0,
sc:1m:2024-09,success,0,
sc:1m:2024-10,success,0,
sc:1m:2024-11,success,0,
sc:1m:2024-12,success,0,
sc:1m:2025-01,success,0,
sc:1m:2025-02,success,0,
sc:1m:2025-03,success,0,
sc:1m:2025-04,success,0,
sc:1m:2025-05,success,0,
sc:1m:2025-06,success,0,
sc:1m:2025-07,success,0,
sc:1m:2025-08,success,0,
sc:1m:2025-09,success,0,
sc:1m:2025-10,success,0,
sc:1m:2025-11,success,0,
sc:1m:2025-12,success,0,
sc:1m:2026-01,success,0,
sc:1m:2026-02,success,0,
sc:1m:2026-03,success,0,
sc:1m:2026-04,success,0,
sc:1m:2026-05,success,0,
sc:1m:2026-06,success,0,
fu:1m:2021-06,success,0,
fu:1m:2021-07,success,0,
fu:1m:2021-08,success,0,
fu:1m:2021-09,success,0,
fu:1m:2021-10,success,0,
fu:1m:2021-11,success,0,
fu:1m:2021-12,success,0,
fu:1m:2022-01,success,0,
fu:1m:2022-02,success,0,
fu:1m:2022-03,success,0,
fu:1m:2022-04,success,0,
fu:1m:2022-05,success,0,
fu:1m:2022-06,success,0,
fu:1m:2022-07,success,0,
fu:1m:2022-08,success,0,
fu:1m:2022-09,success,0,
fu:1m:2022-10,success,0,
fu:1m:2022-11,success,0,
fu:1m:2022-12,success,0,
fu:1m:2023-01,success,0,
fu:1m:2023-02,success,0,
fu:1m:2023-03,success,0,
fu:1m:2023-04,success,0,
fu:1m:2023-05,success,0,
fu:1m:2023-06,success,0,
fu:1m:2023-07,success,0,
fu:1m:2023-08,failed,1,"HTTPSConnectionPool(host='auth.shinnytech.com', port=443): Max retries exceeded with url: /auth/realms/shinnytech/protocol/openid-connect/token (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))"
