contract_code,exchange,product,first_trading_day_in_mapping,last_trading_day_in_mapping,download_start,download_end,rank,source_mapping_rule,source_symbol,status
CZCE.MA2105,CZCE,MA,2021-01-04,2021-04-13,2020-12-25,2021-04-23,1,volume_open_interest,CZCE.MA105,pending
CZCE.MA2109,CZCE,MA,2021-04-14,2021-08-12,2021-04-04,2021-08-22,1,volume_open_interest,CZCE.MA109,pending
CZCE.MA2201,CZCE,MA,2021-08-13,2021-12-14,2021-08-03,2021-12-24,1,volume_open_interest,CZCE.MA201,pending
CZCE.MA2205,CZCE,MA,2021-12-15,2022-04-13,2021-12-05,2022-04-23,1,volume_open_interest,CZCE.MA205,pending
CZCE.MA2209,CZCE,MA,2022-04-14,2022-08-15,2022-04-04,2022-08-25,1,volume_open_interest,CZCE.MA209,pending
CZCE.MA2301,CZCE,MA,2022-08-16,2022-12-14,2022-08-06,2022-12-24,1,volume_open_interest,CZCE.MA301,pending
CZCE.MA2305,CZCE,MA,2022-12-15,2023-04-12,2022-12-05,2023-04-22,1,volume_open_interest,CZCE.MA305,pending
CZCE.MA2309,CZCE,MA,2023-04-13,2023-08-07,2023-04-03,2023-08-17,1,volume_open_interest,CZCE.MA309,pending
CZCE.MA2401,CZCE,MA,2023-08-08,2023-12-06,2023-07-29,2023-12-16,1,volume_open_interest,CZCE.MA401,pending
CZCE.MA2405,CZCE,MA,2023-12-07,2024-04-11,2023-11-27,2024-04-21,1,volume_open_interest,CZCE.MA405,pending
CZCE.MA2409,CZCE,MA,2024-04-12,2024-08-13,2024-04-02,2024-08-23,1,volume_open_interest,CZCE.MA409,pending
CZCE.MA2501,CZCE,MA,2024-08-14,2024-12-09,2024-08-04,2024-12-19,1,volume_open_interest,CZCE.MA501,pending
CZCE.MA2505,CZCE,MA,2024-12-10,2025-04-11,2024-11-30,2025-04-21,1,volume_open_interest,CZCE.MA505,pending
CZCE.MA2509,CZCE,MA,2025-04-14,2025-08-11,2025-04-04,2025-08-21,1,volume_open_interest,CZCE.MA509,pending
CZCE.MA2601,CZCE,MA,2025-08-12,2025-12-10,2025-08-02,2025-12-20,1,volume_open_interest,CZCE.MA601,pending
CZCE.MA2605,CZCE,MA,2025-12-11,2026-04-13,2025-12-01,2026-04-23,1,volume_open_interest,CZCE.MA605,pending
CZCE.MA2609,CZCE,MA,2026-04-14,2026-06-24,2026-04-04,2026-07-04,1,volume_open_interest,CZCE.MA609,pending
CZCE.SA2105,CZCE,SA,2021-01-04,2021-04-07,2020-12-25,2021-04-17,1,volume_open_interest,CZCE.SA105,pending
CZCE.SA2109,CZCE,SA,2021-04-08,2021-07-29,2021-03-29,2021-08-08,1,volume_open_interest,CZCE.SA109,pending
CZCE.SA2201,CZCE,SA,2021-07-30,2021-12-02,2021-07-20,2021-12-12,1,volume_open_interest,CZCE.SA201,pending
CZCE.SA2205,CZCE,SA,2021-12-03,2022-03-25,2021-11-23,2022-04-04,1,volume_open_interest,CZCE.SA205,pending
CZCE.SA2209,CZCE,SA,2022-03-28,2022-08-04,2022-03-18,2022-08-14,1,volume_open_interest,CZCE.SA209,pending
CZCE.SA2301,CZCE,SA,2022-08-05,2022-12-02,2022-07-26,2022-12-12,1,volume_open_interest,CZCE.SA301,pending
CZCE.SA2305,CZCE,SA,2022-12-05,2023-03-24,2022-11-25,2023-04-03,1,volume_open_interest,CZCE.SA305,pending
CZCE.SA2309,CZCE,SA,2023-03-27,2023-07-28,2023-03-17,2023-08-07,1,volume_open_interest,CZCE.SA309,pending
CZCE.SA2401,CZCE,SA,2023-07-31,2023-12-07,2023-07-21,2023-12-17,1,volume_open_interest,CZCE.SA401,pending
CZCE.SA2405,CZCE,SA,2023-12-08,2024-03-25,2023-11-28,2024-04-04,1,volume_open_interest,CZCE.SA405,pending
CZCE.SA2409,CZCE,SA,2024-03-26,2024-08-12,2024-03-16,2024-08-22,1,volume_open_interest,CZCE.SA409,pending
CZCE.SA2501,CZCE,SA,2024-08-13,2024-12-12,2024-08-03,2024-12-22,1,volume_open_interest,CZCE.SA501,pending
CZCE.SA2505,CZCE,SA,2024-12-13,2025-04-11,2024-12-03,2025-04-21,1,volume_open_interest,CZCE.SA505,pending
CZCE.SA2509,CZCE,SA,2025-04-14,2025-08-05,2025-04-04,2025-08-15,1,volume_open_interest,CZCE.SA509,pending
CZCE.SA2601,CZCE,SA,2025-08-06,2025-12-12,2025-07-27,2025-12-22,1,volume_open_interest,CZCE.SA601,pending
CZCE.SA2605,CZCE,SA,2025-12-15,2026-04-13,2025-12-05,2026-04-23,1,volume_open_interest,CZCE.SA605,pending
