product,listed,effective,current_min,plan_mode,need_weeks,api_mb,years_listed_to_2020
al,1999-01-04,2020-01-02,2020-01-03,prepend,1252,0.5249629487569356,21
ru,1999-01-04,2020-01-02,2020-01-03,prepend,1252,0.5249629487569356,21
cu,1999-01-04,2020-01-02,2020-01-03,prepend,1252,0.5249629487569356,21
m,2000-07-17,2020-01-02,2020-01-03,prepend,1172,0.491418990369911,19
a,2002-03-15,2020-01-02,2020-01-03,prepend,1085,0.4549399356240217,17
cf,2004-06-01,2020-01-02,2020-01-03,prepend,970,0.40672049544267375,15
fu,2004-08-25,2020-01-02,2020-01-03,prepend,958,0.4016889016846201,15
c,2004-09-22,2020-01-02,2020-01-03,prepend,954,0.40001170376526884,15
b,2004-12-22,2020-01-02,2020-01-03,prepend,941,0.39456081052737735,15
y,2006-01-09,2020-01-02,2020-01-03,prepend,886,0.3714993391362979,13
sr,2006-01-06,2020-01-02,2020-01-03,prepend,886,0.3714993391362979,13
ta,2006-12-18,2020-01-02,2020-01-03,prepend,837,0.35095366462424527,13
zn,2007-03-26,2020-01-02,2020-01-03,prepend,823,0.345083471906516,12
l,2007-07-31,2020-01-02,2020-01-03,prepend,805,0.33753608126943546,12
p,2007-10-29,2020-01-02,2020-01-03,prepend,792,0.3320851880315439,12
au,2008-01-09,2020-01-02,2020-01-03,prepend,782,0.3278921932331659,11
rb,2009-03-27,2020-01-02,2020-01-03,prepend,718,0.30105702652354616,10
wr,2009-03-27,2020-01-02,2020-01-03,prepend,718,0.30105702652354616,10
v,2009-05-25,2020-01-02,2020-01-03,prepend,710,0.2977026306848437,10
if,2010-04-16,2020-01-02,2020-01-03,prepend,663,0.2779955551324667,9
pb,2011-03-24,2020-01-02,2020-01-03,prepend,615,0.2578691801002519,8
j,2011-04-15,2020-01-02,2020-01-03,prepend,611,0.25619198218090067,8
pm,2012-01-17,2020-01-02,2020-01-03,prepend,572,0.23983930246722618,7
ag,2012-05-10,2020-01-02,2020-01-03,prepend,556,0.23313051078982122,7
oi,2012-07-16,2020-01-02,2020-01-03,prepend,546,0.22893751599144319,7
ri,2012-07-24,2020-01-02,2020-01-03,prepend,545,0.22851821651160537,7
wh,2012-07-24,2020-01-02,2020-01-03,prepend,545,0.22851821651160537,7
fg,2012-12-03,2020-01-02,2020-01-03,prepend,526,0.220551526394687,7
rs,2012-12-28,2020-01-02,2020-01-03,prepend,522,0.21887432847533578,7
rm,2012-12-28,2020-01-02,2020-01-03,prepend,522,0.21887432847533578,7
jm,2013-03-22,2020-01-02,2020-01-03,prepend,510,0.21384273471728207,6
tf,2013-09-06,2020-01-02,2020-01-03,prepend,486,0.2037795472011747,6
bu,2013-10-09,2020-01-02,2020-01-03,prepend,482,0.20210234928182347,6
i,2013-10-18,2020-01-02,2020-01-03,prepend,480,0.20126375032214783,6
jd,2013-11-08,2020-01-02,2020-01-03,prepend,477,0.20000585188263442,6
jr,2013-11-18,2020-01-02,2020-01-03,prepend,476,0.19958655240279663,6
bb,2013-12-06,2020-01-02,2020-01-03,prepend,473,0.19832865396328317,6
fb,2013-12-06,2020-01-02,2020-01-03,prepend,473,0.19832865396328317,6
pp,2014-02-28,2020-01-02,2020-01-03,prepend,461,0.1932970602052295,5
hc,2014-03-21,2020-01-02,2020-01-03,prepend,458,0.19203916176571606,5
ma,2014-06-17,2020-01-02,2020-01-03,prepend,446,0.18700756800766238,5
sm,2014-08-08,2020-01-02,2020-01-03,prepend,438,0.1836531721689599,5
sf,2014-08-08,2020-01-02,2020-01-03,prepend,438,0.1836531721689599,5
cs,2014-12-19,2020-01-02,2020-01-03,prepend,419,0.17568648205204157,5
t,2015-03-20,2020-01-02,2020-01-03,prepend,406,0.17023558881415005,4
ni,2015-03-27,2020-01-02,2020-01-03,prepend,405,0.16981628933431225,4
sn,2015-03-27,2020-01-02,2020-01-03,prepend,405,0.16981628933431225,4
ih,2015-04-16,2020-01-02,2020-01-03,prepend,403,0.16897769037463664,4
ic,2015-04-16,2020-01-02,2020-01-03,prepend,403,0.16897769037463664,4
zc,2015-05-18,2020-01-02,2020-01-03,prepend,398,0.1668811929754476,4
cy,2017-08-18,2020-01-02,2020-01-03,prepend,280,0.11740385435458625,2
ap,2017-12-22,2020-01-02,2020-01-03,prepend,262,0.10985646371750568,2
sc,2018-03-26,2020-01-02,2020-01-03,prepend,249,0.1044055704796142,1
ts,2018-08-17,2020-01-02,2020-01-03,prepend,228,0.09560028140302022,1
sp,2018-11-27,2020-01-02,2020-01-03,prepend,214,0.0897300886852909,1
eg,2018-12-10,2020-01-02,2020-01-03,prepend,212,0.0888914897256153,1
cj,2019-04-30,2020-01-02,2020-01-03,prepend,192,0.08050550012885913,0
nr,2019-08-12,2020-01-02,2020-01-03,prepend,177,0.07421600793129202,0
ur,2019-08-09,2020-01-02,2020-01-03,prepend,177,0.07421600793129202,0
rr,2019-08-16,2020-01-02,2020-01-03,prepend,176,0.07379670845145421,0
ss,2019-09-25,2020-01-02,2020-01-03,prepend,171,0.07170021105226516,0
eb,2019-09-26,2020-01-02,2020-01-03,prepend,171,0.07170021105226516,0
sa,2019-12-06,2020-01-02,2020-01-03,prepend,160,0.06708791677404928,0
pg,2020-03-30,2020-03-30,2020-04-03,prepend,144,0.06037912509664435,0
lu,2020-06-22,2020-06-22,2020-06-24,prepend,132,0.05534753133859066,0
pf,2020-10-12,2020-10-12,2020-10-16,prepend,116,0.04863873966118573,0
