product,layer,actual_contract,start_date,end_date,reason
a,actual_1w_roll_segment,A0505,2005-01-04,2005-03-04,"trading parameter gate failed for A0505 on 2005-03-04: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'cl"
a,actual_1w_roll_segment,A0509,2005-03-07,2005-07-07,"trading parameter gate failed for A0509 on 2005-07-07: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'cl"
a,actual_1w_roll_segment,A0511,2005-07-08,2005-07-22,"trading parameter gate failed for A0511 on 2005-07-22: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'cl"
a,actual_1w_roll_segment,A0601,2005-07-25,2005-10-27,"trading parameter gate failed for A0601 on 2005-10-27: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'cl"
a,actual_1w_roll_segment,A0605,2005-10-28,2006-02-15,"trading parameter gate failed for A0605 on 2006-02-15: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'cl"
a,actual_1w_roll_segment,A0609,2006-02-16,2006-08-23,"trading parameter gate failed for A0609 on 2006-08-23: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'cl"
a,actual_1w_roll_segment,A0701,2006-08-24,2006-10-31,"trading parameter gate failed for A0701 on 2006-10-31: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'cl"
a,actual_1w_roll_segment,A0705,2006-11-01,2007-01-31,"trading parameter gate failed for A0705 on 2007-01-31: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'cl"
a,actual_1w_roll_segment,A0709,2007-02-01,2007-05-30,"trading parameter gate failed for A0709 on 2007-05-30: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'cl"
a,actual_1w_roll_segment,A0801,2007-05-31,2007-08-07,"trading parameter gate failed for A0801 on 2007-08-07: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'cl"
a,actual_1w_roll_segment,A0805,2007-08-08,2007-11-15,"trading parameter gate failed for A0805 on 2007-11-15: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'cl"
a,actual_1w_roll_segment,A0809,2007-11-16,2008-02-26,"trading parameter gate failed for A0809 on 2008-02-26: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'cl"
a,actual_1w_roll_segment,A0901,2008-02-27,2008-10-14,"trading parameter gate failed for A0901 on 2008-10-14: {'status': 'failed', 'source': 'mixed', 'missing_fields': ['margin', 'open_commission', 'close_commission', 'close_today_commission'], 'product':"
ag,actual_1w_roll_segment,AG1209,2012-05-10,2012-07-24,"trading parameter gate failed for AG1209 on 2012-07-24: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
ag,actual_1w_roll_segment,AG1212,2012-07-25,2012-11-01,"trading parameter gate failed for AG1212 on 2012-11-01: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
ag,actual_1w_roll_segment,AG1301,2012-11-02,2012-12-17,"trading parameter gate failed for AG1301 on 2012-12-17: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
ag,actual_1w_roll_segment,AG1306,2012-12-18,2013-05-07,"trading parameter gate failed for AG1306 on 2013-05-07: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
ag,actual_1w_roll_segment,AG2006,2019-12-26,2020-01-02,RQData returned no rows for AG2006 1w 2019-12-26..2020-01-02
al,actual_1w_roll_segment,AL0503,2005-01-04,2005-02-16,"trading parameter gate failed for AL0503 on 2005-02-16: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0504,2005-02-17,2005-03-07,"trading parameter gate failed for AL0504 on 2005-03-07: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0505,2005-03-08,2005-03-17,"trading parameter gate failed for AL0505 on 2005-03-17: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0506,2005-03-18,2005-05-10,"trading parameter gate failed for AL0506 on 2005-05-10: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0507,2005-05-11,2005-06-03,"trading parameter gate failed for AL0507 on 2005-06-03: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
al,actual_1w_roll_segment,AL0508,2005-06-06,2005-07-11,"trading parameter gate failed for AL0508 on 2005-07-11: {'status': 'failed', 'source': None, 'missing_fields': ['price_tick', 'contract_multiplier', 'margin', 'open_commission', 'close_commission', 'c"
