product,period,layer,mode,status,detail,gap_start,gap_end
a,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2002-03-15,2020-01-02
ag,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2012-05-10,2020-01-02
al,1w,layer1,prepend,planned,prepend historical prefix before existing asset,1999-01-04,2020-01-02
ap,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2017-12-22,2020-01-02
au,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2008-01-09,2020-01-02
b,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2004-12-22,2020-01-02
bb,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2013-12-06,2020-01-02
bu,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2013-10-09,2020-01-02
c,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2004-09-22,2020-01-02
cf,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2004-06-01,2020-01-02
cj,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2019-04-30,2020-01-02
cs,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2014-12-19,2020-01-02
cu,1w,layer1,prepend,planned,prepend historical prefix before existing asset,1999-01-04,2020-01-02
cy,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2017-08-18,2020-01-02
eb,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2019-09-26,2020-01-02
eg,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2018-12-10,2020-01-02
fb,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2013-12-06,2020-01-02
fg,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2012-12-03,2020-01-02
fu,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2004-08-25,2020-01-02
hc,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2014-03-21,2020-01-02
i,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2013-10-18,2020-01-02
ic,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2015-04-16,2020-01-02
if,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2010-04-16,2020-01-02
ih,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2015-04-16,2020-01-02
j,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2011-04-15,2020-01-02
jd,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2013-11-08,2020-01-02
jm,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2013-03-22,2020-01-02
jr,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2013-11-18,2020-01-02
l,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2007-07-31,2020-01-02
m,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2000-07-17,2020-01-02
ma,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2014-06-17,2020-01-02
ni,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2015-03-27,2020-01-02
nr,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2019-08-12,2020-01-02
oi,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2012-07-16,2020-01-02
p,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2007-10-29,2020-01-02
pb,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2011-03-24,2020-01-02
pm,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2012-01-17,2020-01-02
pp,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2014-02-28,2020-01-02
rb,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2009-03-27,2020-01-02
ri,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2012-07-24,2020-01-02
rm,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2012-12-28,2020-01-02
rr,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2019-08-16,2020-01-02
rs,1w,layer1,prepend,planned,prepend historical prefix before existing asset,2012-12-28,2020-01-02
ru,1w,layer1,prepend,planned,prepend historical prefix before existing asset,1999-01-04,2020-01-02
