action,reason,profile_id,instrument_symbol,contract_code,contract_role,period,binding_id,current_file_id,target_file_id,target_data_version
replace,data_role=superseded,intraday_research_v1,a,a.MAIN,dominant_main,15m,261,56071,71382,rqdata_a_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,a,a.MAIN,dominant_main,30m,264,56072,71383,rqdata_a_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,a,a.MAIN,dominant_main,5m,265,56070,71381,rqdata_a_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,a,a.MAIN,dominant_main,60m,266,56073,71384,rqdata_a_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,ad,ad.MAIN,dominant_main,15m,267,56075,71703,rqdata_ad_standard_15m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,ad,ad.MAIN,dominant_main,1d,268,55798,71646,rqdata_ad_standard_1d_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,ad,ad.MAIN,dominant_main,30m,270,56076,71704,rqdata_ad_standard_30m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,ad,ad.MAIN,dominant_main,5m,271,56074,71702,rqdata_ad_standard_5m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,ad,ad.MAIN,dominant_main,60m,272,56077,71705,rqdata_ad_standard_60m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,ag,ag.MAIN,dominant_main,15m,273,56079,71342,rqdata_ag_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,ag,ag.MAIN,dominant_main,30m,276,56080,71343,rqdata_ag_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,ag,ag.MAIN,dominant_main,5m,277,56078,71341,rqdata_ag_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,ag,ag.MAIN,dominant_main,60m,278,56081,71344,rqdata_ag_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,al,al.MAIN,dominant_main,15m,279,56083,71354,rqdata_al_standard_15m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,al,al.MAIN,dominant_main,30m,282,56084,71355,rqdata_al_standard_30m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,al,al.MAIN,dominant_main,5m,283,56082,71353,rqdata_al_standard_5m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,al,al.MAIN,dominant_main,60m,284,56085,71356,rqdata_al_standard_60m_20200102_20260711_v2
replace,data_role=superseded,intraday_research_v1,ao,ao.MAIN,dominant_main,15m,285,56087,71707,rqdata_ao_standard_15m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,ao,ao.MAIN,dominant_main,1d,286,55804,71649,rqdata_ao_standard_1d_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,ao,ao.MAIN,dominant_main,30m,288,56088,71708,rqdata_ao_standard_30m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,ao,ao.MAIN,dominant_main,5m,289,56086,71706,rqdata_ao_standard_5m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,ao,ao.MAIN,dominant_main,60m,290,56089,71709,rqdata_ao_standard_60m_20230103_20260712_v2
replace,data_role=superseded,intraday_research_v1,ap,ap.MAIN,dominant_main,15m,291,56091,71518,rqdata_ap_standard_15m_20200102_20260711_v2
