sample_id,sample_name,consumer,expected_behavior,status,profile_id,symbol,contract,period,market_data_file_id,data_version,binding_snapshot_hash,quality_policy,row_count,first_bar,last_bar,ohlcv_hash,trading_day,actual_continuous_mapping,source_interval,evidence_or_blocker
GQ01,JM continuous 1m,market_research_bars,resolve passed primary binding,PASS,intraday_research_v1,jm,jm.MAIN,1m,82791,rqdata_jm_standard_1m_20130322_20260711_v2,5394c4936e1b5b071863c90988dddaa692e640642d7ba241e1de994470d94363,passed_only,225,2026-07-08T09:01:00,2026-07-08T15:00:00,91751f4484de8bd98c6ec983deca5445bb90d3191a79c31e99f57fffeece2c22,2026-07-08,continuous:jm.MAIN,,lineage_token=37f05d1224de2745fc44590d0ff0940f770793fd27d41a53ffda7dd9df8f3ae7
GQ01,JM continuous 1m,market_indicator,use bars lineage,PASS,intraday_research_v1,jm,jm.MAIN,1m,82791,rqdata_jm_standard_1m_20130322_20260711_v2,5394c4936e1b5b071863c90988dddaa692e640642d7ba241e1de994470d94363,passed_only,225,2026-07-08T09:01:00,2026-07-08T15:00:00,91751f4484de8bd98c6ec983deca5445bb90d3191a79c31e99f57fffeece2c22,2026-07-08,continuous:jm.MAIN,,lineage token matches bars; warmup source=10000
GQ01,JM continuous 1m,backtest_resolver,resolve same binding,PASS,intraday_research_v1,jm,jm.MAIN,1m,82791,rqdata_jm_standard_1m_20130322_20260711_v2,5394c4936e1b5b071863c90988dddaa692e640642d7ba241e1de994470d94363,passed_only,,,,,continuous:jm.MAIN,,formal snapshot fixed
GQ01,JM continuous 1m,signal_source,.MAIN rejected as actual,PASS,intraday_research_v1,jm,jm.MAIN,1m,,,,,,,,,,continuous:jm.MAIN,,SIGNAL_ACTUAL_CONTRACT_REQUIRED
GQ01,JM continuous 1m,review_lookup,load exact frozen file/window,PASS,intraday_research_v1,jm,jm.MAIN,1m,82791,rqdata_jm_standard_1m_20130322_20260711_v2,5394c4936e1b5b071863c90988dddaa692e640642d7ba241e1de994470d94363,passed_only,225,2026-07-08T09:01:00,2026-07-08T15:00:00,91751f4484de8bd98c6ec983deca5445bb90d3191a79c31e99f57fffeece2c22,2026-07-08,continuous:jm.MAIN,,exact bars match
GQ02,JM continuous 15m,market_research_bars,resolve passed primary binding,FAIL,intraday_research_v1,jm,jm.MAIN,15m,56067,rqdata_jm_standard_15m_20230103_20260711_v2,,passed_only,,,,,continuous:jm.MAIN,,MARKET_PROFILE_IDENTITY_MISMATCH; bound file data_role=superseded
GQ02,JM continuous 15m,market_indicator,use bars lineage,NOT_RUN,intraday_research_v1,jm,jm.MAIN,15m,56067,rqdata_jm_standard_15m_20230103_20260711_v2,,passed_only,,,,,continuous:jm.MAIN,,bars blocked
GQ02,JM continuous 15m,backtest_resolver,resolve passed primary binding,FAIL,intraday_research_v1,jm,jm.MAIN,15m,56067,rqdata_jm_standard_15m_20230103_20260711_v2,,passed_only,,,,,continuous:jm.MAIN,,BACKTEST_PROFILE_QUALITY_BLOCKED; data_role must be primary
GQ02,JM continuous 15m,signal_source,.MAIN rejected as actual,PASS,intraday_research_v1,jm,jm.MAIN,15m,,,,,,,,,,continuous:jm.MAIN,,SIGNAL_ACTUAL_CONTRACT_REQUIRED
GQ02,JM continuous 15m,review_lookup,load exact frozen file/window,NOT_RUN,intraday_research_v1,jm,jm.MAIN,15m,56067,rqdata_jm_standard_15m_20230103_20260711_v2,,passed_only,,,,,continuous:jm.MAIN,,no eligible frozen lineage
GQ03,JM continuous 1d,market_research_bars,resolve passed primary binding,PASS,long_horizon_daily_v1,jm,jm.MAIN,1d,82699,rqdata_jm_standard_1d_20130322_20260711_v2,13ed00751db13b02109c4e6fffb5d43e3fcd42d8cf35cc1871031ad90486074c,passed_only,8,2026-07-01T00:00:00,2026-07-10T00:00:00,a64b8717cdf100d24f7edb58c4da21554ab7962003524558f92301ba749611c7,unique,continuous:jm.MAIN,,lineage token matches indicator
GQ03,JM continuous 1d,market_indicator,use bars lineage,PASS,long_horizon_daily_v1,jm,jm.MAIN,1d,82699,rqdata_jm_standard_1d_20130322_20260711_v2,13ed00751db13b02109c4e6fffb5d43e3fcd42d8cf35cc1871031ad90486074c,passed_only,8,2026-07-01T00:00:00,2026-07-10T00:00:00,a64b8717cdf100d24f7edb58c4da21554ab7962003524558f92301ba749611c7,unique,continuous:jm.MAIN,,lineage token matches bars
GQ03,JM continuous 1d,backtest_resolver,resolve same binding,PASS,long_horizon_daily_v1,jm,jm.MAIN,1d,82699,rqdata_jm_standard_1d_20130322_20260711_v2,13ed00751db13b02109c4e6fffb5d43e3fcd42d8cf35cc1871031ad90486074c,passed_only,,,,,continuous:jm.MAIN,,formal snapshot fixed
GQ03,JM continuous 1d,signal_source,.MAIN rejected as actual,PASS,long_horizon_daily_v1,jm,jm.MAIN,1d,,,,,,,,,,continuous:jm.MAIN,,SIGNAL_ACTUAL_CONTRACT_REQUIRED
