sample_id,sample_name,consumer,expected_behavior,status,profile_id,symbol,contract,period,market_data_file_id,data_version,binding_snapshot_hash,quality_policy,row_count,first_bar,last_bar,ohlcv_hash,trading_day,actual_continuous_mapping,source_interval,evidence_or_blocker
GQ01,JM continuous 1m,market_research_bars,resolve passed primary binding,PASS,intraday_research_v1,jm,jm.MAIN,1m,82791,rqdata_jm_standard_1m_20130322_20260711_v2,e07243177bae88c52b6854fd3784933f50fd9328c9bbd992df428a8c83bd4752,passed_only,345,2026-07-08T09:01:00,2026-07-08T23:00:00,6f6cafbca44ed091a1a6851267689f96bfe31fbc7764eacd4234d3b58b0d6440,duplicate,continuous:jm.MAIN,1m,lineage_token=db55ddd9fe08a90478dd1478166a1bbbac661efff5c900036453995182a68ae2
GQ01,JM continuous 1m,market_indicator,use bars immutable lineage,PASS,intraday_research_v1,jm,jm.MAIN,1m,82791,rqdata_jm_standard_1m_20130322_20260711_v2,e07243177bae88c52b6854fd3784933f50fd9328c9bbd992df428a8c83bd4752,passed_only,345,2026-07-08T09:01:00,2026-07-08T23:00:00,6f6cafbca44ed091a1a6851267689f96bfe31fbc7764eacd4234d3b58b0d6440,duplicate,continuous:jm.MAIN,1m,EMA lineage equals bars; warm-up fixed to same file
GQ01,JM continuous 1m,backtest_resolver,resolve same immutable binding,PASS,intraday_research_v1,jm,jm.MAIN,1m,82791,rqdata_jm_standard_1m_20130322_20260711_v2,e07243177bae88c52b6854fd3784933f50fd9328c9bbd992df428a8c83bd4752,passed_only,,,,,,continuous:jm.MAIN,1m,
GQ01,JM continuous 1m,signal_source,.MAIN rejected as actual,PASS,intraday_research_v1,jm,jm.MAIN,1m,,,,,,,,,,continuous:jm.MAIN,,SIGNAL_ACTUAL_CONTRACT_REQUIRED
GQ01,JM continuous 1m,review_lookup,load exact frozen file/window,PASS,intraday_research_v1,jm,jm.MAIN,1m,82791,rqdata_jm_standard_1m_20130322_20260711_v2,e07243177bae88c52b6854fd3784933f50fd9328c9bbd992df428a8c83bd4752,passed_only,345,2026-07-08T09:01:00,2026-07-08T23:00:00,6f6cafbca44ed091a1a6851267689f96bfe31fbc7764eacd4234d3b58b0d6440,duplicate,continuous:jm.MAIN,1m,exact bars hash equals Market
GQ02,JM continuous 15m,market_research_bars,resolve passed primary binding,PASS,intraday_research_v1,jm,jm.MAIN,15m,71338,rqdata_jm_standard_15m_20200102_20260711_v2,4104f2c20cde282a0b2ab6348e99221b04d4ad82206cd6a0a0a5376e8260e07a,passed_only,23,2026-07-08T09:15:00,2026-07-08T23:00:00,8ca9e1cb8afc4aec198155977ee7bd84686b19c2784668b32548dd4944fe8f8c,duplicate,continuous:jm.MAIN,1m,lineage_token=6c497f876d1c1155e4cdc0cbbc4c5f631f664f089231d4fa51fc435271625b6a
GQ02,JM continuous 15m,market_indicator,use bars immutable lineage,PASS,intraday_research_v1,jm,jm.MAIN,15m,71338,rqdata_jm_standard_15m_20200102_20260711_v2,4104f2c20cde282a0b2ab6348e99221b04d4ad82206cd6a0a0a5376e8260e07a,passed_only,23,2026-07-08T09:15:00,2026-07-08T23:00:00,8ca9e1cb8afc4aec198155977ee7bd84686b19c2784668b32548dd4944fe8f8c,duplicate,continuous:jm.MAIN,1m,EMA lineage equals bars; warm-up fixed to same file
GQ02,JM continuous 15m,backtest_resolver,resolve same immutable binding,PASS,intraday_research_v1,jm,jm.MAIN,15m,71338,rqdata_jm_standard_15m_20200102_20260711_v2,4104f2c20cde282a0b2ab6348e99221b04d4ad82206cd6a0a0a5376e8260e07a,passed_only,,,,,,continuous:jm.MAIN,1m,
GQ02,JM continuous 15m,signal_source,.MAIN rejected as actual,PASS,intraday_research_v1,jm,jm.MAIN,15m,,,,,,,,,,continuous:jm.MAIN,,SIGNAL_ACTUAL_CONTRACT_REQUIRED
GQ02,JM continuous 15m,review_lookup,load exact frozen file/window,PASS,intraday_research_v1,jm,jm.MAIN,15m,71338,rqdata_jm_standard_15m_20200102_20260711_v2,4104f2c20cde282a0b2ab6348e99221b04d4ad82206cd6a0a0a5376e8260e07a,passed_only,23,2026-07-08T09:15:00,2026-07-08T23:00:00,8ca9e1cb8afc4aec198155977ee7bd84686b19c2784668b32548dd4944fe8f8c,duplicate,continuous:jm.MAIN,1m,exact bars hash equals Market
