join_key,field,aggregated,direct,severity,delta
2023-02-09,open_interest,571408.0,571409.0,block,1.0
2023-02-13,open_interest,571579.0,571580.0,block,1.0
2023-02-20,open_interest,600399.0,600403.0,block,4.0
2023-03-16,volume,1056674.0,1056699.0,block,25.0
2023-03-16,turnover,80499895590.0,80501799840.0,block,1904250.0
2023-05-15,volume,622217.0,622221.0,block,4.0
2023-05-15,open_interest,288799.0,288896.0,block,97.0
2023-05-15,turnover,50828361270.0,50828687970.0,block,326700.0
2023-09-12,volume,53785.0,53809.0,block,24.0
2023-09-12,open_interest,117463.0,117525.0,block,62.0
2023-09-12,turnover,4684403580.0,4686493740.0,block,2090160.0
2024-04-12,open_interest,641801.0,641812.0,block,11.0
2024-04-24,open_interest,436980.0,436981.0,block,1.0
2024-11-13,volume,326171.0,326192.0,block,21.0
2024-11-13,open_interest,234435.0,234454.0,block,19.0
2024-11-13,turnover,37450215225.0,37452626235.0,block,2411010.0
2025-04-14,open_interest,334370.0,334395.0,block,25.0
2025-06-24,open_interest,341851.0,341852.0,block,1.0
2025-12-15,volume,2357087.0,2357226.0,block,139.0
2025-12-15,open_interest,381708.0,381828.0,block,120.0
2025-12-15,turnover,520096241640.0,520126911990.0,block,30670350.0
2025-12-18,open_interest,363401.0,363402.0,block,1.0
2026-01-14,volume,1276377.0,1276402.0,block,25.0
2026-01-14,open_interest,344556.0,344654.0,block,98.0
2026-01-14,turnover,426759556230.0,426767914980.0,block,8358750.0
2026-02-03,open_interest,226334.0,226336.0,block,2.0
2026-04-24,volume,714129.0,714166.0,block,37.0
2026-04-24,open_interest,222499.0,222500.0,block,1.0
2026-04-24,turnover,201821319300.0,201831775500.0,block,10456200.0
2026-05-25,open_interest,245606.0,245615.0,block,9.0
