product,product_status,active_passed,audit_pending,failed,missing,total_assets
a,active_passed,15,0,0,0,15
ad,active_passed,2,0,0,0,2
ag,active_passed,11,0,0,0,11
al,active_passed,39,0,0,0,39
ao,active_passed,2,0,0,0,2
ap,active_passed,12,0,0,0,12
au,active_passed,10,0,0,0,10
b,active_passed,34,0,0,0,34
bb,active_partial,35,1,0,0,36
bc,active_passed,27,0,0,0,27
br,active_passed,2,0,0,0,2
bu,active_passed,12,0,0,0,12
bz,active_passed,2,0,0,0,2
c,active_passed,12,0,0,0,12
cf,active_passed,12,0,0,0,12
cj,active_passed,12,0,0,0,12
cs,active_passed,17,0,0,0,17
cu,active_passed,38,0,0,0,38
cy,active_passed,12,0,0,0,12
eb,active_passed,29,0,0,0,29
ec,active_passed,2,0,0,0,2
eg,active_passed,12,0,0,0,12
fb,active_passed,21,0,0,0,21
fg,active_passed,12,0,0,0,12
fu,active_passed,12,0,0,0,12
hc,active_passed,12,0,0,0,12
i,active_passed,12,0,0,0,12
ic,active_passed,39,0,0,0,39
if,active_passed,39,0,0,0,39
ih,active_passed,39,0,0,0,39
im,active_passed,8,0,0,0,8
j,active_passed,12,0,0,0,12
jd,active_passed,16,0,0,0,16
jm,active_passed,13,0,0,0,13
jr,active_passed,9,0,0,0,9
l,active_partial,12,1,0,0,13
l_f,active_passed,2,0,0,0,2
lc,active_passed,2,0,0,0,2
lg,active_passed,2,0,0,0,2
lh,active_passed,9,0,0,0,9
lu,active_passed,28,0,0,0,28
m,active_passed,12,0,0,0,12
ma,active_passed,12,0,0,0,12
ni,active_passed,33,0,0,0,33
nr,active_passed,37,0,0,0,37
oi,active_passed,12,0,0,0,12
op,active_passed,2,0,0,0,2
p,active_passed,12,0,0,0,12
pb,active_passed,39,0,0,0,39
pd,active_passed,2,0,0,0,2
pf,active_passed,15,0,0,0,15
pg,active_passed,30,0,0,0,30
pk,active_passed,8,0,0,0,8
pl,active_passed,2,0,0,0,2
pm,active_passed,10,0,0,0,10
pp,active_partial,12,1,0,0,13
pp_f,active_passed,2,0,0,0,2
pr,active_passed,2,0,0,0,2
ps,active_passed,2,0,0,0,2
pt,active_passed,2,0,0,0,2
px,active_passed,2,0,0,0,2
rb,active_passed,12,0,0,0,12
ri,active_passed,12,0,0,0,12
rm,active_passed,12,0,0,0,12
rr,active_passed,31,0,0,0,31
rs,active_partial,6,1,0,0,7
ru,active_passed,12,0,0,0,12
sa,active_passed,12,0,0,0,12
sc,active_passed,37,0,0,0,37
sf,active_passed,17,0,0,0,17
sh,active_passed,2,0,0,0,2
si,active_passed,3,0,0,0,3
sm,active_passed,12,0,0,0,12
sn,active_passed,34,0,0,0,34
sp,active_passed,19,0,0,0,19
sr,active_passed,12,0,0,0,12
ss,active_passed,35,0,0,0,35
t,active_passed,15,0,0,0,15
ta,active_passed,12,0,0,0,12
tf,active_passed,15,0,0,0,15
tl,active_passed,2,0,0,0,2
ts,active_passed,15,0,0,0,15
ur,active_passed,13,0,0,0,13
v,active_partial,12,1,0,0,13
v_f,active_passed,2,0,0,0,2
wh,active_partial,6,1,0,0,7
wr,active_partial,11,1,0,0,12
y,active_passed,12,0,0,0,12
zc,active_partial,9,1,0,0,10
zn,active_passed,38,0,0,0,38
