product,contract,period,dedupe_key,final_classification,classification_source,conflicting_fields,contract_role,file_count,occurrence_count,value_ranges
a,A2609,1d,2026-06-29,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [4821.0, 4831.0], 'close': None, 'volume': [105828.0, 182659.0]}"
a,A2609,1d,2026-07-06,covered_warning,cross_file_conflict,"['open', 'high', 'low', 'volume']",actual_contract,2,2,"{'open': [4733.0, 4761.0], 'close': None, 'volume': [96372.0, 166970.0]}"
ag,AG2608,1d,2026-05-18,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [18500.0, 19008.0], 'close': None, 'volume': [269579.0, 597810.0]}"
ag,AG2608,1d,2026-05-25,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [18634.0, 19174.0], 'close': None, 'volume': [305401.0, 785903.0]}"
ag,AG2608,1d,2026-06-01,covered_warning,cross_file_conflict,"['high', 'volume']",actual_contract,2,2,"{'open': None, 'close': None, 'volume': [238240.0, 747027.0]}"
ag,AG2608,1d,2026-06-08,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [16490.0, 17242.0], 'close': None, 'volume': [372074.0, 958488.0]}"
ag,AG2608,1d,2026-06-15,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [15940.0, 16871.0], 'close': None, 'volume': [280785.0, 766795.0]}"
ag,AG2608,1d,2026-06-29,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [14300.0, 14371.0], 'close': None, 'volume': [321005.0, 809674.0]}"
ag,AG2608,1d,2026-07-06,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [15250.0, 15338.0], 'close': None, 'volume': [241553.0, 461522.0]}"
al,AL2608,1d,2026-06-29,covered_warning,cross_file_conflict,"['open', 'high', 'low', 'volume']",actual_contract,2,2,"{'open': [23000.0, 23085.0], 'close': None, 'volume': [152972.0, 241745.0]}"
al,AL2608,1d,2026-07-06,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [22685.0, 22835.0], 'close': None, 'volume': [107832.0, 168849.0]}"
au,AU2608,1d,2026-05-25,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [993.98, 1003.08], 'close': None, 'volume': [63889.0, 131034.0]}"
au,AU2608,1d,2026-06-01,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [987.92, 992.36], 'close': None, 'volume': [74088.0, 240345.0]}"
au,AU2608,1d,2026-06-08,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [952.06, 964.96], 'close': None, 'volume': [134008.0, 320792.0]}"
au,AU2608,1d,2026-06-15,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [912.9, 934.56], 'close': None, 'volume': [113056.0, 262444.0]}"
au,AU2608,1d,2026-06-29,covered_warning,cross_file_conflict,"['open', 'high', 'volume']",actual_contract,2,2,"{'open': [888.12, 891.52], 'close': None, 'volume': [90039.0, 233900.0]}"
au,AU2608,1d,2026-07-06,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [911.56, 912.44], 'close': None, 'volume': [97985.0, 158114.0]}"
b,B2609,1d,2026-06-29,covered_warning,cross_file_conflict,"['open', 'volume']",actual_contract,2,2,"{'open': [3718.0, 3732.0], 'close': None, 'volume': [82975.0, 136109.0]}"
b,B2609,1d,2026-07-06,covered_warning,cross_file_conflict,"['open', 'low', 'volume']",actual_contract,2,2,"{'open': [3690.0, 3715.0], 'close': None, 'volume': [114515.0, 149455.0]}"
bb,BB2609,1d,2026-06-11,covered_warning,cross_file_conflict,"['open', 'low']",actual_contract,2,2,"{'open': [146.7, 146.9], 'close': None, 'volume': None}"
bb,BB2609,1d,2026-06-12,covered_warning,cross_file_conflict,"['open', 'high']",actual_contract,2,2,"{'open': [146.8, 146.9], 'close': None, 'volume': None}"
bb,BB2609,1d,2026-06-15,covered_warning,cross_file_conflict,"['open', 'low']",actual_contract,2,2,"{'open': [146.2, 146.6], 'close': None, 'volume': None}"
