product,contract_role,contract_code,period,duplicate_group_size,data_version,disposition,end_time,file_path,issue_class,market_data_file_id,quality_status,start_time
a,actual_contract,A1009,1w,2,rq_acb_a_A1009_1w_20091027_20100422_v1,requires_supersede_decision,2010-04-16T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1009/A1009_1w_20091027_20100422.parquet,duplicate_active,79837,passed,2009-11-06T00:00:00+00:00
a,actual_contract,A1009,1w,2,rq_acb_a_A1009_1w_20100104_20100422_v1,requires_supersede_decision,2010-04-16T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A1009/A1009_1w_20100104_20100422.parquet,duplicate_active,83238,passed,2010-01-08T00:00:00+00:00
a,actual_contract,A2005,1d,2,rq_acb_a_A2005_1d_20200102_20200407_v1,requires_supersede_decision,2020-04-07T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2005/A2005_1d_20200102_20200407.parquet,duplicate_active,66731,passed,2020-01-02T00:00:00+00:00
a,actual_contract,A2005,1d,2,rq_acb_a_A2005_1d_20191205_20200407_v1,requires_supersede_decision,2020-04-07T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2005/A2005_1d_20191205_20200407.parquet,duplicate_active,83296,passed,2019-12-05T00:00:00+00:00
a,actual_contract,A2005,1w,2,rq_acb_a_A2005_1w_20200102_20200407_v1,requires_supersede_decision,2020-04-03T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2005/A2005_1w_20200102_20200407.parquet,duplicate_active,66733,passed,2020-01-10T00:00:00+00:00
a,actual_contract,A2005,1w,2,rq_acb_a_A2005_1w_20191205_20200407_v1,requires_supersede_decision,2020-04-03T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2005/A2005_1w_20191205_20200407.parquet,duplicate_active,83298,passed,2019-12-13T00:00:00+00:00
a,actual_contract,A2305,1d,2,rq_acb_a_A2305_1d_20230103_20230406_v1,requires_supersede_decision,2023-04-06T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2305/A2305_1d_20230103_20230406.parquet,duplicate_active,41264,passed,2023-01-03T00:00:00+00:00
a,actual_contract,A2305,1d,2,rq_acb_a_A2305_1d_20221213_20230406_v1,requires_supersede_decision,2023-04-06T00:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2305/A2305_1d_20221213_20230406.parquet,duplicate_active,83300,passed,2022-12-13T00:00:00+00:00
a,actual_contract,A2305,1m,2,rq_acb_a_A2305_1m_20230103_20230406_v1,requires_supersede_decision,2023-04-06T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2305/A2305_1m_20230103_20230406.parquet,duplicate_active,45366,passed,2023-01-03T09:01:00+00:00
a,actual_contract,A2305,1m,2,rq_acb_a_A2305_1m_20221213_20230406_v1,requires_supersede_decision,2023-04-06T15:00:00+00:00,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2305/A2305_1m_20221213_20230406.parquet,duplicate_active,96939,passed,2022-12-12T21:01:00+00:00
