product,physical_path,period,final_classification,classification_source,contract,disposition,file_size_bytes,issue_class,next_task
p,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1101/P1101_1m_20100428_20100913.parquet,1m,blocked_with_reason,orphan_physical_file,P1101,register_or_archive,609820,orphan_file,B-02
p,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1105/P1105_1m_20100914_20101104.parquet,1m,blocked_with_reason,orphan_physical_file,P1105,register_or_archive,209397,orphan_file,B-02
p,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1109/P1109_1m_20101105_20110411.parquet,1m,blocked_with_reason,orphan_physical_file,P1109,register_or_archive,673754,orphan_file,B-02
p,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1201/P1201_1m_20110412_20110719.parquet,1m,blocked_with_reason,orphan_physical_file,P1201,register_or_archive,438542,orphan_file,B-02
p,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1205/P1205_1m_20110720_20120118.parquet,1m,blocked_with_reason,orphan_physical_file,P1205,register_or_archive,784097,orphan_file,B-02
p,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1209/P1209_1m_20120119_20120606.parquet,1m,blocked_with_reason,orphan_physical_file,P1209,register_or_archive,579070,orphan_file,B-02
p,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1301/P1301_1m_20120607_20121024.parquet,1m,blocked_with_reason,orphan_physical_file,P1301,register_or_archive,623035,orphan_file,B-02
p,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1305/P1305_1m_20121025_20130208.parquet,1m,blocked_with_reason,orphan_physical_file,P1305,register_or_archive,493223,orphan_file,B-02
p,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1309/P1309_1m_20130218_20130614.parquet,1m,blocked_with_reason,orphan_physical_file,P1309,register_or_archive,517769,orphan_file,B-02
p,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1401/P1401_1m_20130617_20131104.parquet,1m,blocked_with_reason,orphan_physical_file,P1401,register_or_archive,616495,orphan_file,B-02
p,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1405/P1405_1m_20131105_20140226.parquet,1m,blocked_with_reason,orphan_physical_file,P1405,register_or_archive,510299,orphan_file,B-02
p,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1409/P1409_1m_20140227_20140616.parquet,1m,blocked_with_reason,orphan_physical_file,P1409,register_or_archive,485872,orphan_file,B-02
p,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1501/P1501_1m_20140617_20141107.parquet,1m,blocked_with_reason,orphan_physical_file,P1501,register_or_archive,1247110,orphan_file,B-02
p,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1505/P1505_1m_20141110_20150309.parquet,1m,blocked_with_reason,orphan_physical_file,P1505,register_or_archive,1149817,orphan_file,B-02
p,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1509/P1509_1m_20150310_20150604.parquet,1m,blocked_with_reason,orphan_physical_file,P1509,register_or_archive,809269,orphan_file,B-02
p,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1601/P1601_1m_20150605_20151126.parquet,1m,blocked_with_reason,orphan_physical_file,P1601,register_or_archive,1248173,orphan_file,B-02
p,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=p/contract=P1605/P1605_1m_20151127_20160315.parquet,1m,blocked_with_reason,orphan_physical_file,P1605,register_or_archive,754576,orphan_file,B-02
