product,contract,period,gap_type,final_classification,next_task,actual_status,audit_end,audit_status,binding_status,classification_source,contract_role,data_role,data_version,date_gap_count,db_market_data_file_id,detail,duplicate_active_count,duplicate_trade_dates,end_date,evidence_id,evidence_source,expected,expected_end,expected_start,gap_candidate,issue_class,issue_type,main_misuse_count,mapped_contracts_missing_bars,mapping_rows,max_trade_date,metadata_status,min_trade_date,missing_count,na_reason,physical_status,profile,provider,quality_status,recommended_next_task,row_count,standard_path,start_date,status,status_reason,symbol_or_contract,target_reason,unique_contracts,year,year/window
a,A2005,1d,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,duplicate_active,actual_contract,primary,rq_acb_a_A2005_1d_20191205_20200407_v1,,83296.0,,2.0,,2020-04-07,market_data_file:83296,db_market_data_file,True,2020-12-31,2020-01-02,duplicate_active,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,81.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2005/A2005_1d_20191205_20200407.parquet,2019-12-05,covered_passed,,A2005,actual_contract_discovered,,2020.0,2020.0
a,A2005,1m,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,not_profile_scoped,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2005_1m_20191205_20200407_v1,,96915.0,,0.0,,2020-04-07,market_data_file:96915,"db_market_data_file,manifest",True,2020-12-31,2020-01-02,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,,rqdata,passed,,22305.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2005/A2005_1m_20191205_20200407.parquet,2019-12-04,covered_passed,,A2005,actual_contract_discovered,,2020.0,2020.0
a,A2005,1w,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,duplicate_active,actual_contract,primary,rq_acb_a_A2005_1w_20191205_20200407_v1,,83298.0,,2.0,,2020-04-03,market_data_file:83298,db_market_data_file,True,2020-12-31,2020-01-02,duplicate_active,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,16.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2005/A2005_1w_20191205_20200407.parquet,2019-12-13,covered_passed,,A2005,actual_contract_discovered,,2020.0,2020.0
a,A2009,1d,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2009_1d_20200408_20200818_v1,,66735.0,,0.0,,2020-08-18,market_data_file:66735,"db_market_data_file,manifest",True,2020-12-31,2020-01-02,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,90.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2009/A2009_1d_20200408_20200818.parquet,2020-04-08,covered_passed,,A2009,actual_contract_discovered,,2020.0,2020.0
a,A2009,1m,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,not_profile_scoped,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2009_1m_20200408_20200818_v1,,96917.0,,0.0,,2020-08-18,market_data_file:96917,db_market_data_file,True,2020-12-31,2020-01-02,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,,rqdata,passed,,28770.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2009/A2009_1m_20200408_20200818.parquet,2020-04-08,covered_passed,,A2009,actual_contract_discovered,,2020.0,2020.0
a,A2009,1w,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2009_1w_20200408_20200818_v1,,66737.0,,0.0,,2020-08-14,market_data_file:66737,"db_market_data_file,manifest",True,2020-12-31,2020-01-02,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,18.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2009/A2009_1w_20200408_20200818.parquet,2020-04-17,covered_passed,,A2009,actual_contract_discovered,,2020.0,2020.0
a,A2101,1d,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2101_1d_20200819_20201214_v1,,66739.0,,0.0,,2020-12-14,market_data_file:66739,"db_market_data_file,manifest",True,2020-12-31,2020-01-02,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,78.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2101/A2101_1d_20200819_20201214.parquet,2020-08-19,covered_passed,,A2101,actual_contract_discovered,,2020.0,2020.0
a,A2101,1m,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,not_profile_scoped,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2101_1m_20200819_20201214_v1,,96919.0,,0.0,,2020-12-14,market_data_file:96919,db_market_data_file,True,2020-12-31,2020-01-02,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,,rqdata,passed,,26790.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=A2101/A2101_1m_20200819_20201214.parquet,2020-08-18,covered_passed,,A2101,actual_contract_discovered,,2020.0,2020.0
a,A2101,1w,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2101_1w_20200819_20201214_v1,,66741.0,,0.0,,2020-12-11,market_data_file:66741,"db_market_data_file,manifest",True,2020-12-31,2020-01-02,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,16.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2101/A2101_1w_20200819_20201214.parquet,2020-08-28,covered_passed,,A2101,actual_contract_discovered,,2020.0,2020.0
a,A2105,1d,actual_contract_coverage,blocked_with_reason,B-04,covered_passed,2026-07-10,,active_valid,physical_status:schema_invalid,actual_contract,primary,rq_acb_a_A2105_1d_20201215_20210420_v1,,66743.0,,0.0,,2021-04-20,market_data_file:66743,"db_market_data_file,manifest",True,2020-12-31,2020-01-02,physical_status:schema_invalid,,,,,,,registered,,0.0,,schema_invalid,long_horizon_daily_v1,rqdata,passed,,84.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2105/A2105_1d_20201215_20210420.parquet,2020-12-15,covered_passed,,A2105,actual_contract_discovered,,2020.0,2020.0
