source,product,contract,period,reason,final_classification
B-02/B-03/B-04/B-05,a,a.MAIN,1d,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1d,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1d,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1d,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1d,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1d,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1d,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1d,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1d,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1d,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1d,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1d,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1d,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1d,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1w,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1w,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1w,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1w,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1w,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1w,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1w,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1m,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1m,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1m,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1m,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1m,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1m,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,1m,duplicate_active,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,5m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,5m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,5m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,5m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,5m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,5m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,5m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,15m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,15m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,15m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,15m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,15m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,15m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,15m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,30m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,30m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,30m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,30m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,30m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,30m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,30m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,60m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,60m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,60m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,60m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,60m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,60m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,a,a.MAIN,60m,physical_status:schema_invalid,blocked_with_reason
B-02/B-03/B-04/B-05,ad,ad.MAIN,1d,physical_status:schema_invalid,blocked_with_reason
