product,pre_2020_status,final_classification,classification_source,next_task,direct_1w_present,direct_1w_row_count,duckdb_row_count,incomplete_week_excluded,issue_class,listed_date,max_datetime,min_datetime,post_2020_expected_years,post_2020_passed_years,pre_2020_applicable,seam_2020_status
ag,partial_or_missing_pre2020,blocked_with_reason,weekly_history:partial_or_missing_pre2020,B-03,True,726,726,False,coverage_missing,2012-05-10,2026-07-10 00:00:00,2012-05-11 00:00:00,7,7,True,continuous_file_spans_2020
al,partial_or_missing_pre2020,blocked_with_reason,weekly_history:partial_or_missing_pre2020,B-03,True,1343,1343,False,coverage_missing,1999-01-04,2026-07-10 00:00:00,2000-01-07 00:00:00,7,7,True,continuous_file_spans_2020
au,partial_or_missing_pre2020,blocked_with_reason,weekly_history:partial_or_missing_pre2020,B-03,True,947,947,False,coverage_missing,2008-01-09,2026-07-10 00:00:00,2008-01-11 00:00:00,7,7,True,continuous_file_spans_2020
b,partial_or_missing_pre2020,blocked_with_reason,weekly_history:partial_or_missing_pre2020,B-03,True,1098,1098,False,coverage_missing,2004-12-22,2026-07-10 00:00:00,2004-12-24 00:00:00,7,7,True,continuous_file_spans_2020
bu,partial_or_missing_pre2020,blocked_with_reason,weekly_history:partial_or_missing_pre2020,B-03,True,654,654,False,coverage_missing,2013-10-09,2026-07-10 00:00:00,2013-10-11 00:00:00,7,7,True,continuous_file_spans_2020
c,partial_or_missing_pre2020,blocked_with_reason,weekly_history:partial_or_missing_pre2020,B-03,True,1111,1111,False,coverage_missing,2004-09-22,2026-07-10 00:00:00,2004-09-24 00:00:00,7,7,True,continuous_file_spans_2020
cf,partial_or_missing_pre2020,blocked_with_reason,weekly_history:partial_or_missing_pre2020,B-03,True,1127,1127,False,coverage_missing,2004-06-01,2026-07-10 00:00:00,2004-06-04 00:00:00,7,7,True,continuous_file_spans_2020
cu,partial_or_missing_pre2020,blocked_with_reason,weekly_history:partial_or_missing_pre2020,B-03,True,1343,1343,False,coverage_missing,1999-01-04,2026-07-10 00:00:00,2000-01-07 00:00:00,7,7,True,continuous_file_spans_2020
eb,partial_or_missing_pre2020,blocked_with_reason,weekly_history:partial_or_missing_pre2020,B-03,True,348,348,False,coverage_missing,2019-09-26,2026-07-10 00:00:00,2019-09-27 00:00:00,7,7,True,continuous_file_spans_2020
eg,partial_or_missing_pre2020,blocked_with_reason,weekly_history:partial_or_missing_pre2020,B-03,True,388,388,False,coverage_missing,2018-12-10,2026-07-10 00:00:00,2018-12-14 00:00:00,7,7,True,continuous_file_spans_2020
fg,partial_or_missing_pre2020,blocked_with_reason,weekly_history:partial_or_missing_pre2020,B-03,True,697,697,False,coverage_missing,2012-12-03,2026-07-10 00:00:00,2012-12-07 00:00:00,7,7,True,continuous_file_spans_2020
fu,partial_or_missing_pre2020,blocked_with_reason,weekly_history:partial_or_missing_pre2020,B-03,True,1112,1112,False,coverage_missing,2004-08-25,2026-07-10 00:00:00,2004-08-27 00:00:00,7,7,True,continuous_file_spans_2020
ic,partial_or_missing_pre2020,blocked_with_reason,weekly_history:partial_or_missing_pre2020,B-03,True,575,575,False,coverage_missing,2015-04-16,2026-07-10 00:00:00,2015-04-17 00:00:00,7,7,True,continuous_file_spans_2020
ih,partial_or_missing_pre2020,blocked_with_reason,weekly_history:partial_or_missing_pre2020,B-03,True,575,575,False,coverage_missing,2015-04-16,2026-07-10 00:00:00,2015-04-17 00:00:00,7,7,True,continuous_file_spans_2020
jr,partial_or_missing_pre2020,blocked_with_reason,weekly_history:partial_or_missing_pre2020,B-03,True,648,648,False,coverage_missing,2013-11-18,2026-07-10 00:00:00,2013-11-22 00:00:00,7,7,True,continuous_file_spans_2020
l,partial_or_missing_pre2020,blocked_with_reason,weekly_history:partial_or_missing_pre2020,B-03,True,969,969,False,coverage_missing,2007-07-31,2026-07-10 00:00:00,2007-08-03 00:00:00,7,7,True,continuous_file_spans_2020
