product,direct_1d_present,derived_1d_from_1m_present,direct_1m_present,direct_1w_present,direct_1d_row_count,derived_1d_row_count,row_count_diff_direct_minus_derived,crosscheck_status,weekly_from_1d_status,issue_class,primary_source_decision
a,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
ad,True,True,True,True,265,265,0,match,both_present_manual_review,match,unchanged_readonly_audit
ag,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
al,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
ao,True,True,True,True,741,741,0,match,both_present_manual_review,match,unchanged_readonly_audit
ap,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
au,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
b,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
bb,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
bc,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
br,True,True,True,True,714,714,0,match,both_present_manual_review,match,unchanged_readonly_audit
bu,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
bz,True,True,True,True,245,245,0,match,both_present_manual_review,match,unchanged_readonly_audit
c,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
cf,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
cj,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
cs,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
cu,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
cy,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
eb,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
ec,True,True,True,True,699,699,0,match,both_present_manual_review,match,unchanged_readonly_audit
eg,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
fb,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
fg,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
fu,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
hc,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
i,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
ic,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
if,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
ih,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
im,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
j,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
jd,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
jm,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
jr,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
l,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
l_f,True,True,True,True,170,170,0,match,both_present_manual_review,match,unchanged_readonly_audit
lc,True,True,True,True,719,719,0,match,both_present_manual_review,match,unchanged_readonly_audit
lg,True,True,True,True,399,399,0,match,both_present_manual_review,match,unchanged_readonly_audit
lh,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
lu,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
m,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
ma,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
ni,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
nr,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
oi,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
op,True,True,True,True,199,199,0,match,both_present_manual_review,match,unchanged_readonly_audit
p,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
pb,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
pd,True,True,True,True,149,149,0,match,both_present_manual_review,match,unchanged_readonly_audit
pf,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
pg,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
pk,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
pl,True,True,True,True,235,235,0,match,both_present_manual_review,match,unchanged_readonly_audit
pm,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
pp,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
pp_f,True,True,True,True,170,170,0,match,both_present_manual_review,match,unchanged_readonly_audit
pr,True,True,True,True,448,448,0,match,both_present_manual_review,match,unchanged_readonly_audit
ps,True,True,True,True,371,371,0,match,both_present_manual_review,match,unchanged_readonly_audit
pt,True,True,True,True,149,149,0,match,both_present_manual_review,match,unchanged_readonly_audit
px,True,True,True,True,679,679,0,match,both_present_manual_review,match,unchanged_readonly_audit
rb,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
ri,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
rm,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
rr,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
rs,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
ru,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
sa,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
sc,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
sf,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
sh,True,True,True,True,679,679,0,match,both_present_manual_review,match,unchanged_readonly_audit
si,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
sm,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
sn,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
sp,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
sr,True,True,True,True,851,851,0,match,both_present_manual_review,match,unchanged_readonly_audit
