product,contract_role,contract_code,period,market_data_file_id,data_version,quality_status,file_path,start_time,end_time,duplicate_group_size,issue_class,disposition
a,actual_contract,A2609,15m,33600,rqdata_actual_contract_bars_a_A2609_15m_20260401_20260707_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2609/A2609_15m_20260401_20260707.parquet,2026-03-31T21:15:00+00:00,2026-07-07T15:00:00+00:00,20,duplicate_active,requires_supersede_decision
a,actual_contract,A2609,15m,33870,rq_acb_a_A2609_15m_20260401_20260707_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2609/A2609_15m_20260401_20260707.parquet,2026-03-31T21:15:00+00:00,2026-07-07T15:00:00+00:00,20,duplicate_active,requires_supersede_decision
a,actual_contract,A2305,15m,45368,rq_acb_a_A2305_15m_20230103_20230406_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2305/A2305_15m_20230103_20230406.parquet,2023-01-03T09:15:00+00:00,2023-04-06T15:00:00+00:00,20,duplicate_active,requires_supersede_decision
a,actual_contract,A2307,15m,45374,rq_acb_a_A2307_15m_20230407_20230612_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2307/A2307_15m_20230407_20230612.parquet,2023-04-06T21:15:00+00:00,2023-06-12T15:00:00+00:00,20,duplicate_active,requires_supersede_decision
a,actual_contract,A2309,15m,45380,rq_acb_a_A2309_15m_20230613_20230816_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2309/A2309_15m_20230613_20230816.parquet,2023-06-12T21:15:00+00:00,2023-08-16T15:00:00+00:00,20,duplicate_active,requires_supersede_decision
a,actual_contract,A2311,15m,45386,rq_acb_a_A2311_15m_20230817_20231017_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2311/A2311_15m_20230817_20231017.parquet,2023-08-16T21:15:00+00:00,2023-10-17T15:00:00+00:00,20,duplicate_active,requires_supersede_decision
a,actual_contract,A2401,15m,45392,rq_acb_a_A2401_15m_20231018_20231213_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2401/A2401_15m_20231018_20231213.parquet,2023-10-17T21:15:00+00:00,2023-12-13T15:00:00+00:00,20,duplicate_active,requires_supersede_decision
a,actual_contract,A2403,15m,45398,rq_acb_a_A2403_15m_20231214_20240222_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2403/A2403_15m_20231214_20240222.parquet,2023-12-13T21:15:00+00:00,2024-02-22T15:00:00+00:00,20,duplicate_active,requires_supersede_decision
a,actual_contract,A2405,15m,45404,rq_acb_a_A2405_15m_20240223_20240419_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2405/A2405_15m_20240223_20240419.parquet,2024-02-22T21:15:00+00:00,2024-04-19T15:00:00+00:00,20,duplicate_active,requires_supersede_decision
a,actual_contract,A2407,15m,45410,rq_acb_a_A2407_15m_20240422_20240613_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2407/A2407_15m_20240422_20240613.parquet,2024-04-19T21:15:00+00:00,2024-06-13T15:00:00+00:00,20,duplicate_active,requires_supersede_decision
a,actual_contract,A2409,15m,45416,rq_acb_a_A2409_15m_20240614_20240813_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2409/A2409_15m_20240614_20240813.parquet,2024-06-13T21:15:00+00:00,2024-08-13T15:00:00+00:00,20,duplicate_active,requires_supersede_decision
a,actual_contract,A2501,15m,45422,rq_acb_a_A2501_15m_20240814_20241217_v1,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2501/A2501_15m_20240814_20241217.parquet,2024-08-13T21:15:00+00:00,2024-12-17T15:00:00+00:00,20,duplicate_active,requires_supersede_decision
