product,mapping_rows,min_trade_date,max_trade_date,unique_contracts,main_misuse_count,duplicate_trade_dates,date_gap_count,mapped_contracts_missing_bars,audit_status,issue_class,detail
a,5214,2005-01-04,2026-07-07,76,0,0,61,0,warning,mapping_defect,date_gaps=61
ad,254,2025-06-10,2026-07-07,11,0,0,4,0,warning,mapping_defect,date_gaps=4
ag,3432,2012-05-10,2026-07-07,44,0,0,39,0,warning,mapping_defect,date_gaps=39
al,5214,2005-01-04,2026-07-07,252,0,0,61,0,warning,mapping_defect,date_gaps=61
ao,730,2023-06-19,2026-07-07,22,0,0,10,0,warning,mapping_defect,date_gaps=10
ap,2061,2017-12-22,2026-07-07,26,0,0,26,0,warning,mapping_defect,date_gaps=26
au,4484,2008-01-09,2026-07-07,53,0,0,51,0,warning,mapping_defect,date_gaps=51
b,5214,2005-01-04,2026-07-07,119,0,0,61,0,warning,mapping_defect,date_gaps=61
bb,3050,2013-12-06,2026-07-07,81,0,0,34,0,warning,mapping_defect,date_gaps=34
bc,1356,2020-11-19,2026-07-07,66,0,0,18,0,warning,mapping_defect,date_gaps=18
br,703,2023-07-28,2026-07-07,32,0,0,10,0,warning,mapping_defect,date_gaps=10
bu,3092,2013-10-09,2026-07-07,55,0,0,34,0,warning,mapping_defect,date_gaps=34
bz,234,2025-07-08,2026-07-07,6,0,0,4,0,warning,mapping_defect,date_gaps=4
c,5214,2005-01-04,2026-07-07,77,0,0,61,0,warning,mapping_defect,date_gaps=61
cf,5214,2005-01-04,2026-07-07,78,0,0,61,0,warning,mapping_defect,date_gaps=61
cj,1734,2019-04-30,2026-07-07,22,0,0,23,0,warning,mapping_defect,date_gaps=23
cs,2796,2014-12-19,2026-07-07,52,0,0,32,0,warning,mapping_defect,date_gaps=32
cu,5214,2005-01-04,2026-07-07,258,0,0,61,0,warning,mapping_defect,date_gaps=61
cy,2146,2017-08-18,2026-07-07,32,0,0,27,0,warning,mapping_defect,date_gaps=27
eb,1632,2019-09-26,2026-07-07,70,0,0,22,0,warning,mapping_defect,date_gaps=22
ec,688,2023-08-18,2026-07-07,16,0,0,10,0,warning,mapping_defect,date_gaps=10
eg,1827,2018-12-10,2026-07-07,23,0,0,24,0,warning,mapping_defect,date_gaps=24
fb,3050,2013-12-06,2026-07-07,74,0,0,34,0,warning,mapping_defect,date_gaps=34
fg,3291,2012-12-03,2026-07-07,42,0,0,38,0,warning,mapping_defect,date_gaps=38
fu,5203,2005-01-04,2026-07-07,126,0,0,62,0,warning,mapping_defect,date_gaps=62
hc,2981,2014-03-21,2026-07-07,38,0,0,33,0,warning,mapping_defect,date_gaps=33
i,3085,2013-10-18,2026-07-07,39,0,0,34,0,warning,mapping_defect,date_gaps=34
ic,2720,2015-04-16,2026-07-07,135,0,0,31,0,warning,mapping_defect,date_gaps=31
if,3931,2010-04-16,2026-07-07,195,0,0,46,0,warning,mapping_defect,date_gaps=46
ih,2720,2015-04-16,2026-07-07,135,0,0,31,0,warning,mapping_defect,date_gaps=31
im,950,2022-07-22,2026-07-07,48,0,0,13,0,warning,mapping_defect,date_gaps=13
j,3691,2011-04-15,2026-07-07,46,0,0,42,0,warning,mapping_defect,date_gaps=42
jd,3070,2013-11-08,2026-07-07,61,0,0,34,0,warning,mapping_defect,date_gaps=34
jm,3220,2013-03-22,2026-07-07,41,0,0,37,0,warning,mapping_defect,date_gaps=37
jr,3064,2013-11-18,2026-07-07,51,0,0,34,0,warning,mapping_defect,date_gaps=34
l,4593,2007-07-31,2026-07-07,63,0,0,52,0,warning,mapping_defect,date_gaps=52
l_f,159,2025-10-29,2026-07-07,8,0,0,3,0,warning,mapping_defect,date_gaps=3
lc,708,2023-07-21,2026-07-07,11,0,0,10,0,warning,mapping_defect,date_gaps=10
lg,388,2024-11-18,2026-07-07,8,0,0,6,0,warning,mapping_defect,date_gaps=6
lh,1321,2021-01-08,2026-07-07,26,0,0,18,0,warning,mapping_defect,date_gaps=18
lu,1456,2020-06-22,2026-07-07,68,0,0,19,0,warning,mapping_defect,date_gaps=19
m,5214,2005-01-04,2026-07-07,68,0,0,61,0,warning,mapping_defect,date_gaps=61
ma,2923,2014-06-17,2026-07-07,35,0,0,33,0,warning,mapping_defect,date_gaps=33
ni,2733,2015-03-27,2026-07-07,93,0,0,31,0,warning,mapping_defect,date_gaps=31
nr,1664,2019-08-12,2026-07-07,79,0,0,22,0,warning,mapping_defect,date_gaps=22
oi,3386,2012-07-16,2026-07-07,43,0,0,39,0,warning,mapping_defect,date_gaps=39
op,188,2025-09-10,2026-07-07,9,0,0,4,0,warning,mapping_defect,date_gaps=4
p,4534,2007-10-29,2026-07-07,57,0,0,51,0,warning,mapping_defect,date_gaps=51
pb,3705,2011-03-24,2026-07-07,176,0,0,42,0,warning,mapping_defect,date_gaps=42
pd,138,2025-11-27,2026-07-07,2,0,0,3,0,warning,mapping_defect,date_gaps=3
pf,1384,2020-10-12,2026-07-07,49,0,0,18,0,warning,mapping_defect,date_gaps=18
pg,1512,2020-03-30,2026-07-07,66,0,0,20,0,warning,mapping_defect,date_gaps=20
pk,1305,2021-02-01,2026-07-07,22,0,0,18,0,warning,mapping_defect,date_gaps=18
pl,224,2025-07-22,2026-07-07,8,0,0,4,0,warning,mapping_defect,date_gaps=4
pm,3504,2012-01-17,2026-07-07,56,0,0,41,0,warning,mapping_defect,date_gaps=41
pp,2996,2014-02-28,2026-07-07,38,0,0,33,0,warning,mapping_defect,date_gaps=33
pp_f,159,2025-10-29,2026-07-07,5,0,0,3,0,warning,mapping_defect,date_gaps=3
pr,437,2024-08-30,2026-07-07,16,0,0,7,0,warning,mapping_defect,date_gaps=7
ps,360,2024-12-26,2026-07-07,10,0,0,6,0,warning,mapping_defect,date_gaps=6
pt,138,2025-11-27,2026-07-07,2,0,0,3,0,warning,mapping_defect,date_gaps=3
px,668,2023-09-15,2026-07-07,11,0,0,10,0,warning,mapping_defect,date_gaps=10
rb,4189,2009-03-27,2026-07-07,56,0,0,48,0,warning,mapping_defect,date_gaps=48
ri,3380,2012-07-24,2026-07-07,52,0,0,39,0,warning,mapping_defect,date_gaps=39
rm,3272,2012-12-28,2026-07-07,43,0,0,38,0,warning,mapping_defect,date_gaps=38
rr,1660,2019-08-16,2026-07-07,67,0,0,22,0,warning,mapping_defect,date_gaps=22
rs,3272,2012-12-28,2026-07-07,34,0,0,38,0,warning,mapping_defect,date_gaps=38
ru,5214,2005-01-04,2026-07-07,90,0,0,61,0,warning,mapping_defect,date_gaps=61
sa,1586,2019-12-06,2026-07-07,20,0,0,21,0,warning,mapping_defect,date_gaps=21
sc,2001,2018-03-26,2026-07-07,93,0,0,25,0,warning,mapping_defect,date_gaps=25
sf,2885,2014-08-08,2026-07-07,61,0,0,33,0,warning,mapping_defect,date_gaps=33
sh,668,2023-09-15,2026-07-07,12,0,0,10,0,warning,mapping_defect,date_gaps=10
si,847,2022-12-22,2026-07-07,26,0,0,12,0,warning,mapping_defect,date_gaps=12
sm,2885,2014-08-08,2026-07-07,44,0,0,33,0,warning,mapping_defect,date_gaps=33
sn,2733,2015-03-27,2026-07-07,90,0,0,31,0,warning,mapping_defect,date_gaps=31
sp,1836,2018-11-27,2026-07-07,34,0,0,24,0,warning,mapping_defect,date_gaps=24
sr,4970,2006-01-06,2026-07-07,67,0,0,58,0,warning,mapping_defect,date_gaps=58
ss,1633,2019-09-25,2026-07-07,71,0,0,22,0,warning,mapping_defect,date_gaps=22
t,2738,2015-03-20,2026-07-07,45,0,0,31,0,warning,mapping_defect,date_gaps=31
ta,4741,2006-12-18,2026-07-07,71,0,0,55,0,warning,mapping_defect,date_gaps=55
tf,3108,2013-09-06,2026-07-07,52,0,0,35,0,warning,mapping_defect,date_gaps=35
tl,768,2023-04-21,2026-07-07,14,0,0,11,0,warning,mapping_defect,date_gaps=11
ts,1902,2018-08-17,2026-07-07,32,0,0,25,0,warning,mapping_defect,date_gaps=25
