product,actual_contracts,active_actual_periods,stage9_status,blocked_reasons
a,"A2005,A2009,A2101,A2105,A2109,A2111,A2201,A2203,A2207,A2209,A2211,A2301,A2305,A2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ad,AD2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ag,"AG2006,AG2012,AG2102,AG2106,AG2112,AG2206,AG2212,AG2302,AG2306,AG2608",1d,stage9_blocked,"missing_entry_periods:5m,15m;missing_trading_parameters:AG2302:price_tick;signal_event_gate_required_for_bar_end_and_trigger_price"
al,"AL2002,AL2003,AL2004,AL2005,AL2006,AL2007,AL2008,AL2009,AL2010,AL2011,AL2012,AL2101,AL2102,AL2103,AL2104,AL2105,AL2106,AL2107,AL2108,AL2109,AL2110,AL2111,AL2112,AL2201,AL2202,AL2203,AL2204,AL2205,AL2206,AL2207,AL2208,AL2209,AL2210,AL2211,AL2212,AL2301,AL2302,AL2608",1d,stage9_blocked,"missing_entry_periods:5m,15m;missing_trading_parameters:AL2301:price_tick;signal_event_gate_required_for_bar_end_and_trigger_price"
ao,AO2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
ap,"AP2005,AP2010,AP2101,AP2105,AP2110,AP2201,AP2205,AP2210,AP2301,AP2305,AP2610",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
au,"AU2006,AU2012,AU2106,AU2112,AU2202,AU2206,AU2212,AU2302,AU2608",1d,stage9_blocked,"missing_entry_periods:5m,15m;missing_trading_parameters:AU2302:price_tick;signal_event_gate_required_for_bar_end_and_trigger_price"
b,"B2003,B2005,B2006,B2007,B2008,B2009,B2010,B2011,B2012,B2102,B2103,B2104,B2105,B2106,B2107,B2108,B2109,B2110,B2111,B2112,B2201,B2202,B2203,B2204,B2205,B2206,B2207,B2209,B2210,B2211,B2212,B2301,B2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
bb,"BB2001,BB2002,BB2003,BB2004,BB2005,BB2006,BB2008,BB2009,BB2012,BB2101,BB2102,BB2103,BB2104,BB2105,BB2106,BB2107,BB2108,BB2109,BB2110,BB2111,BB2112,BB2201,BB2202,BB2203,BB2204,BB2205,BB2206,BB2207,BB2208,BB2209,BB2210,BB2211,BB2212,BB2301,BB2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
bc,"BC2103,BC2104,BC2105,BC2106,BC2107,BC2108,BC2109,BC2110,BC2111,BC2112,BC2201,BC2202,BC2203,BC2204,BC2205,BC2206,BC2207,BC2208,BC2209,BC2210,BC2211,BC2212,BC2301,BC2302,BC2303,BC2608",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
br,BR2609,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
bu,"BU2006,BU2012,BU2106,BU2109,BU2112,BU2206,BU2209,BU2212,BU2301,BU2306,BU2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;missing_trading_parameters:BU2301:price_tick;signal_event_gate_required_for_bar_end_and_trigger_price"
bz,BZ2608,1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
c,"C2005,C2009,C2101,C2105,C2109,C2201,C2205,C2209,C2301,C2303,C2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
cf,"CF2005,CF2009,CF2101,CF2105,CF2109,CF2201,CF2205,CF2209,CF2301,CF2305,CF2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
cj,"CJ2005,CJ2009,CJ2101,CJ2105,CJ2109,CJ2201,CJ2205,CJ2209,CJ2301,CJ2305,CJ2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
cs,"CS2005,CS2009,CS2101,CS2105,CS2107,CS2109,CS2111,CS2201,CS2203,CS2205,CS2207,CS2209,CS2211,CS2301,CS2303,CS2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
cu,"CU2003,CU2004,CU2005,CU2006,CU2007,CU2008,CU2009,CU2010,CU2011,CU2012,CU2101,CU2102,CU2103,CU2104,CU2105,CU2106,CU2107,CU2108,CU2109,CU2110,CU2111,CU2112,CU2201,CU2202,CU2203,CU2204,CU2205,CU2206,CU2207,CU2208,CU2209,CU2210,CU2211,CU2212,CU2301,CU2303,CU2608",1d,stage9_blocked,"missing_entry_periods:5m,15m;missing_trading_parameters:CU2301:price_tick;signal_event_gate_required_for_bar_end_and_trigger_price"
cy,"CY2005,CY2009,CY2101,CY2105,CY2109,CY2201,CY2205,CY2209,CY2301,CY2305,CY2609",1d,stage9_blocked,"missing_entry_periods:5m,15m;signal_event_gate_required_for_bar_end_and_trigger_price"
