product,listed_date,pre_2020_applicable,pre_2020_status,post_2020_passed_years,post_2020_expected_years,direct_1w_present,direct_1w_row_count,duckdb_row_count,min_datetime,max_datetime,incomplete_week_excluded,seam_2020_status,issue_class
a,2002-03-15,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
ad,2025-06-10,False,not_applicable,2,2,True,56,56,2025-06-13 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
ag,2012-05-10,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
al,1999-01-04,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
ao,2023-06-19,False,not_applicable,4,4,True,157,157,2023-06-21 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
ap,2017-12-22,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
au,2008-01-09,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
b,2004-12-22,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
bb,2013-12-06,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
bc,2020-11-19,False,not_applicable,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
br,2023-07-28,False,not_applicable,4,4,True,152,152,2023-07-28 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
bu,2013-10-09,True,partial_or_missing_pre2020,7,7,True,180,180,2023-01-06 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
bz,2025-07-08,False,not_applicable,2,2,True,52,52,2025-07-11 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,confirmed_passed
