product,product_status,active_passed,audit_pending,failed,missing,total_assets
a,active_partial,13,2,0,0,15
ad,active_partial,1,1,0,0,2
ag,active_partial,10,1,0,0,11
al,active_partial,38,1,0,0,39
ao,active_partial,1,1,0,0,2
ap,active_partial,10,2,0,0,12
au,active_partial,9,1,0,0,10
b,active_partial,33,1,0,0,34
bb,active_partial,34,2,0,0,36
bc,active_partial,25,2,0,0,27
br,active_partial,1,1,0,0,2
bu,active_partial,11,1,0,0,12
bz,active_partial,1,1,0,0,2
c,active_partial,10,2,0,0,12
cf,active_partial,10,2,0,0,12
cj,active_partial,10,2,0,0,12
cs,active_partial,15,2,0,0,17
cu,active_partial,37,1,0,0,38
cy,active_partial,10,2,0,0,12
eb,active_partial,27,2,0,0,29
ec,active_partial,1,1,0,0,2
eg,active_partial,11,1,0,0,12
fb,active_partial,19,2,0,0,21
fg,active_partial,11,1,0,0,12
fu,active_partial,11,1,0,0,12
hc,active_partial,11,1,0,0,12
i,active_partial,11,1,0,0,12
ic,active_partial,37,2,0,0,39
if,active_partial,37,2,0,0,39
ih,active_partial,37,2,0,0,39
im,active_partial,6,2,0,0,8
j,active_partial,11,1,0,0,12
jd,active_partial,14,2,0,0,16
jm,active_partial,10,3,0,0,13
jr,active_partial,8,1,0,0,9
l,active_partial,11,2,0,0,13
l_f,active_partial,1,1,0,0,2
lc,active_partial,1,1,0,0,2
lg,active_partial,1,1,0,0,2
lh,active_partial,7,2,0,0,9
lu,active_partial,26,2,0,0,28
m,active_partial,10,2,0,0,12
ma,active_partial,11,1,0,0,12
ni,active_partial,32,1,0,0,33
nr,active_partial,35,2,0,0,37
oi,active_partial,10,2,0,0,12
op,active_partial,1,1,0,0,2
p,active_partial,10,2,0,0,12
pb,active_partial,38,1,0,0,39
pd,active_partial,1,1,0,0,2
pf,active_partial,14,1,0,0,15
pg,active_partial,29,1,0,0,30
pk,active_partial,6,2,0,0,8
pl,active_partial,1,1,0,0,2
pm,active_partial,8,2,0,0,10
pp,active_partial,11,2,0,0,13
pp_f,active_partial,1,1,0,0,2
pr,active_partial,1,1,0,0,2
ps,active_partial,1,1,0,0,2
pt,active_partial,1,1,0,0,2
px,active_partial,1,1,0,0,2
rb,active_partial,11,1,0,0,12
ri,active_partial,10,2,0,0,12
rm,active_partial,10,2,0,0,12
rr,active_partial,29,2,0,0,31
rs,active_partial,6,1,0,0,7
ru,active_partial,10,2,0,0,12
sa,active_partial,11,1,0,0,12
sc,active_partial,36,1,0,0,37
sf,active_partial,15,2,0,0,17
sh,active_partial,1,1,0,0,2
si,active_partial,1,2,0,0,3
sm,active_partial,10,2,0,0,12
sn,active_partial,33,1,0,0,34
sp,active_partial,17,2,0,0,19
sr,active_partial,10,2,0,0,12
ss,active_partial,33,2,0,0,35
t,active_partial,13,2,0,0,15
ta,active_partial,11,1,0,0,12
tf,active_partial,13,2,0,0,15
tl,active_partial,1,1,0,0,2
ts,active_partial,13,2,0,0,15
ur,active_partial,11,2,0,0,13
v,active_partial,11,2,0,0,13
v_f,active_partial,1,1,0,0,2
wh,active_partial,6,1,0,0,7
wr,active_partial,10,2,0,0,12
y,active_partial,10,2,0,0,12
zc,active_partial,9,1,0,0,10
zn,active_partial,37,1,0,0,38
