product,listed_date,pre_2020_applicable,pre_2020_status,post_2020_passed_years,post_2020_expected_years,direct_1w_present,direct_1w_row_count,duckdb_row_count,min_datetime,max_datetime,incomplete_week_excluded,seam_2020_status,issue_class
a,2002-03-15,True,covered,7,7,True,1238,1238,2002-03-15 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
ad,2025-06-10,False,not_applicable,0,2,True,56,56,2025-06-13 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
ag,2012-05-10,True,partial_or_missing_pre2020,7,7,True,726,726,2012-05-11 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
al,1999-01-04,True,partial_or_missing_pre2020,0,7,True,1343,1343,2000-01-07 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
ao,2023-06-19,False,not_applicable,0,4,True,157,157,2023-06-21 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
ap,2017-12-22,True,covered,7,7,True,438,438,2017-12-22 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
au,2008-01-09,True,partial_or_missing_pre2020,7,7,True,947,947,2008-01-11 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
b,2004-12-22,True,partial_or_missing_pre2020,7,7,True,1098,1098,2004-12-24 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
bb,2013-12-06,True,covered,7,7,True,646,646,2013-12-06 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
bc,2020-11-19,False,not_applicable,7,7,True,289,289,2020-11-20 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
br,2023-07-28,False,not_applicable,0,4,True,152,152,2023-07-28 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
bu,2013-10-09,True,partial_or_missing_pre2020,7,7,True,654,654,2013-10-11 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
bz,2025-07-08,False,not_applicable,0,2,True,52,52,2025-07-11 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
c,2004-09-22,True,partial_or_missing_pre2020,7,7,True,1111,1111,2004-09-24 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
cf,2004-06-01,True,partial_or_missing_pre2020,7,7,True,1127,1127,2004-06-04 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
cj,2019-04-30,True,covered,7,7,True,369,369,2019-04-30 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
cs,2014-12-19,True,covered,7,7,True,592,592,2014-12-19 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
cu,1999-01-04,True,partial_or_missing_pre2020,7,7,True,1343,1343,2000-01-07 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
cy,2017-08-18,True,covered,7,7,True,455,455,2017-08-18 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
eb,2019-09-26,True,partial_or_missing_pre2020,7,7,True,348,348,2019-09-27 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
ec,2023-08-18,False,not_applicable,0,4,True,149,149,2023-08-18 00:00:00,2026-07-10 00:00:00,False,possible_2020_seam_gap,coverage_missing
eg,2018-12-10,True,partial_or_missing_pre2020,7,7,True,388,388,2018-12-14 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
fb,2013-12-06,True,covered,7,7,True,646,646,2013-12-06 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
fg,2012-12-03,True,partial_or_missing_pre2020,7,7,True,697,697,2012-12-07 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
fu,2004-08-25,True,partial_or_missing_pre2020,7,7,True,1112,1112,2004-08-27 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,coverage_missing
hc,2014-03-21,True,covered,7,7,True,631,631,2014-03-21 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
i,2013-10-18,True,covered,7,7,True,653,653,2013-10-18 00:00:00,2026-07-10 00:00:00,False,continuous_file_spans_2020,confirmed_passed
