product,contract_code,period,market_data_file_id,data_version,quality_status,file_path,start_time,end_time,duplicate_group_size,decision,current_market_data_file_id
a,a.MAIN,1w,55797,rqdata_a_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55797
a,a.MAIN,1w,79765,rqdata_a_standard_1w_20020315_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1w_20020315_20260711_v2.parquet,2002-03-15T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55797
ag,ag.MAIN,1w,55801,rqdata_ag_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55801
ag,ag.MAIN,1w,79766,rqdata_ag_standard_1w_20120510_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1w_20120510_20260711_v2.parquet,2012-05-11T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55801
al,al.MAIN,1w,55803,rqdata_al_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,3,keep_primary,55803
al,al.MAIN,1w,79767,rqdata_al_standard_1w_19990104_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1w_19990104_20260711_v2.parquet,2000-01-07T00:00:00+00:00,2026-07-10T00:00:00+00:00,3,mark_superseded,55803
al,al.MAIN,1w,82666,rqdata_al_standard_1w_20000104_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1w_20000104_20260711_v2.parquet,2000-01-07T00:00:00+00:00,2026-07-10T00:00:00+00:00,3,mark_superseded,55803
ap,ap.MAIN,1w,55807,rqdata_ap_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55807
ap,ap.MAIN,1w,79768,rqdata_ap_standard_1w_20171222_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_1w_20171222_20260711_v2.parquet,2017-12-22T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55807
au,au.MAIN,1w,55809,rqdata_au_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=au/contract=au.MAIN/au_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55809
au,au.MAIN,1w,79769,rqdata_au_standard_1w_20080109_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=SHFE/symbol=au/contract=au.MAIN/au_MAIN_1w_20080109_20260711_v2.parquet,2008-01-11T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55809
b,b.MAIN,1w,55811,rqdata_b_standard_1w_20230103_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_1w_20230103_20260711_v2.parquet,2023-01-06T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,keep_primary,55811
b,b.MAIN,1w,79770,rqdata_b_standard_1w_20041222_20260711_v2,passed,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_1w_20041222_20260711_v2.parquet,2004-12-24T00:00:00+00:00,2026-07-10T00:00:00+00:00,2,mark_superseded,55811
