product,listed_date,pre_2020_applicable,decision,mode,reason,gap_start,gap_end,output_start,output_end
a,2002-03-15,True,prepend,prepend,prepend historical prefix before existing asset,2002-03-15,2023-01-05,2002-03-15,2026-07-11
ag,2012-05-10,True,prepend,prepend,prepend historical prefix before existing asset,2012-05-10,2023-01-05,2012-05-10,2026-07-11
al,1999-01-04,True,prepend,prepend,prepend historical prefix before existing asset,2000-01-04,2023-01-05,2000-01-04,2026-07-11
ap,2017-12-22,True,prepend,prepend,prepend historical prefix before existing asset,2017-12-22,2023-01-05,2017-12-22,2026-07-11
au,2008-01-09,True,prepend,prepend,prepend historical prefix before existing asset,2008-01-09,2023-01-05,2008-01-09,2026-07-11
b,2004-12-22,True,prepend,prepend,prepend historical prefix before existing asset,2004-12-22,2023-01-05,2004-12-22,2026-07-11
bb,2013-12-06,True,prepend,prepend,prepend historical prefix before existing asset,2013-12-06,2023-01-05,2013-12-06,2026-07-11
bu,2013-10-09,True,prepend,prepend,prepend historical prefix before existing asset,2013-10-09,2023-01-05,2013-10-09,2026-07-11
c,2004-09-22,True,prepend,prepend,prepend historical prefix before existing asset,2004-09-22,2023-01-05,2004-09-22,2026-07-11
cf,2004-06-01,True,prepend,prepend,prepend historical prefix before existing asset,2004-06-01,2023-01-05,2004-06-01,2026-07-11
cj,2019-04-30,True,prepend,prepend,prepend historical prefix before existing asset,2019-04-30,2023-01-05,2019-04-30,2026-07-11
cs,2014-12-19,True,prepend,prepend,prepend historical prefix before existing asset,2014-12-19,2023-01-05,2014-12-19,2026-07-11
cu,1999-01-04,True,prepend,prepend,prepend historical prefix before existing asset,2000-01-04,2023-01-05,2000-01-04,2026-07-11
cy,2017-08-18,True,prepend,prepend,prepend historical prefix before existing asset,2017-08-18,2023-01-05,2017-08-18,2026-07-11
eb,2019-09-26,True,prepend,prepend,prepend historical prefix before existing asset,2019-09-26,2023-01-05,2019-09-26,2026-07-11
eg,2018-12-10,True,prepend,prepend,prepend historical prefix before existing asset,2018-12-10,2023-01-05,2018-12-10,2026-07-11
fb,2013-12-06,True,prepend,prepend,prepend historical prefix before existing asset,2013-12-06,2023-01-05,2013-12-06,2026-07-11
fg,2012-12-03,True,prepend,prepend,prepend historical prefix before existing asset,2012-12-03,2023-01-05,2012-12-03,2026-07-11
fu,2004-08-25,True,prepend,prepend,prepend historical prefix before existing asset,2004-08-25,2023-01-05,2004-08-25,2026-07-11
hc,2014-03-21,True,prepend,prepend,prepend historical prefix before existing asset,2014-03-21,2023-01-05,2014-03-21,2026-07-11
i,2013-10-18,True,prepend,prepend,prepend historical prefix before existing asset,2013-10-18,2023-01-05,2013-10-18,2026-07-11
ic,2015-04-16,True,prepend,prepend,prepend historical prefix before existing asset,2015-04-16,2023-01-05,2015-04-16,2026-07-11
if,2010-04-16,True,prepend,prepend,prepend historical prefix before existing asset,2010-04-16,2023-01-05,2010-04-16,2026-07-11
ih,2015-04-16,True,prepend,prepend,prepend historical prefix before existing asset,2015-04-16,2023-01-05,2015-04-16,2026-07-11
j,2011-04-15,True,prepend,prepend,prepend historical prefix before existing asset,2011-04-15,2023-01-05,2011-04-15,2026-07-11
jd,2013-11-08,True,prepend,prepend,prepend historical prefix before existing asset,2013-11-08,2023-01-05,2013-11-08,2026-07-11
jm,2013-03-22,True,prepend,prepend,prepend historical prefix before existing asset,2013-03-22,2023-01-05,2013-03-22,2026-07-11
jr,2013-11-18,True,prepend,prepend,prepend historical prefix before existing asset,2013-11-18,2023-01-05,2013-11-18,2026-07-11
l,2007-07-31,True,prepend,prepend,prepend historical prefix before existing asset,2007-07-31,2023-01-05,2007-07-31,2026-07-11
m,2000-07-17,True,prepend,prepend,prepend historical prefix before existing asset,2000-07-17,2023-01-05,2000-07-17,2026-07-11
ma,2014-06-17,True,prepend,prepend,prepend historical prefix before existing asset,2014-06-17,2023-01-05,2014-06-17,2026-07-11
ni,2015-03-27,True,prepend,prepend,prepend historical prefix before existing asset,2015-03-27,2023-01-05,2015-03-27,2026-07-11
nr,2019-08-12,True,prepend,prepend,prepend historical prefix before existing asset,2019-08-12,2023-01-05,2019-08-12,2026-07-11
oi,2012-07-16,True,prepend,prepend,prepend historical prefix before existing asset,2012-07-16,2023-01-05,2012-07-16,2026-07-11
p,2007-10-29,True,prepend,prepend,prepend historical prefix before existing asset,2007-10-29,2023-01-05,2007-10-29,2026-07-11
pb,2011-03-24,True,prepend,prepend,prepend historical prefix before existing asset,2011-03-24,2023-01-05,2011-03-24,2026-07-11
pm,2012-01-17,True,prepend,prepend,prepend historical prefix before existing asset,2012-01-17,2023-01-05,2012-01-17,2026-07-11
pp,2014-02-28,True,prepend,prepend,prepend historical prefix before existing asset,2014-02-28,2023-01-05,2014-02-28,2026-07-11
rb,2009-03-27,True,prepend,prepend,prepend historical prefix before existing asset,2009-03-27,2023-01-05,2009-03-27,2026-07-11
ri,2012-07-24,True,prepend,prepend,prepend historical prefix before existing asset,2012-07-24,2023-01-05,2012-07-24,2026-07-11
rm,2012-12-28,True,prepend,prepend,prepend historical prefix before existing asset,2012-12-28,2023-01-05,2012-12-28,2026-07-11
rr,2019-08-16,True,prepend,prepend,prepend historical prefix before existing asset,2019-08-16,2023-01-05,2019-08-16,2026-07-11
rs,2012-12-28,True,prepend,prepend,prepend historical prefix before existing asset,2012-12-28,2023-01-05,2012-12-28,2026-07-11
ru,1999-01-04,True,prepend,prepend,prepend historical prefix before existing asset,2000-01-04,2023-01-05,2000-01-04,2026-07-11
sa,2019-12-06,True,prepend,prepend,prepend historical prefix before existing asset,2019-12-06,2023-01-05,2019-12-06,2026-07-11
sc,2018-03-26,True,prepend,prepend,prepend historical prefix before existing asset,2018-03-26,2023-01-05,2018-03-26,2026-07-11
sf,2014-08-08,True,prepend,prepend,prepend historical prefix before existing asset,2014-08-08,2023-01-05,2014-08-08,2026-07-11
sm,2014-08-08,True,prepend,prepend,prepend historical prefix before existing asset,2014-08-08,2023-01-05,2014-08-08,2026-07-11
sn,2015-03-27,True,prepend,prepend,prepend historical prefix before existing asset,2015-03-27,2023-01-05,2015-03-27,2026-07-11
sp,2018-11-27,True,prepend,prepend,prepend historical prefix before existing asset,2018-11-27,2023-01-05,2018-11-27,2026-07-11
sr,2006-01-06,True,prepend,prepend,prepend historical prefix before existing asset,2006-01-06,2023-01-05,2006-01-06,2026-07-11
ss,2019-09-25,True,prepend,prepend,prepend historical prefix before existing asset,2019-09-25,2023-01-05,2019-09-25,2026-07-11
t,2015-03-20,True,prepend,prepend,prepend historical prefix before existing asset,2015-03-20,2023-01-05,2015-03-20,2026-07-11
ta,2006-12-18,True,prepend,prepend,prepend historical prefix before existing asset,2006-12-18,2023-01-05,2006-12-18,2026-07-11
tf,2013-09-06,True,prepend,prepend,prepend historical prefix before existing asset,2013-09-06,2023-01-05,2013-09-06,2026-07-11
ts,2018-08-17,True,prepend,prepend,prepend historical prefix before existing asset,2018-08-17,2023-01-05,2018-08-17,2026-07-11
ur,2019-08-09,True,prepend,prepend,prepend historical prefix before existing asset,2019-08-09,2023-01-05,2019-08-09,2026-07-11
v,2009-05-25,True,prepend,prepend,prepend historical prefix before existing asset,2009-05-25,2023-01-05,2009-05-25,2026-07-11
wh,2012-07-24,True,prepend,prepend,prepend historical prefix before existing asset,2012-07-24,2023-01-05,2012-07-24,2026-07-11
wr,2009-03-27,True,prepend,prepend,prepend historical prefix before existing asset,2009-03-27,2023-01-05,2009-03-27,2026-07-11
y,2006-01-09,True,prepend,prepend,prepend historical prefix before existing asset,2006-01-09,2023-01-05,2006-01-09,2026-07-11
zc,2015-05-18,True,prepend,prepend,prepend historical prefix before existing asset,2015-05-18,2023-01-05,2015-05-18,2026-07-11
zn,2007-03-26,True,prepend,prepend,prepend historical prefix before existing asset,2007-03-26,2023-01-05,2007-03-26,2026-07-11
