issue_type,physical_path,data_versions,db_file_ids,record_count,disposition
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ic/contract=IC2607/IC2607_15m_20260401_20260707.parquet,rq_acb_ic_IC2607_15m_20260401_20260707_v1;rqdata_actual_contract_bars_ic_IC2607_15m_20260401_20260707_v1,33719;34059,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=if/contract=IF2607/IF2607_15m_20260401_20260707.parquet,rq_acb_if_IF2607_15m_20260401_20260707_v1;rqdata_actual_contract_bars_if_IF2607_15m_20260401_20260707_v1,33726;34066,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ih/contract=IH2607/IH2607_15m_20260401_20260707.parquet,rq_acb_ih_IH2607_15m_20260401_20260707_v1;rqdata_actual_contract_bars_ih_IH2607_15m_20260401_20260707_v1,33733;34073,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=im/contract=IM2607/IM2607_15m_20260401_20260707.parquet,rq_acb_im_IM2607_15m_20260401_20260707_v1;rqdata_actual_contract_bars_im_IM2607_15m_20260401_20260707_v1,33740;34080,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ap/contract=AP2610/AP2610_15m_20260401_20260707.parquet,rq_acb_ap_AP2610_15m_20260401_20260707_v1;rqdata_actual_contract_bars_ap_AP2610_15m_20260401_20260707_v1,33621;33905,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cf/contract=CF2609/CF2609_15m_20260401_20260707.parquet,rq_acb_cf_CF2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_cf_CF2609_15m_20260401_20260707_v1,33670;33968,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cj/contract=CJ2609/CJ2609_15m_20260401_20260707.parquet,rq_acb_cj_CJ2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_cj_CJ2609_15m_20260401_20260707_v1,33677;33975,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cy/contract=CY2609/CY2609_15m_20260401_20260707.parquet,rq_acb_cy_CY2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_cy_CY2609_15m_20260401_20260707_v1,33691;33996,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=fg/contract=FG2609/FG2609_15m_20260401_20260707.parquet,rq_acb_fg_FG2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_fg_FG2609_15m_20260401_20260707_v1,33444;34031,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=jr/contract=JR2607/JR2607_15m_20260401_20260707.parquet,rq_acb_jr_JR2607_15m_20260401_20260707_v1;rqdata_actual_contract_bars_jr_JR2607_15m_20260401_20260707_v1,33754;34108,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ma/contract=MA2609/MA2609_15m_20260401_20260707.parquet,rq_acb_ma_MA2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_ma_MA2609_15m_20260401_20260707_v1,33402;34164,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=oi/contract=OI2609/OI2609_15m_20260401_20260707.parquet,rq_acb_oi_OI2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_oi_OI2609_15m_20260401_20260707_v1,33810;34185,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=pf/contract=PF2609/PF2609_15m_20260401_20260707.parquet,rq_acb_pf_PF2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_pf_PF2609_15m_20260401_20260707_v1,33838;34220,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=pk/contract=PK2610/PK2610_15m_20260401_20260707.parquet,rq_acb_pk_PK2610_15m_20260401_20260707_v1;rqdata_actual_contract_bars_pk_PK2610_15m_20260401_20260707_v1,33845;34234,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=pl/contract=PL2609/PL2609_15m_20260401_20260707.parquet,rq_acb_pl_PL2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_pl_PL2609_15m_20260401_20260707_v1,33852;34241,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=pm/contract=PM2607/PM2607_15m_20260401_20260707.parquet,rq_acb_pm_PM2607_15m_20260401_20260707_v1;rqdata_actual_contract_bars_pm_PM2607_15m_20260401_20260707_v1,33859;34248,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=sa/contract=SA2609/SA2609_15m_20260401_20260707.parquet,rq_acb_sa_SA2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_sa_SA2609_15m_20260401_20260707_v1,33437;34339,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ta/contract=TA2609/TA2609_15m_20260401_20260707.parquet,rq_acb_ta_TA2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_ta_TA2609_15m_20260401_20260707_v1,33395;34416,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=A2609/A2609_15m_20260401_20260707.parquet,rq_acb_a_A2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_a_A2609_15m_20260401_20260707_v1,33600;33870,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=b/contract=B2609/B2609_15m_20260401_20260707.parquet,rq_acb_b_B2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_b_B2609_15m_20260401_20260707_v1,33628;33919,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=bb/contract=BB2609/BB2609_15m_20260401_20260707.parquet,rq_acb_bb_BB2609_15m_20260401_20260707_v1;rqdata_actual_contract_bars_bb_BB2609_15m_20260401_20260707_v1,33635;33926,3,duplicate_version_requires_review
duplicate_path_versions,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=bz/contract=BZ2608/BZ2608_15m_20260401_20260707.parquet,rq_acb_bz_BZ2608_15m_20260401_20260707_v1;rqdata_actual_contract_bars_bz_BZ2608_15m_20260401_20260707_v1,33656;33954,3,duplicate_version_requires_review
