issue_type,product,contract_role,symbol_or_contract,period,year,status,evidence_source,recommended_next_task
checksum_mismatch,ad,dominant_main,ad.MAIN,1w,2025,metadata_gap,"db_market_data_file,manifest,processed_summary",target_coverage_gap_triage
checksum_mismatch,ad,dominant_main,ad.MAIN,1w,2026,metadata_gap,"db_market_data_file,manifest,processed_summary",target_coverage_gap_triage
quality_warning,bb,dominant_main,bb.MAIN,1d,2020,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1d,2021,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1d,2022,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1d,2023,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1d,2024,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1d,2025,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1d,2026,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1w,2020,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1w,2021,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1w,2022,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1w,2023,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1w,2024,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1w,2025,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,bb,dominant_main,bb.MAIN,1w,2026,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
checksum_mismatch,ec,dominant_main,ec.MAIN,1w,2023,metadata_gap,"db_market_data_file,manifest,processed_summary",target_coverage_gap_triage
checksum_mismatch,ec,dominant_main,ec.MAIN,1w,2024,metadata_gap,"db_market_data_file,manifest,processed_summary",target_coverage_gap_triage
checksum_mismatch,ec,dominant_main,ec.MAIN,1w,2025,metadata_gap,"db_market_data_file,manifest,processed_summary",target_coverage_gap_triage
checksum_mismatch,ec,dominant_main,ec.MAIN,1w,2026,metadata_gap,"db_market_data_file,manifest,processed_summary",target_coverage_gap_triage
quality_warning,fb,dominant_main,fb.MAIN,1d,2020,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,fb,dominant_main,fb.MAIN,1d,2021,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,fb,dominant_main,fb.MAIN,1d,2022,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,fb,dominant_main,fb.MAIN,1d,2023,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,fb,dominant_main,fb.MAIN,1d,2024,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,fb,dominant_main,fb.MAIN,1d,2025,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,fb,dominant_main,fb.MAIN,1d,2026,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,jr,dominant_main,jr.MAIN,1d,2020,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,jr,dominant_main,jr.MAIN,1d,2021,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,jr,dominant_main,jr.MAIN,1d,2022,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,jr,dominant_main,jr.MAIN,1d,2023,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
quality_warning,jr,dominant_main,jr.MAIN,1d,2024,covered_warning,"db_market_data_file,manifest,processed_summary",readonly_quality_root_cause_audit
