product,contract_role,period,target_rows,covered_passed,covered_warning,metadata_gap,not_applicable,coverage_status,unique_symbols_or_contracts
a,actual_contract,15m,21,21,0,0,0,verified_complete,18
a,actual_contract,1d,36,35,0,1,0,partial,30
a,actual_contract,1m,21,21,0,0,0,verified_complete,18
a,actual_contract,1w,58,15,0,0,43,verified_complete,46
a,actual_contract,30m,21,21,0,0,0,verified_complete,18
a,actual_contract,5m,21,21,0,0,0,verified_complete,18
a,actual_contract,60m,21,21,0,0,0,verified_complete,18
a,dominant_main,15m,4,0,0,4,0,partial,1
a,dominant_main,1d,7,7,0,0,0,verified_complete,1
a,dominant_main,1m,4,0,0,4,0,partial,1
a,dominant_main,1w,7,7,0,0,0,verified_complete,1
a,dominant_main,30m,4,0,0,4,0,partial,1
a,dominant_main,5m,4,0,0,4,0,partial,1
a,dominant_main,60m,4,0,0,4,0,partial,1
ad,actual_contract,15m,12,12,0,0,0,verified_complete,11
ad,actual_contract,1d,12,12,0,0,0,verified_complete,11
ad,actual_contract,1m,12,12,0,0,0,verified_complete,11
ad,actual_contract,30m,12,12,0,0,0,verified_complete,11
ad,actual_contract,5m,12,12,0,0,0,verified_complete,11
ad,actual_contract,60m,12,12,0,0,0,verified_complete,11
ad,dominant_main,15m,4,0,0,2,2,partial,1
ad,dominant_main,1d,7,0,0,2,5,partial,1
ad,dominant_main,1m,4,0,0,2,2,partial,1
ad,dominant_main,1w,7,0,0,2,5,partial,1
ad,dominant_main,30m,4,0,0,2,2,partial,1
ad,dominant_main,5m,4,0,0,2,2,partial,1
ad,dominant_main,60m,4,0,0,2,2,partial,1
ag,actual_contract,15m,21,21,0,0,0,verified_complete,18
ag,actual_contract,1d,12,12,0,0,0,verified_complete,10
ag,actual_contract,1m,21,21,0,0,0,verified_complete,18
ag,actual_contract,1w,30,10,0,0,20,verified_complete,23
ag,actual_contract,30m,21,21,0,0,0,verified_complete,18
ag,actual_contract,5m,21,21,0,0,0,verified_complete,18
ag,actual_contract,60m,21,21,0,0,0,verified_complete,18
ag,dominant_main,15m,4,0,0,4,0,partial,1
ag,dominant_main,1d,7,7,0,0,0,verified_complete,1
ag,dominant_main,1m,4,0,0,4,0,partial,1
ag,dominant_main,1w,7,7,0,0,0,verified_complete,1
ag,dominant_main,30m,4,0,0,4,0,partial,1
ag,dominant_main,5m,4,0,0,4,0,partial,1
ag,dominant_main,60m,4,0,0,4,0,partial,1
al,actual_contract,15m,46,46,0,0,0,verified_complete,43
al,actual_contract,1d,40,40,0,0,0,verified_complete,38
al,actual_contract,1m,46,46,0,0,0,verified_complete,43
al,actual_contract,1w,117,39,0,0,78,verified_complete,110
al,actual_contract,30m,46,46,0,0,0,verified_complete,43
al,actual_contract,5m,46,46,0,0,0,verified_complete,43
al,actual_contract,60m,46,46,0,0,0,verified_complete,43
al,dominant_main,15m,4,0,0,4,0,partial,1
al,dominant_main,1d,7,7,0,0,0,verified_complete,1
al,dominant_main,1m,4,0,0,4,0,partial,1
al,dominant_main,1w,7,0,0,7,0,partial,1
al,dominant_main,30m,4,0,0,4,0,partial,1
al,dominant_main,5m,4,0,0,4,0,partial,1
al,dominant_main,60m,4,0,0,4,0,partial,1
ao,actual_contract,15m,25,25,0,0,0,verified_complete,22
ao,actual_contract,1d,25,25,0,0,0,verified_complete,22
ao,actual_contract,1m,25,25,0,0,0,verified_complete,22
ao,actual_contract,30m,25,25,0,0,0,verified_complete,22
ao,actual_contract,5m,25,25,0,0,0,verified_complete,22
ao,actual_contract,60m,25,25,0,0,0,verified_complete,22
ao,dominant_main,15m,4,0,0,4,0,partial,1
ao,dominant_main,1d,7,0,0,4,3,partial,1
ao,dominant_main,1m,4,0,0,4,0,partial,1
ao,dominant_main,1w,7,0,0,4,3,partial,1
ao,dominant_main,30m,4,0,0,4,0,partial,1
ao,dominant_main,5m,4,0,0,4,0,partial,1
ao,dominant_main,60m,4,0,0,4,0,partial,1
ap,actual_contract,15m,14,14,0,0,0,verified_complete,11
ap,actual_contract,1d,26,25,0,1,0,partial,20
ap,actual_contract,1m,14,14,0,0,0,verified_complete,11
ap,actual_contract,1w,21,12,0,0,9,verified_complete,16
ap,actual_contract,30m,14,14,0,0,0,verified_complete,11
ap,actual_contract,5m,14,14,0,0,0,verified_complete,11
ap,actual_contract,60m,14,14,0,0,0,verified_complete,11
ap,dominant_main,15m,4,0,0,4,0,partial,1
ap,dominant_main,1d,7,7,0,0,0,verified_complete,1
ap,dominant_main,1m,4,0,0,4,0,partial,1
ap,dominant_main,1w,7,7,0,0,0,verified_complete,1
ap,dominant_main,30m,4,0,0,4,0,partial,1
ap,dominant_main,5m,4,0,0,4,0,partial,1
ap,dominant_main,60m,4,0,0,4,0,partial,1
au,actual_contract,15m,23,23,0,0,0,verified_complete,21
au,actual_contract,1d,11,11,0,0,0,verified_complete,9
au,actual_contract,1m,23,23,0,0,0,verified_complete,21
au,actual_contract,1w,29,9,0,0,20,verified_complete,21
au,actual_contract,30m,23,23,0,0,0,verified_complete,21
au,actual_contract,5m,23,23,0,0,0,verified_complete,21
au,actual_contract,60m,23,23,0,0,0,verified_complete,21
au,dominant_main,15m,4,0,0,4,0,partial,1
au,dominant_main,1d,7,7,0,0,0,verified_complete,1
au,dominant_main,1m,4,0,0,4,0,partial,1
au,dominant_main,1w,7,7,0,0,0,verified_complete,1
au,dominant_main,30m,4,0,0,4,0,partial,1
au,dominant_main,5m,4,0,0,4,0,partial,1
au,dominant_main,60m,4,0,0,4,0,partial,1
b,actual_contract,15m,29,29,0,0,0,verified_complete,26
b,actual_contract,1d,63,63,0,0,0,verified_complete,58
b,actual_contract,1m,29,29,0,0,0,verified_complete,26
b,actual_contract,1w,84,33,0,0,51,verified_complete,74
b,actual_contract,30m,29,29,0,0,0,verified_complete,26
b,actual_contract,5m,29,29,0,0,0,verified_complete,26
b,actual_contract,60m,29,29,0,0,0,verified_complete,26
b,dominant_main,15m,4,0,0,4,0,partial,1
b,dominant_main,1d,7,7,0,0,0,verified_complete,1
b,dominant_main,1m,4,0,0,4,0,partial,1
b,dominant_main,1w,7,7,0,0,0,verified_complete,1
b,dominant_main,30m,4,0,0,4,0,partial,1
b,dominant_main,5m,4,0,0,4,0,partial,1
b,dominant_main,60m,4,0,0,4,0,partial,1
bb,actual_contract,15m,29,29,0,0,0,verified_complete,26
bb,actual_contract,1d,58,57,0,1,0,partial,54
bb,actual_contract,1m,29,29,0,0,0,verified_complete,26
bb,actual_contract,1w,63,36,0,0,27,verified_complete,55
bb,actual_contract,30m,29,29,0,0,0,verified_complete,26
bb,actual_contract,5m,29,29,0,0,0,verified_complete,26
bb,actual_contract,60m,29,29,0,0,0,verified_complete,26
bb,dominant_main,15m,4,0,0,4,0,partial,1
bb,dominant_main,1d,7,0,7,0,0,warning,1
bb,dominant_main,1m,4,0,0,4,0,partial,1
bb,dominant_main,1w,7,0,7,0,0,warning,1
bb,dominant_main,30m,4,0,0,4,0,partial,1
bb,dominant_main,5m,4,0,0,4,0,partial,1
bb,dominant_main,60m,4,0,0,4,0,partial,1
bc,actual_contract,15m,45,45,0,0,0,verified_complete,42
bc,actual_contract,1d,72,71,0,1,0,partial,66
bc,actual_contract,1m,45,45,0,0,0,verified_complete,42
bc,actual_contract,1w,27,27,0,0,0,verified_complete,25
bc,actual_contract,30m,45,45,0,0,0,verified_complete,42
bc,actual_contract,5m,45,45,0,0,0,verified_complete,42
bc,actual_contract,60m,45,45,0,0,0,verified_complete,42
bc,dominant_main,15m,4,0,0,4,0,partial,1
bc,dominant_main,1d,7,7,0,0,0,verified_complete,1
bc,dominant_main,1m,4,0,0,4,0,partial,1
bc,dominant_main,1w,7,7,0,0,0,verified_complete,1
bc,dominant_main,30m,4,0,0,4,0,partial,1
bc,dominant_main,5m,4,0,0,4,0,partial,1
bc,dominant_main,60m,4,0,0,4,0,partial,1
br,actual_contract,15m,35,35,0,0,0,verified_complete,32
br,actual_contract,1d,35,35,0,0,0,verified_complete,32
br,actual_contract,1m,35,35,0,0,0,verified_complete,32
br,actual_contract,30m,35,35,0,0,0,verified_complete,32
br,actual_contract,5m,35,35,0,0,0,verified_complete,32
br,actual_contract,60m,35,35,0,0,0,verified_complete,32
br,dominant_main,15m,4,0,0,4,0,partial,1
br,dominant_main,1d,7,0,0,4,3,partial,1
br,dominant_main,1m,4,0,0,4,0,partial,1
br,dominant_main,1w,7,0,0,4,3,partial,1
br,dominant_main,30m,4,0,0,4,0,partial,1
br,dominant_main,5m,4,0,0,4,0,partial,1
br,dominant_main,60m,4,0,0,4,0,partial,1
bu,actual_contract,15m,31,31,0,0,0,verified_complete,28
bu,actual_contract,1d,13,13,0,0,0,verified_complete,11
bu,actual_contract,1m,31,31,0,0,0,verified_complete,28
bu,actual_contract,1w,37,12,0,0,25,verified_complete,28
bu,actual_contract,30m,31,31,0,0,0,verified_complete,28
bu,actual_contract,5m,31,31,0,0,0,verified_complete,28
bu,actual_contract,60m,31,31,0,0,0,verified_complete,28
bu,dominant_main,15m,4,0,0,4,0,partial,1
bu,dominant_main,1d,7,7,0,0,0,verified_complete,1
bu,dominant_main,1m,4,0,0,4,0,partial,1
bu,dominant_main,1w,7,7,0,0,0,verified_complete,1
bu,dominant_main,30m,4,0,0,4,0,partial,1
bu,dominant_main,5m,4,0,0,4,0,partial,1
bu,dominant_main,60m,4,0,0,4,0,partial,1
bz,actual_contract,15m,7,7,0,0,0,verified_complete,6
bz,actual_contract,1d,7,7,0,0,0,verified_complete,6
bz,actual_contract,1m,7,7,0,0,0,verified_complete,6
bz,actual_contract,30m,7,7,0,0,0,verified_complete,6
bz,actual_contract,5m,7,7,0,0,0,verified_complete,6
bz,actual_contract,60m,7,7,0,0,0,verified_complete,6
bz,dominant_main,15m,4,0,0,2,2,partial,1
bz,dominant_main,1d,7,0,0,2,5,partial,1
bz,dominant_main,1m,4,0,0,2,2,partial,1
bz,dominant_main,1w,7,0,0,2,5,partial,1
bz,dominant_main,30m,4,0,0,2,2,partial,1
bz,dominant_main,5m,4,0,0,2,2,partial,1
bz,dominant_main,60m,4,0,0,2,2,partial,1
c,actual_contract,15m,23,23,0,0,0,verified_complete,20
c,actual_contract,1d,35,34,0,1,0,partial,29
c,actual_contract,1m,23,23,0,0,0,verified_complete,20
c,actual_contract,1w,56,12,0,0,44,verified_complete,43
