path,title,last_updated,purpose,current_status,canonical_source,action,reason,referenced_by
.agents/skills/ai-strategy-iteration/SKILL.md,AI Strategy Iteration Skill,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/backtest-engine/SKILL.md,回测引擎 Skill,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/backtest-report/SKILL.md,Backtest Report Skill,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/catalyst-calendar/SKILL.md,RQ 股票研究 - 催化剂日历,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md;.agents/skills/morning-note/SKILL.md
.agents/skills/catalyst-calendar/assets/template.md,催化剂日历报告,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/catalyst-calendar/references/data_contract.md,Catalyst Calendar Data Contract,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/catalyst-calendar/references/web_search.md,Catalyst Calendar Web Search Reference,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-analysis/references/data_contract.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md
.agents/skills/database-modeling/SKILL.md,Database Modeling Skill,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/docs-product-manager/SKILL.md,Docs Product Manager Skill,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/earnings-analysis/SKILL.md,RQ 股票研究 - 财报分析,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md;.agents/skills/morning-note/SKILL.md
.agents/skills/earnings-analysis/assets/template.md,财报分析报告,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/earnings-analysis/references/data_contract.md,earnings-analysis 数据契约,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/earnings-analysis/references/web_search.md,Earnings Analysis Web Search Reference,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-analysis/references/data_contract.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md
.agents/skills/earnings-preview/SKILL.md,RQ 股票研究 - 财报预览,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md;.agents/skills/morning-note/SKILL.md
.agents/skills/earnings-preview/assets/template.md,财报预览报告,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/earnings-preview/references/data_contract.md,earnings-preview 数据契约,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/earnings-preview/references/web_search.md,Earnings Preview Web Search Reference,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-analysis/references/data_contract.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md
.agents/skills/futures-data/SKILL.md,期货数据中心 Skill,,project_document,passed,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/futures-strategy/SKILL.md,期货策略中心 Skill,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/git-commit-workflow/SKILL.md,SKILL.md,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/guiyi-delivery-team/SKILL.md,归一量化交付团队 Skill,,project_document,failed,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/guiyi-delivery-team/references/output-templates.md,归一量化交付团队 - 输出模板,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/guiyi-delivery-team/SKILL.md;.workbuddy/memory/2026-07-09.md
.agents/skills/guiyi-delivery-team/references/role-definitions.md,归一量化交付团队 - 角色定义,,project_document,failed,README.md,keep,no cleanup action selected,.agents/skills/guiyi-delivery-team/SKILL.md;.workbuddy/memory/2026-07-09.md
.agents/skills/idea-generation/SKILL.md,RQ 股票研究 - 投资创意生成,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/initiating-coverage/SKILL.md;.agents/skills/morning-note/SKILL.md
.agents/skills/idea-generation/assets/template.md,投资创意生成报告,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/idea-generation/references/data_contract.md,idea-generation 数据契约,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/idea-generation/references/web_search.md,Idea Generation Web Search Reference,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-analysis/references/data_contract.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md
.agents/skills/initiating-coverage/SKILL.md,RQ 股票研究 - 首次覆盖,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/morning-note/SKILL.md
.agents/skills/initiating-coverage/assets/template.md,首次覆盖研究报告,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/initiating-coverage/references/data_contract.md,initiating-coverage 数据契约,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/initiating-coverage/references/web_search.md,Initiating Coverage Web Search Reference,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-analysis/references/data_contract.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md
.agents/skills/live-trading-assistant/SKILL.md,Live Trading Assistant Skill,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/local-workstation/SKILL.md,Local Workstation Skill,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/market-kline-workbench/SKILL.md,Market Kline Workbench Skill,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
.agents/skills/morning-note/SKILL.md,RQ 股票研究 - 晨会纪要,,project_document,,README.md,keep,no cleanup action selected,.agents/skills/catalyst-calendar/SKILL.md;.agents/skills/earnings-analysis/SKILL.md;.agents/skills/earnings-preview/SKILL.md;.agents/skills/idea-generation/SKILL.md;.agents/skills/initiating-coverage/SKILL.md
