product,contract_role,symbol_or_contract,period,start_date,end_date,evidence_source,provider,data_role,quality_status,manifest_status,manifest_or_db_row_count,db_market_data_file_id,data_quality_report_status,physical_path,physical_exists,duckdb_row_count,duckdb_min_datetime,duckdb_max_datetime,duckdb_error,checksum_status,row_count_status
a,actual_contract,A2005,1d,2020-01-02,2020-04-07,manifest,rqdata,primary,passed,success,62,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2005/A2005_1d_20200102_20200407.parquet,True,62,2020-01-02T00:00:00,2020-04-07T00:00:00,,checksum_unverified,matched
a,actual_contract,A2005,1w,2020-01-10,2020-04-03,manifest,rqdata,primary,passed,success,12,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2005/A2005_1w_20200102_20200407.parquet,True,12,2020-01-10T00:00:00,2020-04-03T00:00:00,,checksum_unverified,matched
a,actual_contract,A2009,1d,2020-04-08,2020-08-18,manifest,rqdata,primary,passed,success,90,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2009/A2009_1d_20200408_20200818.parquet,True,90,2020-04-08T00:00:00,2020-08-18T00:00:00,,checksum_unverified,matched
a,actual_contract,A2009,1w,2020-04-17,2020-08-14,manifest,rqdata,primary,passed,success,18,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2009/A2009_1w_20200408_20200818.parquet,True,18,2020-04-17T00:00:00,2020-08-14T00:00:00,,checksum_unverified,matched
a,actual_contract,A2101,1d,2020-08-19,2020-12-14,manifest,rqdata,primary,passed,success,78,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2101/A2101_1d_20200819_20201214.parquet,True,78,2020-08-19T00:00:00,2020-12-14T00:00:00,,checksum_unverified,matched
a,actual_contract,A2101,1w,2020-08-28,2020-12-11,manifest,rqdata,primary,passed,success,16,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2101/A2101_1w_20200819_20201214.parquet,True,16,2020-08-28T00:00:00,2020-12-11T00:00:00,,checksum_unverified,matched
a,actual_contract,A2105,1d,2020-12-15,2021-04-20,manifest,rqdata,primary,passed,success,84,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2105/A2105_1d_20201215_20210420.parquet,True,84,2020-12-15T00:00:00,2021-04-20T00:00:00,,checksum_unverified,matched
a,actual_contract,A2105,1w,2020-12-25,2021-04-16,manifest,rqdata,primary,passed,success,17,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2105/A2105_1w_20201215_20210420.parquet,True,17,2020-12-25T00:00:00,2021-04-16T00:00:00,,checksum_unverified,matched
a,actual_contract,A2109,1d,2021-04-21,2021-07-28,manifest,rqdata,primary,passed,success,67,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2109/A2109_1d_20210421_20210728.parquet,True,67,2021-04-21T00:00:00,2021-07-28T00:00:00,,checksum_unverified,matched
a,actual_contract,A2109,1w,2021-04-30,2021-07-23,manifest,rqdata,primary,passed,success,13,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2109/A2109_1w_20210421_20210728.parquet,True,13,2021-04-30T00:00:00,2021-07-23T00:00:00,,checksum_unverified,matched
a,actual_contract,A2111,1d,2021-07-29,2021-10-14,manifest,rqdata,primary,passed,success,49,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2111/A2111_1d_20210729_20211014.parquet,True,49,2021-07-29T00:00:00,2021-10-14T00:00:00,,checksum_unverified,matched
a,actual_contract,A2111,1w,2021-08-06,2021-10-08,manifest,rqdata,primary,passed,success,10,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1w/exchange=DCE/symbol=a/contract=A2111/A2111_1w_20210729_20211014.parquet,True,10,2021-08-06T00:00:00,2021-10-08T00:00:00,,checksum_unverified,matched
a,actual_contract,A2201,1d,2021-10-15,2021-12-01,manifest,rqdata,primary,passed,success,34,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=A2201/A2201_1d_20211015_20211201.parquet,True,34,2021-10-15T00:00:00,2021-12-01T00:00:00,,checksum_unverified,matched
