product,direct_1d_present,derived_1d_from_1m_present,direct_1m_present,direct_1w_present,direct_1d_row_count,derived_1d_row_count,row_count_diff_direct_minus_derived,crosscheck_status,weekly_from_1d_status,issue_class,primary_source_decision
a,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
ad,False,True,False,False,,265,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
ag,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
al,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
ao,False,True,False,False,,741,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
ap,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
au,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
b,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
bb,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
bc,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
br,False,True,False,False,,714,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
bu,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
bz,False,True,False,False,,245,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
c,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
cf,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
cj,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
cs,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
cu,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
cy,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
eb,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
ec,False,True,False,False,,699,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
eg,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
fb,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
fg,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
fu,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
hc,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
i,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
ic,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
if,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
ih,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
im,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
j,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
jd,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
jm,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
jr,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
l,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
l_f,False,True,False,False,,170,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
lc,False,True,False,False,,719,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
lg,False,True,False,False,,399,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
lh,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
lu,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
m,False,True,False,False,,851,,derived_1d_only,not_run,derived_1d_only,unchanged_readonly_audit
