product,audit_status,issue_class,detail
a,db_unavailable,metadata_gap,main_contract_map requires database snapshot
ad,db_unavailable,metadata_gap,main_contract_map requires database snapshot
ag,db_unavailable,metadata_gap,main_contract_map requires database snapshot
al,db_unavailable,metadata_gap,main_contract_map requires database snapshot
ao,db_unavailable,metadata_gap,main_contract_map requires database snapshot
ap,db_unavailable,metadata_gap,main_contract_map requires database snapshot
au,db_unavailable,metadata_gap,main_contract_map requires database snapshot
b,db_unavailable,metadata_gap,main_contract_map requires database snapshot
bb,db_unavailable,metadata_gap,main_contract_map requires database snapshot
bc,db_unavailable,metadata_gap,main_contract_map requires database snapshot
br,db_unavailable,metadata_gap,main_contract_map requires database snapshot
bu,db_unavailable,metadata_gap,main_contract_map requires database snapshot
bz,db_unavailable,metadata_gap,main_contract_map requires database snapshot
c,db_unavailable,metadata_gap,main_contract_map requires database snapshot
cf,db_unavailable,metadata_gap,main_contract_map requires database snapshot
cj,db_unavailable,metadata_gap,main_contract_map requires database snapshot
cs,db_unavailable,metadata_gap,main_contract_map requires database snapshot
cu,db_unavailable,metadata_gap,main_contract_map requires database snapshot
cy,db_unavailable,metadata_gap,main_contract_map requires database snapshot
eb,db_unavailable,metadata_gap,main_contract_map requires database snapshot
ec,db_unavailable,metadata_gap,main_contract_map requires database snapshot
eg,db_unavailable,metadata_gap,main_contract_map requires database snapshot
fb,db_unavailable,metadata_gap,main_contract_map requires database snapshot
fg,db_unavailable,metadata_gap,main_contract_map requires database snapshot
fu,db_unavailable,metadata_gap,main_contract_map requires database snapshot
hc,db_unavailable,metadata_gap,main_contract_map requires database snapshot
i,db_unavailable,metadata_gap,main_contract_map requires database snapshot
ic,db_unavailable,metadata_gap,main_contract_map requires database snapshot
if,db_unavailable,metadata_gap,main_contract_map requires database snapshot
ih,db_unavailable,metadata_gap,main_contract_map requires database snapshot
im,db_unavailable,metadata_gap,main_contract_map requires database snapshot
j,db_unavailable,metadata_gap,main_contract_map requires database snapshot
jd,db_unavailable,metadata_gap,main_contract_map requires database snapshot
jm,db_unavailable,metadata_gap,main_contract_map requires database snapshot
jr,db_unavailable,metadata_gap,main_contract_map requires database snapshot
l,db_unavailable,metadata_gap,main_contract_map requires database snapshot
l_f,db_unavailable,metadata_gap,main_contract_map requires database snapshot
lc,db_unavailable,metadata_gap,main_contract_map requires database snapshot
lg,db_unavailable,metadata_gap,main_contract_map requires database snapshot
lh,db_unavailable,metadata_gap,main_contract_map requires database snapshot
lu,db_unavailable,metadata_gap,main_contract_map requires database snapshot
m,db_unavailable,metadata_gap,main_contract_map requires database snapshot
ma,db_unavailable,metadata_gap,main_contract_map requires database snapshot
ni,db_unavailable,metadata_gap,main_contract_map requires database snapshot
nr,db_unavailable,metadata_gap,main_contract_map requires database snapshot
oi,db_unavailable,metadata_gap,main_contract_map requires database snapshot
op,db_unavailable,metadata_gap,main_contract_map requires database snapshot
p,db_unavailable,metadata_gap,main_contract_map requires database snapshot
pb,db_unavailable,metadata_gap,main_contract_map requires database snapshot
pd,db_unavailable,metadata_gap,main_contract_map requires database snapshot
pf,db_unavailable,metadata_gap,main_contract_map requires database snapshot
pg,db_unavailable,metadata_gap,main_contract_map requires database snapshot
pk,db_unavailable,metadata_gap,main_contract_map requires database snapshot
pl,db_unavailable,metadata_gap,main_contract_map requires database snapshot
pm,db_unavailable,metadata_gap,main_contract_map requires database snapshot
pp,db_unavailable,metadata_gap,main_contract_map requires database snapshot
pp_f,db_unavailable,metadata_gap,main_contract_map requires database snapshot
pr,db_unavailable,metadata_gap,main_contract_map requires database snapshot
ps,db_unavailable,metadata_gap,main_contract_map requires database snapshot
pt,db_unavailable,metadata_gap,main_contract_map requires database snapshot
px,db_unavailable,metadata_gap,main_contract_map requires database snapshot
rb,db_unavailable,metadata_gap,main_contract_map requires database snapshot
ri,db_unavailable,metadata_gap,main_contract_map requires database snapshot
rm,db_unavailable,metadata_gap,main_contract_map requires database snapshot
rr,db_unavailable,metadata_gap,main_contract_map requires database snapshot
rs,db_unavailable,metadata_gap,main_contract_map requires database snapshot
ru,db_unavailable,metadata_gap,main_contract_map requires database snapshot
sa,db_unavailable,metadata_gap,main_contract_map requires database snapshot
sc,db_unavailable,metadata_gap,main_contract_map requires database snapshot
sf,db_unavailable,metadata_gap,main_contract_map requires database snapshot
sh,db_unavailable,metadata_gap,main_contract_map requires database snapshot
si,db_unavailable,metadata_gap,main_contract_map requires database snapshot
sm,db_unavailable,metadata_gap,main_contract_map requires database snapshot
sn,db_unavailable,metadata_gap,main_contract_map requires database snapshot
sp,db_unavailable,metadata_gap,main_contract_map requires database snapshot
sr,db_unavailable,metadata_gap,main_contract_map requires database snapshot
ss,db_unavailable,metadata_gap,main_contract_map requires database snapshot
t,db_unavailable,metadata_gap,main_contract_map requires database snapshot
ta,db_unavailable,metadata_gap,main_contract_map requires database snapshot
tf,db_unavailable,metadata_gap,main_contract_map requires database snapshot
tl,db_unavailable,metadata_gap,main_contract_map requires database snapshot
ts,db_unavailable,metadata_gap,main_contract_map requires database snapshot
ur,db_unavailable,metadata_gap,main_contract_map requires database snapshot
v,db_unavailable,metadata_gap,main_contract_map requires database snapshot
v_f,db_unavailable,metadata_gap,main_contract_map requires database snapshot
wh,db_unavailable,metadata_gap,main_contract_map requires database snapshot
wr,db_unavailable,metadata_gap,main_contract_map requires database snapshot
y,db_unavailable,metadata_gap,main_contract_map requires database snapshot
zc,db_unavailable,metadata_gap,main_contract_map requires database snapshot
zn,db_unavailable,metadata_gap,main_contract_map requires database snapshot
