physical_path,product,period,contract,file_size_bytes,issue_class,disposition
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_15m_20200102_20260711_v2.parquet,ic,15m,ic.MAIN,1036281,orphan_file,register_or_archive
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_15m_20200102_20260711_v2.parquet,if,15m,if.MAIN,997501,orphan_file,register_or_archive
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_15m_20200102_20260711_v2.parquet,ih,15m,ih.MAIN,926173,orphan_file,register_or_archive
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=im/contract=im.MAIN/im_MAIN_15m_20220722_20260711_v2.parquet,im,15m,im.MAIN,685870,orphan_file,register_or_archive
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=t/contract=t.MAIN/t_MAIN_15m_20200102_20260711_v2.parquet,t,15m,t.MAIN,923922,orphan_file,register_or_archive
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=tf/contract=tf.MAIN/tf_MAIN_15m_20200102_20260711_v2.parquet,tf,15m,tf.MAIN,889130,orphan_file,register_or_archive
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=tl/contract=tl.MAIN/tl_MAIN_15m_20230103_20260712_v2.parquet,tl,15m,tl.MAIN,486805,orphan_file,register_or_archive
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ts/contract=ts.MAIN/ts_MAIN_15m_20200102_20260711_v2.parquet,ts,15m,ts.MAIN,862286,orphan_file,register_or_archive
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_15m_20200102_20260711_v2.parquet,ap,15m,ap.MAIN,901340,orphan_file,register_or_archive
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cf/contract=cf.MAIN/cf_MAIN_15m_20200102_20260711_v2.parquet,cf,15m,cf.MAIN,1265073,orphan_file,register_or_archive
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cj/contract=cj.MAIN/cj_MAIN_15m_20200102_20260711_v2.parquet,cj,15m,cj.MAIN,791611,orphan_file,register_or_archive
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=cy/contract=cy.MAIN/cy_MAIN_15m_20200102_20260711_v2.parquet,cy,15m,cy.MAIN,1029658,orphan_file,register_or_archive
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=fg/contract=fg.MAIN/fg_MAIN_15m_20200102_20260711_v2.parquet,fg,15m,fg.MAIN,1282269,orphan_file,register_or_archive
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=jr/contract=jr.MAIN/jr_MAIN_15m_20200102_20260711_v2.parquet,jr,15m,jr.MAIN,277755,orphan_file,register_or_archive
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=ma/contract=ma.MAIN/ma_MAIN_15m_20200102_20260711_v2.parquet,ma,15m,ma.MAIN,1289708,orphan_file,register_or_archive
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=oi/contract=oi.MAIN/oi_MAIN_15m_20200102_20260711_v2.parquet,oi,15m,oi.MAIN,1350179,orphan_file,register_or_archive
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=pf/contract=pf.MAIN/pf_MAIN_15m_20201012_20260711_v2.parquet,pf,15m,pf.MAIN,1052160,orphan_file,register_or_archive
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=pk/contract=pk.MAIN/pk_MAIN_15m_20210201_20260711_v2.parquet,pk,15m,pk.MAIN,683293,orphan_file,register_or_archive
/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CZCE/symbol=pl/contract=pl.MAIN/pl_MAIN_15m_20230103_20260712_v2.parquet,pl,15m,pl.MAIN,208239,orphan_file,register_or_archive
