product,profile,stage9_status,blocked_reasons,detail
a,stage8_6_1d_first,stage9_blocked,db_unavailable,"OperationalError: (psycopg.OperationalError) connection failed: connection to server at ""127.0.0.1"", port 5432 failed: fe_sendauth: no password supplied
(Background on this error at: https://sqlalche.me/e/20/e3q8); api_snapshot_error=HTTPError: HTTP Error 502: Bad Gateway"
ad,stage8_6_1d_first,stage9_blocked,db_unavailable,"OperationalError: (psycopg.OperationalError) connection failed: connection to server at ""127.0.0.1"", port 5432 failed: fe_sendauth: no password supplied
(Background on this error at: https://sqlalche.me/e/20/e3q8); api_snapshot_error=HTTPError: HTTP Error 502: Bad Gateway"
ag,stage8_6_1d_first,stage9_blocked,db_unavailable,"OperationalError: (psycopg.OperationalError) connection failed: connection to server at ""127.0.0.1"", port 5432 failed: fe_sendauth: no password supplied
(Background on this error at: https://sqlalche.me/e/20/e3q8); api_snapshot_error=HTTPError: HTTP Error 502: Bad Gateway"
al,stage8_6_1d_first,stage9_blocked,db_unavailable,"OperationalError: (psycopg.OperationalError) connection failed: connection to server at ""127.0.0.1"", port 5432 failed: fe_sendauth: no password supplied
(Background on this error at: https://sqlalche.me/e/20/e3q8); api_snapshot_error=HTTPError: HTTP Error 502: Bad Gateway"
ao,stage8_6_1d_first,stage9_blocked,db_unavailable,"OperationalError: (psycopg.OperationalError) connection failed: connection to server at ""127.0.0.1"", port 5432 failed: fe_sendauth: no password supplied
(Background on this error at: https://sqlalche.me/e/20/e3q8); api_snapshot_error=HTTPError: HTTP Error 502: Bad Gateway"
ap,stage8_6_1d_first,stage9_blocked,db_unavailable,"OperationalError: (psycopg.OperationalError) connection failed: connection to server at ""127.0.0.1"", port 5432 failed: fe_sendauth: no password supplied
(Background on this error at: https://sqlalche.me/e/20/e3q8); api_snapshot_error=HTTPError: HTTP Error 502: Bad Gateway"
au,stage8_6_1d_first,stage9_blocked,db_unavailable,"OperationalError: (psycopg.OperationalError) connection failed: connection to server at ""127.0.0.1"", port 5432 failed: fe_sendauth: no password supplied
(Background on this error at: https://sqlalche.me/e/20/e3q8); api_snapshot_error=HTTPError: HTTP Error 502: Bad Gateway"
b,stage8_6_1d_first,stage9_blocked,db_unavailable,"OperationalError: (psycopg.OperationalError) connection failed: connection to server at ""127.0.0.1"", port 5432 failed: fe_sendauth: no password supplied
(Background on this error at: https://sqlalche.me/e/20/e3q8); api_snapshot_error=HTTPError: HTTP Error 502: Bad Gateway"
bb,stage8_6_1d_first,stage9_blocked,db_unavailable,"OperationalError: (psycopg.OperationalError) connection failed: connection to server at ""127.0.0.1"", port 5432 failed: fe_sendauth: no password supplied
(Background on this error at: https://sqlalche.me/e/20/e3q8); api_snapshot_error=HTTPError: HTTP Error 502: Bad Gateway"
bc,stage8_6_1d_first,stage9_blocked,db_unavailable,"OperationalError: (psycopg.OperationalError) connection failed: connection to server at ""127.0.0.1"", port 5432 failed: fe_sendauth: no password supplied
(Background on this error at: https://sqlalche.me/e/20/e3q8); api_snapshot_error=HTTPError: HTTP Error 502: Bad Gateway"
br,stage8_6_1d_first,stage9_blocked,db_unavailable,"OperationalError: (psycopg.OperationalError) connection failed: connection to server at ""127.0.0.1"", port 5432 failed: fe_sendauth: no password supplied
(Background on this error at: https://sqlalche.me/e/20/e3q8); api_snapshot_error=HTTPError: HTTP Error 502: Bad Gateway"
bu,stage8_6_1d_first,stage9_blocked,db_unavailable,"OperationalError: (psycopg.OperationalError) connection failed: connection to server at ""127.0.0.1"", port 5432 failed: fe_sendauth: no password supplied
(Background on this error at: https://sqlalche.me/e/20/e3q8); api_snapshot_error=HTTPError: HTTP Error 502: Bad Gateway"
bz,stage8_6_1d_first,stage9_blocked,db_unavailable,"OperationalError: (psycopg.OperationalError) connection failed: connection to server at ""127.0.0.1"", port 5432 failed: fe_sendauth: no password supplied
(Background on this error at: https://sqlalche.me/e/20/e3q8); api_snapshot_error=HTTPError: HTTP Error 502: Bad Gateway"
c,stage8_6_1d_first,stage9_blocked,db_unavailable,"OperationalError: (psycopg.OperationalError) connection failed: connection to server at ""127.0.0.1"", port 5432 failed: fe_sendauth: no password supplied
(Background on this error at: https://sqlalche.me/e/20/e3q8); api_snapshot_error=HTTPError: HTTP Error 502: Bad Gateway"
cf,stage8_6_1d_first,stage9_blocked,db_unavailable,"OperationalError: (psycopg.OperationalError) connection failed: connection to server at ""127.0.0.1"", port 5432 failed: fe_sendauth: no password supplied
(Background on this error at: https://sqlalche.me/e/20/e3q8); api_snapshot_error=HTTPError: HTTP Error 502: Bad Gateway"
cj,stage8_6_1d_first,stage9_blocked,db_unavailable,"OperationalError: (psycopg.OperationalError) connection failed: connection to server at ""127.0.0.1"", port 5432 failed: fe_sendauth: no password supplied
(Background on this error at: https://sqlalche.me/e/20/e3q8); api_snapshot_error=HTTPError: HTTP Error 502: Bad Gateway"
