product,listed_date,pre_2020_applicable,pre_2020_status,post_2020_passed_years,post_2020_expected_years,direct_1w_present,direct_1w_row_count,duckdb_row_count,min_datetime,max_datetime,incomplete_week_excluded,seam_2020_status,issue_class
a,2002-03-15,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
ad,2025-06-10,False,not_applicable,0,2,False,,,,,False,unchecked,coverage_missing
ag,2012-05-10,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
al,1999-01-04,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
ao,2023-06-19,False,not_applicable,0,4,False,,,,,False,unchecked,coverage_missing
ap,2017-12-22,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
au,2008-01-09,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
b,2004-12-22,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
bb,2013-12-06,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
bc,2020-11-19,False,not_applicable,0,7,False,,,,,False,unchecked,coverage_missing
br,2023-07-28,False,not_applicable,0,4,False,,,,,False,unchecked,coverage_missing
bu,2013-10-09,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
bz,2025-07-08,False,not_applicable,0,2,False,,,,,False,unchecked,coverage_missing
c,2004-09-22,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
cf,2004-06-01,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
cj,2019-04-30,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
cs,2014-12-19,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
cu,1999-01-04,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
cy,2017-08-18,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
eb,2019-09-26,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
ec,2023-08-18,False,not_applicable,0,4,False,,,,,False,unchecked,coverage_missing
eg,2018-12-10,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
fb,2013-12-06,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
fg,2012-12-03,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
fu,2004-08-25,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
hc,2014-03-21,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
i,2013-10-18,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
ic,2015-04-16,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
if,2010-04-16,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
ih,2015-04-16,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
im,2022-07-22,False,not_applicable,0,5,False,,,,,False,unchecked,coverage_missing
j,2011-04-15,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
jd,2013-11-08,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
jm,2013-03-22,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
jr,2013-11-18,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
l,2007-07-31,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
l_f,2025-10-29,False,not_applicable,0,2,False,,,,,False,unchecked,coverage_missing
lc,2023-07-21,False,not_applicable,0,4,False,,,,,False,unchecked,coverage_missing
lg,2024-11-18,False,not_applicable,0,3,False,,,,,False,unchecked,coverage_missing
lh,2021-01-08,False,not_applicable,0,6,False,,,,,False,unchecked,coverage_missing
lu,2020-06-22,False,not_applicable,0,7,False,,,,,False,unchecked,coverage_missing
m,2000-07-17,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
ma,2014-06-17,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
ni,2015-03-27,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
nr,2019-08-12,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
oi,2012-07-16,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
op,2025-09-10,False,not_applicable,0,2,False,,,,,False,unchecked,coverage_missing
p,2007-10-29,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
pb,2011-03-24,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
pd,2025-11-27,False,not_applicable,0,2,False,,,,,False,unchecked,coverage_missing
pf,2020-10-12,False,not_applicable,0,7,False,,,,,False,unchecked,coverage_missing
pg,2020-03-30,False,not_applicable,0,7,False,,,,,False,unchecked,coverage_missing
pk,2021-02-01,False,not_applicable,0,6,False,,,,,False,unchecked,coverage_missing
pl,2025-07-22,False,not_applicable,0,2,False,,,,,False,unchecked,coverage_missing
pm,2012-01-17,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
pp,2014-02-28,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
pp_f,2025-10-29,False,not_applicable,0,2,False,,,,,False,unchecked,coverage_missing
pr,2024-08-30,False,not_applicable,0,3,False,,,,,False,unchecked,coverage_missing
ps,2024-12-26,False,not_applicable,0,3,False,,,,,False,unchecked,coverage_missing
pt,2025-11-27,False,not_applicable,0,2,False,,,,,False,unchecked,coverage_missing
px,2023-09-15,False,not_applicable,0,4,False,,,,,False,unchecked,coverage_missing
rb,2009-03-27,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
ri,2012-07-24,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
rm,2012-12-28,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
rr,2019-08-16,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
rs,2012-12-28,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
ru,1999-01-04,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
sa,2019-12-06,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
sc,2018-03-26,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
sf,2014-08-08,True,missing_pre2020,0,7,False,,,,,False,unchecked,coverage_missing
sh,2023-09-15,False,not_applicable,0,4,False,,,,,False,unchecked,coverage_missing
