product,period,dataset,row_count,db_registered,db_unregistered,manifest_missing,checksum_matched,row_count_matched,quality_warning,quality_failed,consistency_status
a,,continuous_contract_map,7,7,0,0,0,0,0,0,verified_complete
a,,contract_universe,7,7,0,0,0,0,0,0,verified_complete
a,,main_contract_map_rank1,7,7,0,0,0,0,0,0,verified_complete
a,15m,market_data_files,22,22,0,0,0,22,0,0,verified_complete
a,1d,market_data_files,36,36,0,0,0,36,0,0,verified_complete
a,1m,market_data_files,23,23,0,0,0,23,0,0,verified_complete
a,1w,market_data_files,52,52,0,0,0,52,0,0,verified_complete
a,30m,market_data_files,22,22,0,0,0,22,0,0,verified_complete
a,5m,market_data_files,22,22,0,0,0,22,0,0,verified_complete
a,60m,market_data_files,22,22,0,0,0,22,0,0,verified_complete
a,,trading_calendar,7,7,0,0,0,0,0,0,verified_complete
a,,trading_parameters,7,7,0,0,0,0,0,0,verified_complete
a,,trading_sessions,7,7,0,0,0,0,0,0,verified_complete
ad,,continuous_contract_map,7,2,0,0,0,0,0,0,verified_complete
ad,,contract_universe,7,2,0,0,0,0,0,0,verified_complete
ad,,main_contract_map_rank1,7,2,0,0,0,0,0,0,verified_complete
ad,15m,market_data_files,15,15,0,0,0,15,0,0,verified_complete
ad,1d,market_data_files,16,16,0,0,0,16,0,0,verified_complete
ad,1m,market_data_files,16,16,0,0,0,16,0,0,verified_complete
ad,1w,market_data_files,4,4,0,0,0,4,0,0,verified_complete
ad,30m,market_data_files,15,15,0,0,0,15,0,0,verified_complete
ad,5m,market_data_files,15,15,0,0,0,15,0,0,verified_complete
ad,60m,market_data_files,15,15,0,0,0,15,0,0,verified_complete
ad,,trading_calendar,7,2,0,0,0,0,0,0,verified_complete
ad,,trading_parameters,7,2,0,0,0,0,0,0,verified_complete
ad,,trading_sessions,7,2,0,0,0,0,0,0,verified_complete
ag,,continuous_contract_map,7,7,0,0,0,0,0,0,verified_complete
ag,,contract_universe,7,7,0,0,0,0,0,0,verified_complete
ag,,main_contract_map_rank1,7,7,0,0,0,0,0,0,verified_complete
ag,15m,market_data_files,22,22,0,0,0,22,0,0,verified_complete
ag,1d,market_data_files,15,15,0,0,0,15,0,0,verified_complete
ag,1m,market_data_files,23,23,0,0,0,23,0,0,verified_complete
ag,1w,market_data_files,28,28,0,0,0,28,0,0,verified_complete
ag,30m,market_data_files,22,22,0,0,0,22,0,0,verified_complete
ag,5m,market_data_files,22,22,0,0,0,22,0,0,verified_complete
ag,60m,market_data_files,22,22,0,0,0,22,0,0,verified_complete
ag,,trading_calendar,7,7,0,0,0,0,0,0,verified_complete
ag,,trading_parameters,7,7,0,0,0,0,0,0,verified_complete
ag,,trading_sessions,7,7,0,0,0,0,0,0,verified_complete
al,,continuous_contract_map,7,7,0,0,0,0,0,0,verified_complete
