product,period,target_rows,covered_passed,covered_warning,metadata_gap,not_applicable,other_status_rows,coverage_status,min_start_date,max_end_date,unique_contracts
a,15m,25,21,0,4,0,0,partial,2023-01-03,2026-07-07,19
a,1d,43,42,0,1,0,0,partial,2020-01-02,2026-07-10,31
a,1m,25,21,0,4,0,0,partial,2023-01-03,2026-07-07,19
a,1w,65,22,0,0,43,0,verified_complete,2002-03-15,2026-07-10,47
a,30m,25,21,0,4,0,0,partial,2023-01-03,2026-07-07,19
a,5m,25,21,0,4,0,0,partial,2023-01-03,2026-07-07,19
a,60m,25,21,0,4,0,0,partial,2023-01-03,2026-07-07,19
ad,15m,16,12,0,2,2,0,partial,2025-06-10,2026-07-07,12
ad,1d,19,12,0,2,5,0,partial,2025-06-10,2026-07-07,12
ad,1m,16,12,0,2,2,0,partial,2025-06-10,2026-07-07,12
ad,1w,7,0,0,2,5,0,partial,2025-06-13,2026-07-03,1
ad,30m,16,12,0,2,2,0,partial,2025-06-10,2026-07-07,12
ad,5m,16,12,0,2,2,0,partial,2025-06-10,2026-07-07,12
ad,60m,16,12,0,2,2,0,partial,2025-06-10,2026-07-07,12
ag,15m,25,21,0,4,0,0,partial,2023-01-03,2026-07-07,19
ag,1d,19,19,0,0,0,0,verified_complete,2020-01-02,2026-07-10,11
ag,1m,25,21,0,4,0,0,partial,2023-01-03,2026-07-07,19
ag,1w,37,17,0,0,20,0,verified_complete,2012-05-11,2026-07-10,24
ag,30m,25,21,0,4,0,0,partial,2023-01-03,2026-07-07,19
ag,5m,25,21,0,4,0,0,partial,2023-01-03,2026-07-07,19
ag,60m,25,21,0,4,0,0,partial,2023-01-03,2026-07-07,19
al,15m,50,46,0,4,0,0,partial,2023-01-03,2026-07-07,44
al,1d,47,47,0,0,0,0,verified_complete,2020-01-02,2026-07-10,39
al,1m,50,46,0,4,0,0,partial,2023-01-03,2026-07-07,44
al,1w,124,39,0,7,78,0,partial,2000-01-07,2026-07-10,111
al,30m,50,46,0,4,0,0,partial,2023-01-03,2026-07-07,44
al,5m,50,46,0,4,0,0,partial,2023-01-03,2026-07-07,44
al,60m,50,46,0,4,0,0,partial,2023-01-03,2026-07-07,44
ao,15m,29,25,0,4,0,0,partial,2023-06-19,2026-07-07,23
ao,1d,32,25,0,4,3,0,partial,2023-06-19,2026-07-07,23
ao,1m,29,25,0,4,0,0,partial,2023-06-19,2026-07-07,23
ao,1w,7,0,0,4,3,0,partial,2023-06-21,2026-07-03,1
ao,30m,29,25,0,4,0,0,partial,2023-06-19,2026-07-07,23
ao,5m,29,25,0,4,0,0,partial,2023-06-19,2026-07-07,23
ao,60m,29,25,0,4,0,0,partial,2023-06-19,2026-07-07,23
ap,15m,18,14,0,4,0,0,partial,2023-01-03,2026-07-07,12
ap,1d,33,32,0,1,0,0,partial,2020-01-02,2026-07-10,21
ap,1m,18,14,0,4,0,0,partial,2023-01-03,2026-07-07,12
ap,1w,28,19,0,0,9,0,verified_complete,2017-12-22,2026-07-10,17
ap,30m,18,14,0,4,0,0,partial,2023-01-03,2026-07-07,12
ap,5m,18,14,0,4,0,0,partial,2023-01-03,2026-07-07,12
ap,60m,18,14,0,4,0,0,partial,2023-01-03,2026-07-07,12
au,15m,27,23,0,4,0,0,partial,2023-01-03,2026-07-07,22
au,1d,18,18,0,0,0,0,verified_complete,2020-01-02,2026-07-10,10
au,1m,27,23,0,4,0,0,partial,2023-01-03,2026-07-07,22
au,1w,36,16,0,0,20,0,verified_complete,2008-01-11,2026-07-10,22
au,30m,27,23,0,4,0,0,partial,2023-01-03,2026-07-07,22
au,5m,27,23,0,4,0,0,partial,2023-01-03,2026-07-07,22
au,60m,27,23,0,4,0,0,partial,2023-01-03,2026-07-07,22
b,15m,33,29,0,4,0,0,partial,2023-01-03,2026-07-07,27
b,1d,70,70,0,0,0,0,verified_complete,2020-01-02,2026-07-10,59
b,1m,33,29,0,4,0,0,partial,2023-01-03,2026-07-07,27
b,1w,91,40,0,0,51,0,verified_complete,2004-12-24,2026-07-10,75
b,30m,33,29,0,4,0,0,partial,2023-01-03,2026-07-07,27
b,5m,33,29,0,4,0,0,partial,2023-01-03,2026-07-07,27
b,60m,33,29,0,4,0,0,partial,2023-01-03,2026-07-07,27
bb,15m,33,29,0,4,0,0,partial,2023-01-03,2026-07-07,27
bb,1d,65,57,7,1,0,0,partial,2020-01-02,2026-07-10,55
bb,1m,33,29,0,4,0,0,partial,2023-01-03,2026-07-07,27
bb,1w,70,36,7,0,27,0,warning,2013-12-06,2026-07-10,56
bb,30m,33,29,0,4,0,0,partial,2023-01-03,2026-07-07,27
bb,5m,33,29,0,4,0,0,partial,2023-01-03,2026-07-07,27
bb,60m,33,29,0,4,0,0,partial,2023-01-03,2026-07-07,27
bc,15m,49,45,0,4,0,0,partial,2023-01-03,2026-07-07,43
bc,1d,79,78,0,1,0,0,partial,2020-11-19,2026-07-10,67
bc,1m,49,45,0,4,0,0,partial,2023-01-03,2026-07-07,43
bc,1w,34,34,0,0,0,0,verified_complete,2020-11-20,2026-07-10,26
bc,30m,49,45,0,4,0,0,partial,2023-01-03,2026-07-07,43
bc,5m,49,45,0,4,0,0,partial,2023-01-03,2026-07-07,43
bc,60m,49,45,0,4,0,0,partial,2023-01-03,2026-07-07,43
br,15m,39,35,0,4,0,0,partial,2023-07-28,2026-07-07,33
br,1d,42,35,0,4,3,0,partial,2023-07-28,2026-07-07,33
br,1m,39,35,0,4,0,0,partial,2023-07-28,2026-07-07,33
br,1w,7,0,0,4,3,0,partial,2023-07-28,2026-07-10,1
br,30m,39,35,0,4,0,0,partial,2023-07-28,2026-07-07,33
br,5m,39,35,0,4,0,0,partial,2023-07-28,2026-07-07,33
br,60m,39,35,0,4,0,0,partial,2023-07-28,2026-07-07,33
bu,15m,35,31,0,4,0,0,partial,2023-01-03,2026-07-07,29
bu,1d,20,20,0,0,0,0,verified_complete,2020-01-02,2026-07-10,12
bu,1m,35,31,0,4,0,0,partial,2023-01-03,2026-07-07,29
bu,1w,44,19,0,0,25,0,verified_complete,2013-10-11,2026-07-10,29
bu,30m,35,31,0,4,0,0,partial,2023-01-03,2026-07-07,29
bu,5m,35,31,0,4,0,0,partial,2023-01-03,2026-07-07,29
bu,60m,35,31,0,4,0,0,partial,2023-01-03,2026-07-07,29
bz,15m,11,7,0,2,2,0,partial,2025-07-08,2026-07-07,7
bz,1d,14,7,0,2,5,0,partial,2025-07-08,2026-07-07,7
bz,1m,11,7,0,2,2,0,partial,2025-07-08,2026-07-07,7
bz,1w,7,0,0,2,5,0,partial,2025-07-11,2026-07-10,1
bz,30m,11,7,0,2,2,0,partial,2025-07-08,2026-07-07,7
bz,5m,11,7,0,2,2,0,partial,2025-07-08,2026-07-07,7
bz,60m,11,7,0,2,2,0,partial,2025-07-08,2026-07-07,7
c,15m,27,23,0,4,0,0,partial,2023-01-03,2026-07-07,21
c,1d,42,41,0,1,0,0,partial,2020-01-02,2026-07-10,30
c,1m,27,23,0,4,0,0,partial,2023-01-03,2026-07-07,21
c,1w,63,19,0,0,44,0,verified_complete,2004-09-24,2026-07-10,44
c,30m,27,23,0,4,0,0,partial,2023-01-03,2026-07-07,21
c,5m,27,23,0,4,0,0,partial,2023-01-03,2026-07-07,21
c,60m,27,23,0,4,0,0,partial,2023-01-03,2026-07-07,21
cf,15m,18,14,0,4,0,0,partial,2023-01-03,2026-07-07,12
cf,1d,33,32,0,1,0,0,partial,2020-01-02,2026-07-10,21
cf,1m,18,14,0,4,0,0,partial,2023-01-03,2026-07-07,12
cf,1w,30,19,0,0,11,0,verified_complete,2004-06-04,2026-07-10,19
cf,30m,18,14,0,4,0,0,partial,2023-01-03,2026-07-07,12
cf,5m,18,14,0,4,0,0,partial,2023-01-03,2026-07-07,12
cf,60m,18,14,0,4,0,0,partial,2023-01-03,2026-07-07,12
cj,15m,18,14,0,4,0,0,partial,2023-01-03,2026-07-07,12
cj,1d,33,32,0,1,0,0,partial,2020-01-02,2026-07-10,21
cj,1m,18,14,0,4,0,0,partial,2023-01-03,2026-07-07,12
cj,1w,22,19,0,0,3,0,verified_complete,2019-04-30,2026-07-10,13
cj,30m,18,14,0,4,0,0,partial,2023-01-03,2026-07-07,12
cj,5m,18,14,0,4,0,0,partial,2023-01-03,2026-07-07,12
cj,60m,18,14,0,4,0,0,partial,2023-01-03,2026-07-07,12
cs,15m,29,25,0,4,0,0,partial,2023-01-03,2026-07-07,23
cs,1d,49,48,0,1,0,0,partial,2020-01-02,2026-07-10,37
cs,1m,29,25,0,4,0,0,partial,2023-01-03,2026-07-07,23
cs,1w,45,24,0,0,21,0,verified_complete,2014-12-19,2026-07-10,31
cs,30m,29,25,0,4,0,0,partial,2023-01-03,2026-07-07,23
cs,5m,29,25,0,4,0,0,partial,2023-01-03,2026-07-07,23
cs,60m,29,25,0,4,0,0,partial,2023-01-03,2026-07-07,23
cu,15m,49,45,0,4,0,0,partial,2023-01-03,2026-07-07,43
cu,1d,46,46,0,0,0,0,verified_complete,2020-01-02,2026-07-10,38
cu,1m,49,45,0,4,0,0,partial,2023-01-03,2026-07-07,43
cu,1w,122,45,0,0,77,0,verified_complete,2000-01-07,2026-07-10,112
cu,30m,49,45,0,4,0,0,partial,2023-01-03,2026-07-07,43
cu,5m,49,45,0,4,0,0,partial,2023-01-03,2026-07-07,43
cu,60m,49,45,0,4,0,0,partial,2023-01-03,2026-07-07,43
cy,15m,23,19,0,4,0,0,partial,2023-01-03,2026-07-07,17
cy,1d,38,37,0,1,0,0,partial,2020-01-02,2026-07-10,26
cy,1m,23,19,0,4,0,0,partial,2023-01-03,2026-07-07,17
cy,1w,27,19,0,0,8,0,verified_complete,2017-08-18,2026-07-10,17
cy,30m,23,19,0,4,0,0,partial,2023-01-03,2026-07-07,17
