product,contract_type,period,worst_status,segment_total,segment_gap_count,covered_count
a,main,1d,covered,1,0,1
a,main,1m,partial_start,1,1,0
a,main,1w,covered,1,0,1
a,roll,1d,missing_segment,76,18,58
a,roll,1m,missing_segment,76,59,17
a,roll,1w,missing_segment,76,53,23
ad,main,1d,covered,1,0,1
ad,main,1m,covered,1,0,1
ad,main,1w,covered,1,0,1
ad,roll,1d,covered,11,0,11
ad,roll,1m,covered,11,0,11
ad,roll,1w,missing_segment,11,7,4
ag,main,1d,covered,1,0,1
ag,main,1m,covered,1,0,1
ag,main,1w,covered,1,0,1
ag,roll,1d,covered,44,0,44
ag,roll,1m,missing_segment,44,27,17
ag,roll,1w,missing_segment,44,32,12
al,main,1d,covered,1,0,1
al,main,1m,partial_start,1,1,0
al,main,1w,covered,1,0,1
al,roll,1d,missing_segment,252,59,193
al,roll,1m,missing_segment,252,210,42
al,roll,1w,missing_segment,252,181,71
ao,main,1d,covered,1,0,1
ao,main,1m,covered,1,0,1
ao,main,1w,covered,1,0,1
ao,roll,1d,covered,22,0,22
ao,roll,1m,covered,22,0,22
ao,roll,1w,missing_segment,22,13,9
ap,main,1d,covered,1,0,1
ap,main,1m,covered,1,0,1
ap,main,1w,covered,1,0,1
ap,roll,1d,covered,26,0,26
ap,roll,1m,missing_segment,26,16,10
ap,roll,1w,partial_segment,26,14,12
au,main,1d,covered,1,0,1
au,main,1m,partial_start,1,1,0
au,main,1w,covered,1,0,1
au,roll,1d,missing_segment,53,11,42
au,roll,1m,missing_segment,53,32,21
au,roll,1w,missing_segment,53,39,14
b,main,1d,covered,1,0,1
b,main,1m,partial_start,1,1,0
b,main,1w,covered,1,0,1
b,roll,1d,missing_segment,119,27,92
b,roll,1m,missing_segment,119,93,26
b,roll,1w,missing_segment,119,79,40
bb,main,1d,covered,1,0,1
bb,main,1m,covered,1,0,1
bb,main,1w,covered,1,0,1
bb,roll,1d,missing_segment,81,6,75
bb,roll,1m,missing_segment,81,56,25
bb,roll,1w,missing_segment,81,45,36
bc,main,1d,covered,1,0,1
bc,main,1m,covered,1,0,1
bc,main,1w,covered,1,0,1
bc,roll,1d,covered,66,0,66
bc,roll,1m,missing_segment,66,25,41
bc,roll,1w,missing_segment,66,35,31
br,main,1d,covered,1,0,1
br,main,1m,covered,1,0,1
br,main,1w,covered,1,0,1
br,roll,1d,covered,32,0,32
br,roll,1m,covered,32,0,32
br,roll,1w,partial_segment,32,13,19
bu,main,1d,covered,1,0,1
bu,main,1m,covered,1,0,1
bu,main,1w,covered,1,0,1
bu,roll,1d,covered,55,0,55
bu,roll,1m,missing_segment,55,28,27
bu,roll,1w,partial_segment,55,33,22
bz,main,1d,covered,1,0,1
bz,main,1m,covered,1,0,1
bz,main,1w,covered,1,0,1
bz,roll,1d,covered,6,0,6
bz,roll,1m,covered,6,0,6
bz,roll,1w,partial_segment,6,5,1
c,main,1d,covered,1,0,1
c,main,1m,partial_start,1,1,0
c,main,1w,covered,1,0,1
c,roll,1d,missing_segment,77,19,58
c,roll,1m,missing_segment,77,58,19
c,roll,1w,missing_segment,77,57,20
cf,main,1d,covered,1,0,1
cf,main,1m,partial_start,1,1,0
cf,main,1w,covered,1,0,1
cf,roll,1d,missing_segment,78,50,28
cf,roll,1m,missing_segment,78,68,10
cf,roll,1w,missing_segment,78,64,14
cj,main,1d,covered,1,0,1
cj,main,1m,covered,1,0,1
cj,main,1w,covered,1,0,1
cj,roll,1d,covered,22,0,22
cj,roll,1m,missing_segment,22,12,10
cj,roll,1w,partial_segment,22,13,9
cs,main,1d,covered,1,0,1
cs,main,1m,covered,1,0,1
cs,main,1w,covered,1,0,1
cs,roll,1d,missing_segment,52,1,51
cs,roll,1m,missing_segment,52,31,21
cs,roll,1w,missing_segment,52,28,24
cu,main,1d,covered,1,0,1
cu,main,1m,partial_start,1,1,0
cu,main,1w,covered,1,0,1
cu,roll,1d,missing_segment,258,62,196
cu,roll,1m,missing_segment,258,217,41
cu,roll,1w,missing_segment,258,169,89
cy,main,1d,covered,1,0,1
cy,main,1m,covered,1,0,1
cy,main,1w,covered,1,0,1
cy,roll,1d,missing_segment,32,1,31
cy,roll,1m,missing_segment,32,17,15
cy,roll,1w,missing_segment,32,21,11
eb,main,1d,covered,1,0,1
eb,main,1m,covered,1,0,1
eb,main,1w,covered,1,0,1
eb,roll,1d,missing_segment,70,1,69
eb,roll,1m,missing_segment,70,28,42
eb,roll,1w,missing_segment,70,43,27
ec,main,1d,covered,1,0,1
ec,main,1m,covered,1,0,1
ec,main,1w,covered,1,0,1
ec,roll,1d,covered,16,0,16
ec,roll,1m,covered,16,0,16
ec,roll,1w,missing_segment,16,11,5
eg,main,1d,covered,1,0,1
eg,main,1m,covered,1,0,1
eg,main,1w,covered,1,0,1
eg,roll,1d,covered,23,0,23
eg,roll,1m,missing_segment,23,13,10
eg,roll,1w,partial_segment,23,3,20
fb,main,1d,covered,1,0,1
fb,main,1m,covered,1,0,1
fb,main,1w,covered,1,0,1
fb,roll,1d,missing_segment,74,4,70
fb,roll,1m,missing_segment,74,53,21
fb,roll,1w,missing_segment,74,36,38
fg,main,1d,covered,1,0,1
fg,main,1m,covered,1,0,1
fg,main,1w,covered,1,0,1
fg,roll,1d,missing_segment,42,14,28
fg,roll,1m,missing_segment,42,32,10
fg,roll,1w,missing_segment,42,33,9
fu,main,1d,covered,1,0,1
fu,main,1m,partial_start,1,1,0
fu,main,1w,covered,1,0,1
fu,roll,1d,missing_segment,126,72,54
fu,roll,1m,missing_segment,126,109,17
fu,roll,1w,missing_segment,126,94,32
hc,main,1d,covered,1,0,1
hc,main,1m,covered,1,0,1
hc,main,1w,covered,1,0,1
hc,roll,1d,missing_segment,38,1,37
hc,roll,1m,missing_segment,38,28,10
hc,roll,1w,missing_segment,38,24,14
i,main,1d,covered,1,0,1
i,main,1m,covered,1,0,1
i,main,1w,covered,1,0,1
i,roll,1d,missing_segment,39,1,38
i,roll,1m,missing_segment,39,29,10
i,roll,1w,missing_segment,39,24,15
ic,main,1d,covered,1,0,1
ic,main,1m,covered,1,0,1
ic,main,1w,covered,1,0,1
ic,roll,1d,covered,135,0,135
ic,roll,1m,missing_segment,135,93,42
ic,roll,1w,missing_segment,135,47,88
if,main,1d,covered,1,0,1
if,main,1m,covered,1,0,1
if,main,1w,covered,1,0,1
if,roll,1d,covered,195,0,195
if,roll,1m,missing_segment,195,153,42
if,roll,1w,missing_segment,195,80,115
ih,main,1d,covered,1,0,1
ih,main,1m,covered,1,0,1
ih,main,1w,covered,1,0,1
ih,roll,1d,covered,135,0,135
ih,roll,1m,missing_segment,135,93,42
ih,roll,1w,missing_segment,135,41,94
im,main,1d,covered,1,0,1
im,main,1m,covered,1,0,1
im,main,1w,covered,1,0,1
im,roll,1d,covered,48,0,48
im,roll,1m,missing_segment,48,6,42
im,roll,1w,missing_segment,48,9,39
j,main,1d,covered,1,0,1
j,main,1m,covered,1,0,1
j,main,1w,covered,1,0,1
j,roll,1d,covered,46,0,46
j,roll,1m,missing_segment,46,36,10
j,roll,1w,partial_segment,46,29,17
jd,main,1d,covered,1,0,1
jd,main,1m,covered,1,0,1
jd,main,1w,covered,1,0,1
jd,roll,1d,missing_segment,61,1,60
jd,roll,1m,missing_segment,61,33,28
jd,roll,1w,missing_segment,61,35,26
jm,main,1d,covered,1,0,1
jm,main,1m,covered,1,0,1
jm,main,1w,covered,1,0,1
jm,roll,1d,missing_segment,41,1,40
jm,roll,1m,missing_segment,41,31,10
jm,roll,1w,missing_segment,41,26,15
jr,main,1d,covered,1,0,1
jr,main,1m,covered,1,0,1
jr,main,1w,covered,1,0,1
jr,roll,1d,missing_segment,51,18,33
jr,roll,1m,missing_segment,51,30,21
jr,roll,1w,missing_segment,51,34,17
l,main,1d,covered,1,0,1
l,main,1m,partial_start,1,1,0
l,main,1w,covered,1,0,1
l,roll,1d,missing_segment,63,14,49
l,roll,1m,missing_segment,63,53,10
l,roll,1w,missing_segment,63,41,22
l_f,main,1d,covered,1,0,1
l_f,main,1m,covered,1,0,1
l_f,main,1w,covered,1,0,1
l_f,roll,1d,covered,8,0,8
l_f,roll,1m,covered,8,0,8
l_f,roll,1w,missing_segment,8,3,5
lc,main,1d,covered,1,0,1
lc,main,1m,covered,1,0,1
lc,main,1w,covered,1,0,1
lc,roll,1d,covered,11,0,11
lc,roll,1m,covered,11,0,11
lc,roll,1w,partial_segment,11,9,2
lg,main,1d,covered,1,0,1
lg,main,1m,covered,1,0,1
lg,main,1w,covered,1,0,1
lg,roll,1d,covered,8,0,8
lg,roll,1m,covered,8,0,8
lg,roll,1w,partial_segment,8,6,2
lh,main,1d,covered,1,0,1
lh,main,1m,covered,1,0,1
lh,main,1w,covered,1,0,1
lh,roll,1d,covered,26,0,26
lh,roll,1m,missing_segment,26,7,19
lh,roll,1w,partial_segment,26,10,16
lu,main,1d,covered,1,0,1
lu,main,1m,covered,1,0,1
lu,main,1w,covered,1,0,1
lu,roll,1d,covered,68,0,68
lu,roll,1m,missing_segment,68,26,42
lu,roll,1w,missing_segment,68,35,33
m,main,1d,covered,1,0,1
m,main,1m,partial_start,1,1,0
m,main,1w,covered,1,0,1
m,roll,1d,missing_segment,68,20,48
m,roll,1m,missing_segment,68,58,10
