product,contract_type,period,worst_status,segment_total,segment_gap_count,covered_count
a,main,1d,covered,1,0,1
a,main,1m,covered,1,0,1
a,main,1w,covered,1,0,1
a,roll,1d,missing_segment,76,18,58
a,roll,1m,covered,59,0,59
a,roll,1w,missing_segment,76,53,23
ad,main,1d,covered,1,0,1
ad,main,1m,covered,1,0,1
ad,main,1w,covered,1,0,1
ad,roll,1d,covered,11,0,11
ad,roll,1m,covered,11,0,11
ad,roll,1w,missing_segment,11,7,4
ag,main,1d,covered,1,0,1
ag,main,1m,covered,1,0,1
ag,main,1w,covered,1,0,1
ag,roll,1d,covered,44,0,44
ag,roll,1m,covered,44,0,44
ag,roll,1w,missing_segment,44,32,12
al,main,1d,covered,1,0,1
al,main,1m,covered,1,0,1
al,main,1w,covered,1,0,1
al,roll,1d,missing_segment,252,59,193
al,roll,1m,covered,193,0,193
al,roll,1w,missing_segment,252,181,71
ao,main,1d,covered,1,0,1
ao,main,1m,covered,1,0,1
ao,main,1w,covered,1,0,1
ao,roll,1d,covered,22,0,22
ao,roll,1m,covered,22,0,22
ao,roll,1w,missing_segment,22,13,9
ap,main,1d,covered,1,0,1
ap,main,1m,covered,1,0,1
ap,main,1w,covered,1,0,1
ap,roll,1d,covered,26,0,26
ap,roll,1m,covered,26,0,26
ap,roll,1w,partial_segment,26,14,12
au,main,1d,covered,1,0,1
au,main,1m,covered,1,0,1
au,main,1w,covered,1,0,1
au,roll,1d,missing_segment,53,5,48
au,roll,1m,covered,49,0,49
au,roll,1w,missing_segment,53,37,16
b,main,1d,covered,1,0,1
b,main,1m,covered,1,0,1
b,main,1w,covered,1,0,1
b,roll,1d,missing_segment,119,27,92
b,roll,1m,covered,94,0,94
b,roll,1w,missing_segment,119,79,40
bb,main,1d,covered,1,0,1
bb,main,1m,covered,1,0,1
bb,main,1w,covered,1,0,1
bb,roll,1d,missing_segment,81,5,76
bb,roll,1m,covered,81,0,81
bb,roll,1w,missing_segment,81,45,36
bc,main,1d,covered,1,0,1
bc,main,1m,covered,1,0,1
bc,main,1w,covered,1,0,1
bc,roll,1d,covered,66,0,66
bc,roll,1m,covered,66,0,66
bc,roll,1w,missing_segment,66,35,31
br,main,1d,covered,1,0,1
br,main,1m,covered,1,0,1
br,main,1w,covered,1,0,1
br,roll,1d,covered,32,0,32
br,roll,1m,covered,32,0,32
br,roll,1w,partial_segment,32,13,19
bu,main,1d,covered,1,0,1
bu,main,1m,covered,1,0,1
bu,main,1w,covered,1,0,1
bu,roll,1d,covered,55,0,55
bu,roll,1m,covered,55,0,55
bu,roll,1w,partial_segment,55,33,22
bz,main,1d,covered,1,0,1
bz,main,1m,covered,1,0,1
bz,main,1w,covered,1,0,1
bz,roll,1d,covered,6,0,6
bz,roll,1m,covered,6,0,6
bz,roll,1w,partial_segment,6,5,1
c,main,1d,covered,1,0,1
c,main,1m,covered,1,0,1
c,main,1w,covered,1,0,1
c,roll,1d,missing_segment,77,19,58
c,roll,1m,covered,58,0,58
c,roll,1w,missing_segment,77,57,20
cf,main,1d,covered,1,0,1
cf,main,1m,covered,1,0,1
cf,main,1w,covered,1,0,1
cf,roll,1d,missing_segment,78,30,48
cf,roll,1m,covered,49,0,49
cf,roll,1w,missing_segment,78,55,23
cj,main,1d,covered,1,0,1
cj,main,1m,covered,1,0,1
cj,main,1w,covered,1,0,1
cj,roll,1d,covered,22,0,22
cj,roll,1m,covered,22,0,22
cj,roll,1w,partial_segment,22,13,9
cs,main,1d,covered,1,0,1
cs,main,1m,covered,1,0,1
cs,main,1w,covered,1,0,1
cs,roll,1d,covered,52,0,52
cs,roll,1m,covered,52,0,52
cs,roll,1w,missing_segment,52,28,24
cu,main,1d,covered,1,0,1
cu,main,1m,covered,1,0,1
cu,main,1w,covered,1,0,1
cu,roll,1d,missing_segment,258,62,196
cu,roll,1m,covered,196,0,196
cu,roll,1w,missing_segment,258,169,89
cy,main,1d,covered,1,0,1
cy,main,1m,covered,1,0,1
cy,main,1w,covered,1,0,1
cy,roll,1d,covered,32,0,32
cy,roll,1m,covered,32,0,32
cy,roll,1w,missing_segment,32,21,11
eb,main,1d,covered,1,0,1
eb,main,1m,covered,1,0,1
eb,main,1w,covered,1,0,1
eb,roll,1d,covered,70,0,70
eb,roll,1m,covered,70,0,70
eb,roll,1w,missing_segment,70,43,27
ec,main,1d,covered,1,0,1
ec,main,1m,covered,1,0,1
ec,main,1w,covered,1,0,1
ec,roll,1d,covered,16,0,16
ec,roll,1m,covered,16,0,16
ec,roll,1w,missing_segment,16,11,5
eg,main,1d,covered,1,0,1
eg,main,1m,covered,1,0,1
eg,main,1w,covered,1,0,1
eg,roll,1d,covered,23,0,23
eg,roll,1m,covered,23,0,23
eg,roll,1w,partial_segment,23,3,20
fb,main,1d,covered,1,0,1
fb,main,1m,covered,1,0,1
fb,main,1w,covered,1,0,1
fb,roll,1d,missing_segment,74,3,71
fb,roll,1m,covered,74,0,74
fb,roll,1w,missing_segment,74,36,38
fg,main,1d,covered,1,0,1
fg,main,1m,covered,1,0,1
fg,main,1w,covered,1,0,1
fg,roll,1d,covered,42,0,42
fg,roll,1m,covered,42,0,42
fg,roll,1w,missing_segment,42,27,15
fu,main,1d,covered,1,0,1
fu,main,1m,covered,1,0,1
fu,main,1w,covered,1,0,1
fu,roll,1d,missing_segment,126,53,73
fu,roll,1m,covered,73,0,73
fu,roll,1w,missing_segment,126,87,39
hc,main,1d,covered,1,0,1
hc,main,1m,covered,1,0,1
hc,main,1w,covered,1,0,1
hc,roll,1d,covered,38,0,38
hc,roll,1m,covered,38,0,38
hc,roll,1w,missing_segment,38,24,14
i,main,1d,covered,1,0,1
i,main,1m,covered,1,0,1
i,main,1w,covered,1,0,1
i,roll,1d,covered,39,0,39
i,roll,1m,covered,39,0,39
i,roll,1w,missing_segment,39,24,15
ic,main,1d,covered,1,0,1
ic,main,1m,covered,1,0,1
ic,main,1w,covered,1,0,1
ic,roll,1d,covered,135,0,135
ic,roll,1m,covered,135,0,135
ic,roll,1w,missing_segment,135,47,88
if,main,1d,covered,1,0,1
if,main,1m,covered,1,0,1
if,main,1w,covered,1,0,1
if,roll,1d,covered,195,0,195
if,roll,1m,covered,195,0,195
if,roll,1w,missing_segment,195,80,115
ih,main,1d,covered,1,0,1
ih,main,1m,covered,1,0,1
ih,main,1w,covered,1,0,1
ih,roll,1d,covered,135,0,135
ih,roll,1m,covered,135,0,135
ih,roll,1w,missing_segment,135,41,94
im,main,1d,covered,1,0,1
im,main,1m,covered,1,0,1
im,main,1w,covered,1,0,1
im,roll,1d,covered,48,0,48
im,roll,1m,covered,48,0,48
im,roll,1w,missing_segment,48,9,39
j,main,1d,covered,1,0,1
j,main,1m,covered,1,0,1
j,main,1w,covered,1,0,1
j,roll,1d,covered,46,0,46
j,roll,1m,covered,46,0,46
j,roll,1w,partial_segment,46,29,17
jd,main,1d,covered,1,0,1
jd,main,1m,covered,1,0,1
jd,main,1w,covered,1,0,1
jd,roll,1d,covered,61,0,61
jd,roll,1m,covered,61,0,61
jd,roll,1w,missing_segment,61,35,26
jm,main,1d,covered,1,0,1
jm,main,1m,covered,1,0,1
jm,main,1w,covered,1,0,1
jm,roll,1d,covered,41,0,41
jm,roll,1m,covered,41,0,41
