product,contract_type,contract_role,symbol_or_contract,period,expected_start,expected_end,actual_min,actual_max,status,gap_start,gap_end,quality_status,file_path,recommended_action,segment_contract,segment_start,segment_end
a,main,dominant_main,a.MAIN,1m,2002-03-15,2026-07-10,2010-01-04,2026-07-10,partial_start,2002-03-15,2010-01-03,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1m_20020315_20260711_v2.parquet,minute_pre2020_backfill,,,
ad,main,dominant_main,ad.MAIN,1m,2025-06-10,2026-07-10,2025-06-10,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260712_v2.parquet,none,,,
ag,main,dominant_main,ag.MAIN,1m,2012-05-10,2026-07-10,2012-05-10,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1m_20120510_20260711_v2.parquet,none,,,
al,main,dominant_main,al.MAIN,1m,2000-01-04,2026-07-10,2010-01-04,2026-07-10,partial_start,2000-01-04,2010-01-03,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1m_20000104_20260711_v2.parquet,minute_pre2020_backfill,,,
ao,main,dominant_main,ao.MAIN,1m,2023-06-19,2026-07-10,2023-06-19,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_1m_20230103_20260712_v2.parquet,none,,,
ap,main,dominant_main,ap.MAIN,1m,2017-12-22,2026-07-10,2017-12-22,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_1m_20171222_20260711_v2.parquet,none,,,
au,main,dominant_main,au.MAIN,1m,2008-01-09,2026-07-10,2010-01-04,2026-07-10,partial_start,2008-01-09,2010-01-03,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=au/contract=au.MAIN/au_MAIN_1m_20080109_20260711_v2.parquet,minute_pre2020_backfill,,,
b,main,dominant_main,b.MAIN,1m,2004-12-22,2026-07-10,2010-01-04,2026-07-10,partial_start,2004-12-22,2010-01-03,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_1m_20041222_20260711_v2.parquet,minute_pre2020_backfill,,,
bb,main,dominant_main,bb.MAIN,1m,2013-12-06,2026-07-10,2013-12-06,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1m_20131206_20260711_v2.parquet,none,,,
bc,main,dominant_main,bc.MAIN,1m,2020-11-19,2026-07-10,2020-11-19,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=bc.MAIN/bc_MAIN_1m_20201119_20260711_v2.parquet,none,,,
br,main,dominant_main,br.MAIN,1m,2023-07-28,2026-07-10,2023-07-28,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=br/contract=br.MAIN/br_MAIN_1m_20230103_20260712_v2.parquet,none,,,
bu,main,dominant_main,bu.MAIN,1m,2013-10-09,2026-07-10,2013-10-09,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=bu/contract=bu.MAIN/bu_MAIN_1m_20131009_20260711_v2.parquet,none,,,
bz,main,dominant_main,bz.MAIN,1m,2025-07-08,2026-07-10,2025-07-08,2026-07-10,covered,,,,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=bz/contract=bz.MAIN/bz_MAIN_1m_20230103_20260712_v2.parquet,none,,,
