product,contract_type,period,worst_status,segment_total,segment_gap_count,covered_count
a,main,1d,covered,1,0,1
a,main,1m,partial_start,1,1,0
a,main,1w,covered,1,0,1
a,roll,1d,missing_segment,76,48,28
a,roll,1m,missing_segment,76,59,17
a,roll,1w,missing_segment,76,61,15
ad,main,1d,covered,1,0,1
ad,main,1m,covered,1,0,1
ad,main,1w,covered,1,0,1
ad,roll,1d,covered,11,0,11
ad,roll,1m,covered,11,0,11
ad,roll,1w,missing_segment,11,11,0
ag,main,1d,covered,1,0,1
ag,main,1m,covered,1,0,1
ag,main,1w,covered,1,0,1
ag,roll,1d,missing_segment,44,35,9
ag,roll,1m,missing_segment,44,27,17
ag,roll,1w,missing_segment,44,39,5
al,main,1d,covered,1,0,1
al,main,1m,partial_start,1,1,0
al,main,1w,covered,1,0,1
al,roll,1d,missing_segment,252,216,36
al,roll,1m,missing_segment,252,210,42
al,roll,1w,missing_segment,252,210,42
ao,main,1d,covered,1,0,1
ao,main,1m,covered,1,0,1
ao,main,1w,covered,1,0,1
ao,roll,1d,covered,22,0,22
ao,roll,1m,covered,22,0,22
ao,roll,1w,missing_segment,22,22,0
ap,main,1d,covered,1,0,1
ap,main,1m,covered,1,0,1
ap,main,1w,covered,1,0,1
ap,roll,1d,missing_segment,26,8,18
ap,roll,1m,missing_segment,26,16,10
ap,roll,1w,missing_segment,26,21,5
au,main,1d,covered,1,0,1
au,main,1m,partial_start,1,1,0
au,main,1w,covered,1,0,1
au,roll,1d,missing_segment,53,45,8
au,roll,1m,missing_segment,53,32,21
au,roll,1w,missing_segment,53,47,6
b,main,1d,covered,1,0,1
b,main,1m,partial_start,1,1,0
b,main,1w,covered,1,0,1
b,roll,1d,missing_segment,119,61,58
b,roll,1m,missing_segment,119,93,26
b,roll,1w,missing_segment,119,88,31
bb,main,1d,covered,1,0,1
bb,main,1m,covered,1,0,1
bb,main,1w,covered,1,0,1
bb,roll,1d,missing_segment,81,29,52
bb,roll,1m,missing_segment,81,56,25
bb,roll,1w,missing_segment,81,54,27
bc,main,1d,covered,1,0,1
bc,main,1m,covered,1,0,1
bc,main,1w,covered,1,0,1
bc,roll,1d,partial_segment,66,1,65
bc,roll,1m,missing_segment,66,25,41
bc,roll,1w,missing_segment,66,55,11
br,main,1d,covered,1,0,1
br,main,1m,covered,1,0,1
br,main,1w,covered,1,0,1
br,roll,1d,covered,32,0,32
br,roll,1m,covered,32,0,32
br,roll,1w,missing_segment,32,32,0
bu,main,1d,covered,1,0,1
bu,main,1m,covered,1,0,1
bu,main,1w,covered,1,0,1
bu,roll,1d,missing_segment,55,46,9
bu,roll,1m,missing_segment,55,28,27
bu,roll,1w,missing_segment,55,46,9
bz,main,1d,covered,1,0,1
bz,main,1m,covered,1,0,1
bz,main,1w,covered,1,0,1
bz,roll,1d,covered,6,0,6
bz,roll,1m,covered,6,0,6
bz,roll,1w,missing_segment,6,6,0
c,main,1d,covered,1,0,1
c,main,1m,partial_start,1,1,0
c,main,1w,covered,1,0,1
c,roll,1d,missing_segment,77,50,27
c,roll,1m,missing_segment,77,58,19
c,roll,1w,missing_segment,77,63,14
cf,main,1d,covered,1,0,1
cf,main,1m,partial_start,1,1,0
cf,main,1w,covered,1,0,1
cf,roll,1d,missing_segment,78,60,18
cf,roll,1m,missing_segment,78,68,10
cf,roll,1w,missing_segment,78,70,8
cj,main,1d,covered,1,0,1
cj,main,1m,covered,1,0,1
cj,main,1w,covered,1,0,1
cj,roll,1d,missing_segment,22,4,18
cj,roll,1m,missing_segment,22,12,10
cj,roll,1w,missing_segment,22,17,5
cs,main,1d,covered,1,0,1
cs,main,1m,covered,1,0,1
cs,main,1w,covered,1,0,1
cs,roll,1d,missing_segment,52,18,34
cs,roll,1m,missing_segment,52,31,21
cs,roll,1w,missing_segment,52,40,12
cu,main,1d,covered,1,0,1
cu,main,1m,partial_start,1,1,0
cu,main,1w,covered,1,0,1
cu,roll,1d,missing_segment,258,222,36
cu,roll,1m,missing_segment,258,217,41
cu,roll,1w,missing_segment,258,208,50
cy,main,1d,covered,1,0,1
cy,main,1m,covered,1,0,1
cy,main,1w,covered,1,0,1
cy,roll,1d,missing_segment,32,9,23
cy,roll,1m,missing_segment,32,17,15
cy,roll,1w,missing_segment,32,24,8
eb,main,1d,covered,1,0,1
eb,main,1m,covered,1,0,1
eb,main,1w,covered,1,0,1
eb,roll,1d,missing_segment,70,3,67
eb,roll,1m,missing_segment,70,28,42
eb,roll,1w,missing_segment,70,61,9
ec,main,1d,covered,1,0,1
ec,main,1m,covered,1,0,1
ec,main,1w,covered,1,0,1
ec,roll,1d,covered,16,0,16
ec,roll,1m,covered,16,0,16
ec,roll,1w,missing_segment,16,16,0
eg,main,1d,covered,1,0,1
eg,main,1m,covered,1,0,1
eg,main,1w,covered,1,0,1
eg,roll,1d,missing_segment,23,14,9
eg,roll,1m,missing_segment,23,13,10
eg,roll,1w,missing_segment,23,14,9
fb,main,1d,covered,1,0,1
fb,main,1m,covered,1,0,1
fb,main,1w,covered,1,0,1
fb,roll,1d,missing_segment,74,36,38
fb,roll,1m,missing_segment,74,53,21
fb,roll,1w,missing_segment,74,47,27
fg,main,1d,covered,1,0,1
fg,main,1m,covered,1,0,1
fg,main,1w,covered,1,0,1
fg,roll,1d,missing_segment,42,33,9
fg,roll,1m,missing_segment,42,32,10
fg,roll,1w,missing_segment,42,36,6
fu,main,1d,covered,1,0,1
fu,main,1m,partial_start,1,1,0
fu,main,1w,covered,1,0,1
fu,roll,1d,missing_segment,126,117,9
fu,roll,1m,missing_segment,126,109,17
fu,roll,1w,missing_segment,126,102,24
hc,main,1d,covered,1,0,1
hc,main,1m,covered,1,0,1
hc,main,1w,covered,1,0,1
hc,roll,1d,missing_segment,38,29,9
hc,roll,1m,missing_segment,38,28,10
hc,roll,1w,missing_segment,38,30,8
i,main,1d,covered,1,0,1
i,main,1m,covered,1,0,1
i,main,1w,covered,1,0,1
i,roll,1d,missing_segment,39,30,9
i,roll,1m,missing_segment,39,29,10
i,roll,1w,missing_segment,39,31,8
ic,main,1d,covered,1,0,1
ic,main,1m,covered,1,0,1
ic,main,1w,covered,1,0,1
ic,roll,1d,missing_segment,135,58,77
ic,roll,1m,missing_segment,135,93,42
ic,roll,1w,missing_segment,135,81,54
if,main,1d,covered,1,0,1
if,main,1m,covered,1,0,1
if,main,1w,covered,1,0,1
if,roll,1d,missing_segment,195,118,77
if,roll,1m,missing_segment,195,153,42
if,roll,1w,missing_segment,195,119,76
ih,main,1d,covered,1,0,1
ih,main,1m,covered,1,0,1
ih,main,1w,covered,1,0,1
ih,roll,1d,missing_segment,135,58,77
ih,roll,1m,missing_segment,135,93,42
ih,roll,1w,missing_segment,135,80,55
im,main,1d,covered,1,0,1
im,main,1m,covered,1,0,1
im,main,1w,covered,1,0,1
im,roll,1d,partial_segment,48,1,47
im,roll,1m,missing_segment,48,6,42
im,roll,1w,missing_segment,48,45,3
j,main,1d,covered,1,0,1
j,main,1m,covered,1,0,1
j,main,1w,covered,1,0,1
j,roll,1d,missing_segment,46,37,9
j,roll,1m,missing_segment,46,36,10
j,roll,1w,missing_segment,46,33,13
jd,main,1d,covered,1,0,1
jd,main,1m,covered,1,0,1
jd,main,1w,covered,1,0,1
jd,roll,1d,missing_segment,61,21,40
jd,roll,1m,missing_segment,61,33,28
jd,roll,1w,missing_segment,61,46,15
jm,main,1d,covered,1,0,1
jm,main,1m,covered,1,0,1
jm,main,1w,covered,1,0,1
jm,roll,1d,missing_segment,41,24,17
jm,roll,1m,missing_segment,41,31,10
jm,roll,1w,missing_segment,41,30,11
jr,main,1d,covered,1,0,1
jr,main,1m,covered,1,0,1
jr,main,1w,covered,1,0,1
jr,roll,1d,missing_segment,51,24,27
jr,roll,1m,missing_segment,51,30,21
jr,roll,1w,missing_segment,51,46,5
l,main,1d,covered,1,0,1
l,main,1m,partial_start,1,1,0
l,main,1w,covered,1,0,1
l,roll,1d,missing_segment,63,54,9
l,roll,1m,missing_segment,63,53,10
l,roll,1w,missing_segment,63,46,17
l_f,main,1d,covered,1,0,1
l_f,main,1m,covered,1,0,1
l_f,main,1w,covered,1,0,1
l_f,roll,1d,covered,8,0,8
l_f,roll,1m,covered,8,0,8
l_f,roll,1w,missing_segment,8,8,0
lc,main,1d,covered,1,0,1
lc,main,1m,covered,1,0,1
lc,main,1w,covered,1,0,1
lc,roll,1d,covered,11,0,11
lc,roll,1m,covered,11,0,11
lc,roll,1w,missing_segment,11,11,0
lg,main,1d,covered,1,0,1
lg,main,1m,covered,1,0,1
lg,main,1w,covered,1,0,1
lg,roll,1d,covered,8,0,8
lg,roll,1m,covered,8,0,8
lg,roll,1w,missing_segment,8,8,0
lh,main,1d,covered,1,0,1
lh,main,1m,covered,1,0,1
lh,main,1w,covered,1,0,1
lh,roll,1d,partial_segment,26,1,25
lh,roll,1m,missing_segment,26,7,19
lh,roll,1w,missing_segment,26,25,1
lu,main,1d,covered,1,0,1
lu,main,1m,covered,1,0,1
lu,main,1w,covered,1,0,1
lu,roll,1d,partial_segment,68,1,67
lu,roll,1m,missing_segment,68,26,42
lu,roll,1w,missing_segment,68,59,9
m,main,1d,covered,1,0,1
m,main,1m,partial_start,1,1,0
m,main,1w,covered,1,0,1
