product,listed_date,pre_2020_applicable,decision,mode,reason,gap_start,gap_end,output_start,output_end
ag,2012-05-10,True,prepend,prepend,prepend historical prefix before existing asset,2012-05-10,2023-01-05,2012-05-10,2026-07-11
al,1999-01-04,True,prepend,prepend,prepend historical prefix before existing asset,2000-01-04,2023-01-05,2000-01-04,2026-07-11
au,2008-01-09,True,prepend,prepend,prepend historical prefix before existing asset,2008-01-09,2023-01-05,2008-01-09,2026-07-11
b,2004-12-22,True,prepend,prepend,prepend historical prefix before existing asset,2004-12-22,2023-01-05,2004-12-22,2026-07-11
bu,2013-10-09,True,prepend,prepend,prepend historical prefix before existing asset,2013-10-09,2023-01-05,2013-10-09,2026-07-11
c,2004-09-22,True,prepend,prepend,prepend historical prefix before existing asset,2004-09-22,2023-01-05,2004-09-22,2026-07-11
cf,2004-06-01,True,prepend,prepend,prepend historical prefix before existing asset,2004-06-01,2023-01-05,2004-06-01,2026-07-11
cu,1999-01-04,True,prepend,prepend,prepend historical prefix before existing asset,2000-01-04,2023-01-05,2000-01-04,2026-07-11
eb,2019-09-26,True,prepend,prepend,prepend historical prefix before existing asset,2019-09-26,2023-01-05,2019-09-26,2026-07-11
eg,2018-12-10,True,prepend,prepend,prepend historical prefix before existing asset,2018-12-10,2023-01-05,2018-12-10,2026-07-11
fg,2012-12-03,True,prepend,prepend,prepend historical prefix before existing asset,2012-12-03,2023-01-05,2012-12-03,2026-07-11
fu,2004-08-25,True,prepend,prepend,prepend historical prefix before existing asset,2004-08-25,2023-01-05,2004-08-25,2026-07-11
ic,2015-04-16,True,prepend,prepend,prepend historical prefix before existing asset,2015-04-16,2023-01-05,2015-04-16,2026-07-11
ih,2015-04-16,True,prepend,prepend,prepend historical prefix before existing asset,2015-04-16,2023-01-05,2015-04-16,2026-07-11
jr,2013-11-18,True,prepend,prepend,prepend historical prefix before existing asset,2013-11-18,2023-01-05,2013-11-18,2026-07-11
l,2007-07-31,True,prepend,prepend,prepend historical prefix before existing asset,2007-07-31,2023-01-05,2007-07-31,2026-07-11
m,2000-07-17,True,prepend,prepend,prepend historical prefix before existing asset,2000-07-17,2023-01-05,2000-07-17,2026-07-11
ma,2014-06-17,True,prepend,prepend,prepend historical prefix before existing asset,2014-06-17,2023-01-05,2014-06-17,2026-07-11
nr,2019-08-12,True,prepend,prepend,prepend historical prefix before existing asset,2019-08-12,2023-01-05,2019-08-12,2026-07-11
oi,2012-07-16,True,prepend,prepend,prepend historical prefix before existing asset,2012-07-16,2023-01-05,2012-07-16,2026-07-11
p,2007-10-29,True,prepend,prepend,prepend historical prefix before existing asset,2007-10-29,2023-01-05,2007-10-29,2026-07-11
pb,2011-03-24,True,prepend,prepend,prepend historical prefix before existing asset,2011-03-24,2023-01-05,2011-03-24,2026-07-11
pm,2012-01-17,True,prepend,prepend,prepend historical prefix before existing asset,2012-01-17,2023-01-05,2012-01-17,2026-07-11
ri,2012-07-24,True,prepend,prepend,prepend historical prefix before existing asset,2012-07-24,2023-01-05,2012-07-24,2026-07-11
ru,1999-01-04,True,prepend,prepend,prepend historical prefix before existing asset,2000-01-04,2023-01-05,2000-01-04,2026-07-11
sc,2018-03-26,True,prepend,prepend,prepend historical prefix before existing asset,2018-03-26,2023-01-05,2018-03-26,2026-07-11
sp,2018-11-27,True,prepend,prepend,prepend historical prefix before existing asset,2018-11-27,2023-01-05,2018-11-27,2026-07-11
ss,2019-09-25,True,prepend,prepend,prepend historical prefix before existing asset,2019-09-25,2023-01-05,2019-09-25,2026-07-11
ta,2006-12-18,True,prepend,prepend,prepend historical prefix before existing asset,2006-12-18,2023-01-05,2006-12-18,2026-07-11
v,2009-05-25,True,prepend,prepend,prepend historical prefix before existing asset,2009-05-25,2023-01-05,2009-05-25,2026-07-11
wh,2012-07-24,True,prepend,prepend,prepend historical prefix before existing asset,2012-07-24,2023-01-05,2012-07-24,2026-07-11
y,2006-01-09,True,prepend,prepend,prepend historical prefix before existing asset,2006-01-09,2023-01-05,2006-01-09,2026-07-11
zc,2015-05-18,True,prepend,prepend,prepend historical prefix before existing asset,2015-05-18,2023-01-05,2015-05-18,2026-07-11
zn,2007-03-26,True,prepend,prepend,prepend historical prefix before existing asset,2007-03-26,2023-01-05,2007-03-26,2026-07-11
