product,listed_date,pre_2020_applicable,decision,mode,reason,gap_start,gap_end,output_start,output_end
a,2002-03-15,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2002-03-15,2019-12-31,2002-03-15,2026-07-11
ag,2012-05-10,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2012-05-10,2019-12-31,2012-05-10,2026-07-11
al,1999-01-04,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2000-01-04,2019-12-31,2000-01-04,2026-07-11
ap,2017-12-22,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2017-12-22,2019-12-31,2017-12-22,2026-07-11
au,2008-01-09,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2008-01-09,2019-12-31,2008-01-09,2026-07-11
b,2004-12-22,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2004-12-22,2019-12-31,2004-12-22,2026-07-11
bb,2013-12-06,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2013-12-06,2019-12-31,2013-12-06,2026-07-11
bu,2013-10-09,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2013-10-09,2019-12-31,2013-10-09,2026-07-11
c,2004-09-22,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2004-09-22,2019-12-31,2004-09-22,2026-07-11
cf,2004-06-01,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2004-06-01,2019-12-31,2004-06-01,2026-07-11
cj,2019-04-30,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2019-04-30,2019-12-31,2019-04-30,2026-07-11
cs,2014-12-19,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2014-12-19,2019-12-31,2014-12-19,2026-07-11
cu,1999-01-04,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2000-01-04,2019-12-31,2000-01-04,2026-07-11
cy,2017-08-18,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2017-08-18,2019-12-31,2017-08-18,2026-07-11
eb,2019-09-26,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2019-09-26,2019-12-31,2019-09-26,2026-07-11
eg,2018-12-10,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2018-12-10,2019-12-31,2018-12-10,2026-07-11
fb,2013-12-06,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2013-12-06,2019-12-31,2013-12-06,2026-07-11
fg,2012-12-03,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2012-12-03,2019-12-31,2012-12-03,2026-07-11
fu,2004-08-25,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2004-08-25,2019-12-31,2004-08-25,2026-07-11
hc,2014-03-21,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2014-03-21,2019-12-31,2014-03-21,2026-07-11
i,2013-10-18,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2013-10-18,2019-12-31,2013-10-18,2026-07-11
ic,2015-04-16,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2015-04-16,2019-12-31,2015-04-16,2026-07-11
if,2010-04-16,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2010-04-16,2019-12-31,2010-04-16,2026-07-11
ih,2015-04-16,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2015-04-16,2019-12-31,2015-04-16,2026-07-11
j,2011-04-15,True,prepend,prepend,prepend pre-2020 daily prefix before 2020+ anchor asset,2011-04-15,2019-12-31,2011-04-15,2026-07-11
