product,listed_date,pre_2020_applicable,decision,mode,reason,gap_start,gap_end,output_start,output_end,estimated_bars,estimated_mb
a,2002-03-15,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2002-03-15,2019-12-31,2002-03-15,2026-07-11,1076880,308.1
al,1999-01-04,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2000-01-04,2019-12-31,2000-01-04,2026-07-11,1209600,346.07
au,2008-01-09,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2008-01-09,2019-12-31,2008-01-09,2026-07-11,724560,207.3
b,2004-12-22,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2004-12-22,2019-12-31,2004-12-22,2026-07-11,909120,260.1
c,2004-09-22,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2004-09-22,2019-12-31,2004-09-22,2026-07-11,924240,264.43
cf,2004-06-01,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2004-06-01,2019-12-31,2004-06-01,2026-07-11,942960,269.78
cu,1999-01-04,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2000-01-04,2019-12-31,2000-01-04,2026-07-11,1209600,346.07
fu,2004-08-25,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2004-08-25,2019-12-31,2004-08-25,2026-07-11,928800,265.73
l,2007-07-31,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2007-07-31,2019-12-31,2007-07-31,2026-07-11,751440,214.99
m,2000-07-17,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2000-07-17,2019-12-31,2000-07-17,2026-07-11,1177440,336.87
p,2007-10-29,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2007-10-29,2019-12-31,2007-10-29,2026-07-11,736560,210.73
rb,2009-03-27,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2009-03-27,2019-12-31,2009-03-27,2026-07-11,651360,186.36
ru,1999-01-04,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2000-01-04,2019-12-31,2000-01-04,2026-07-11,1209600,346.07
sr,2006-01-06,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2006-01-06,2019-12-31,2006-01-06,2026-07-11,846000,242.04
ta,2006-12-18,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2006-12-18,2019-12-31,2006-12-18,2026-07-11,788880,225.7
v,2009-05-25,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2009-05-25,2019-12-31,2009-05-25,2026-07-11,641520,183.54
wr,2009-03-27,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2009-03-27,2019-12-31,2009-03-27,2026-07-11,651360,186.36
y,2006-01-09,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2006-01-09,2019-12-31,2006-01-09,2026-07-11,845520,241.91
zn,2007-03-26,True,prepend,prepend,prepend pre-2020 minute prefix before 2020+ anchor asset,2007-03-26,2019-12-31,2007-03-26,2026-07-11,772560,221.03
