consumer,profile,product,contract,period,start_date,end_date,expected_trading_day_count,calendar_status,physical_status,manifest_status,database_status,quality_status,checksum_status,duckdb_status,boundary_status,boundary_evidence,missing_trading_dates,normalized_path_count,manifest_overlap_count,physical_only_count,db_only_count,mapping_semantics,status,path_evidence
backtest_review,jm_v1b,jm,JM2309,1d,2023-06-28,2023-08-10,32,passed,passed,failed,passed,passed,failed,passed,passed,datetime_date,[],2,0,0,2,actual_confirmed_rank1,residual,"[{""actual_checksum"": ""3779025ef05bdb623bae9aac9c9f6a1a41aa3fc9226ffcaa7a11c780fc671c9f"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": true, ""db_ids"": [42430], ""duckdb_error"": """", ""duckdb_readable"": true, ""duckdb_row_count"": 81, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2309/JM2309_1d_20230413_20230810.parquet"", ""physical"": true, ""quality_passed"": true}, {""actual_checksum"": ""42ca0b521b5b10e4e35e57cce82a4640a7da3e16eadd3c76c3281a4cf1ede815"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": false, ""db_ids"": [42429], ""duckdb_error"": ""ValueError:required columns missing: datetime"", ""duckdb_readable"": false, ""duckdb_row_count"": null, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=jm/contract=JM2309/frequency=1d/JM2309_1d_raw_20230413_20230810.parquet"", ""physical"": true, ""quality_passed"": false}]"
backtest_review,jm_v1b,jm,JM2401,1d,2023-08-11,2023-12-06,78,passed,passed,failed,passed,passed,failed,passed,passed,datetime_date,[],2,0,0,2,actual_confirmed_rank1,residual,"[{""actual_checksum"": ""bb083ef6a9523673f357b3ecf5c4eea328907c30e42f9f81d76a0e3e813fa3e7"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": true, ""db_ids"": [42432], ""duckdb_error"": """", ""duckdb_readable"": true, ""duckdb_row_count"": 78, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2401/JM2401_1d_20230811_20231206.parquet"", ""physical"": true, ""quality_passed"": true}, {""actual_checksum"": ""b9168fecbf8b105794e0776a64a15522235ee186165eb447ff819b21453817b3"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": false, ""db_ids"": [42431], ""duckdb_error"": ""ValueError:required columns missing: datetime"", ""duckdb_readable"": false, ""duckdb_row_count"": null, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=jm/contract=JM2401/frequency=1d/JM2401_1d_raw_20230811_20231206.parquet"", ""physical"": true, ""quality_passed"": false}]"
backtest_review,jm_v1b,jm,JM2405,1d,2023-12-07,2024-04-09,80,passed,passed,failed,passed,passed,failed,passed,passed,datetime_date,[],2,0,0,2,actual_confirmed_rank1,residual,"[{""actual_checksum"": ""bf23c94b805d3dfe7767e31f1b47b8385ca44b11047d6ccb5cd5bcf28021de48"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": true, ""db_ids"": [42434], ""duckdb_error"": """", ""duckdb_readable"": true, ""duckdb_row_count"": 80, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2405/JM2405_1d_20231207_20240409.parquet"", ""physical"": true, ""quality_passed"": true}, {""actual_checksum"": ""bdf395ce35934f1b362f064a26bb73fb3ae904e2f49dc39ef411d8bcf657c9e8"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": false, ""db_ids"": [42433], ""duckdb_error"": ""ValueError:required columns missing: datetime"", ""duckdb_readable"": false, ""duckdb_row_count"": null, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=jm/contract=JM2405/frequency=1d/JM2405_1d_raw_20231207_20240409.parquet"", ""physical"": true, ""quality_passed"": false}]"
backtest_review,jm_v1b,jm,JM2409,1d,2024-04-10,2024-08-15,88,passed,passed,failed,passed,passed,failed,passed,passed,datetime_date,[],2,0,0,2,actual_confirmed_rank1,residual,"[{""actual_checksum"": ""7ed109cf32c79a4dacb7183cf761bdb70ade2d5bc51cc9467f0b4b670043d0ec"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": true, ""db_ids"": [42436], ""duckdb_error"": """", ""duckdb_readable"": true, ""duckdb_row_count"": 88, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2409/JM2409_1d_20240410_20240815.parquet"", ""physical"": true, ""quality_passed"": true}, {""actual_checksum"": ""29de312644c1a4629374f60b3bcbe83eb5fc16842331bc91b4435b9162aa0a1f"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": false, ""db_ids"": [42435], ""duckdb_error"": ""ValueError:required columns missing: datetime"", ""duckdb_readable"": false, ""duckdb_row_count"": null, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=jm/contract=JM2409/frequency=1d/JM2409_1d_raw_20240410_20240815.parquet"", ""physical"": true, ""quality_passed"": false}]"
backtest_review,jm_v1b,jm,JM2501,1d,2024-08-16,2024-12-17,81,passed,passed,failed,passed,passed,failed,passed,passed,datetime_date,[],2,0,0,2,actual_confirmed_rank1,residual,"[{""actual_checksum"": ""8d6d24ab08c61b8980f93115c4451be46530ede272a5b31ffdd554820a3cc8d4"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": true, ""db_ids"": [42438], ""duckdb_error"": """", ""duckdb_readable"": true, ""duckdb_row_count"": 81, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2501/JM2501_1d_20240816_20241217.parquet"", ""physical"": true, ""quality_passed"": true}, {""actual_checksum"": ""366b49cf973b3a7aa962ece30db9f60fea18c56dc3a00893558eafc279e7a4a0"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": false, ""db_ids"": [42437], ""duckdb_error"": ""ValueError:required columns missing: datetime"", ""duckdb_readable"": false, ""duckdb_row_count"": null, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=jm/contract=JM2501/frequency=1d/JM2501_1d_raw_20240816_20241217.parquet"", ""physical"": true, ""quality_passed"": false}]"
backtest_review,jm_v1b,jm,JM2505,1d,2024-12-18,2025-04-14,76,passed,passed,failed,passed,passed,failed,passed,passed,datetime_date,[],2,0,0,2,actual_confirmed_rank1,residual,"[{""actual_checksum"": ""f53ee7f8d2c36f209589866295d1419a48c2abb8b2390cb3cc81eb5907876633"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": true, ""db_ids"": [42440], ""duckdb_error"": """", ""duckdb_readable"": true, ""duckdb_row_count"": 76, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2505/JM2505_1d_20241218_20250414.parquet"", ""physical"": true, ""quality_passed"": true}, {""actual_checksum"": ""c931e80bd4a68be4bfdb84906c23f51b7b369c84681f335ea9801c2fbfb7de20"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": false, ""db_ids"": [42439], ""duckdb_error"": ""ValueError:required columns missing: datetime"", ""duckdb_readable"": false, ""duckdb_row_count"": null, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=jm/contract=JM2505/frequency=1d/JM2505_1d_raw_20241218_20250414.parquet"", ""physical"": true, ""quality_passed"": false}]"
backtest_review,jm_v1b,jm,JM2509,1d,2025-04-15,2025-07-30,73,passed,passed,failed,passed,passed,failed,passed,passed,datetime_date,[],2,0,0,2,actual_confirmed_rank1,residual,"[{""actual_checksum"": ""b7d6d73b40e5ee7827bf7f6825131612250610eee5a0096c69d04d6190bb9a5c"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": true, ""db_ids"": [42442], ""duckdb_error"": """", ""duckdb_readable"": true, ""duckdb_row_count"": 73, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2509/JM2509_1d_20250415_20250730.parquet"", ""physical"": true, ""quality_passed"": true}, {""actual_checksum"": ""3315ea5a262e90e71b1055b3df1bc5bfd2e5d97a017770610ddb97f32efa3fdf"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": false, ""db_ids"": [42441], ""duckdb_error"": ""ValueError:required columns missing: datetime"", ""duckdb_readable"": false, ""duckdb_row_count"": null, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=jm/contract=JM2509/frequency=1d/JM2509_1d_raw_20250415_20250730.parquet"", ""physical"": true, ""quality_passed"": false}]"
backtest_review,jm_v1b,jm,JM2601,1d,2025-07-31,2025-12-04,85,passed,passed,failed,passed,passed,failed,passed,passed,datetime_date,[],2,0,0,2,actual_confirmed_rank1,residual,"[{""actual_checksum"": ""8b66d9f7b70ef7a4a354bb518a42301066decb7485db1ac89aa0747d7f76b408"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": true, ""db_ids"": [42444], ""duckdb_error"": """", ""duckdb_readable"": true, ""duckdb_row_count"": 85, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2601/JM2601_1d_20250731_20251204.parquet"", ""physical"": true, ""quality_passed"": true}, {""actual_checksum"": ""a5b6ab442996d89905f8388bd18536a3e5c50780e35fae4e526fd06c1bc98f53"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": false, ""db_ids"": [42443], ""duckdb_error"": ""ValueError:required columns missing: datetime"", ""duckdb_readable"": false, ""duckdb_row_count"": null, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=jm/contract=JM2601/frequency=1d/JM2601_1d_raw_20250731_20251204.parquet"", ""physical"": true, ""quality_passed"": false}]"
backtest_review,jm_v1b,jm,JM2605,1d,2025-12-05,2026-04-15,85,passed,passed,failed,passed,passed,failed,passed,passed,datetime_date,[],2,0,0,2,actual_confirmed_rank1,residual,"[{""actual_checksum"": ""1360e47306a05db0fa8d190b472d69cdc6684f0aaca75d76bffc3503c09831ab"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": true, ""db_ids"": [86666], ""duckdb_error"": """", ""duckdb_readable"": true, ""duckdb_row_count"": 85, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2605/JM2605_1d_20251205_20260415.parquet"", ""physical"": true, ""quality_passed"": true}, {""actual_checksum"": ""eab4270d78f03939ac4c36bf754e505d8538f12d0ecd522c2c4816f8d6cb0a33"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": false, ""db_ids"": [86665], ""duckdb_error"": ""ValueError:required columns missing: datetime"", ""duckdb_readable"": false, ""duckdb_row_count"": null, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=jm/contract=JM2605/frequency=1d/JM2605_1d_raw_20251205_20260415.parquet"", ""physical"": true, ""quality_passed"": false}]"
backtest_review,jm_v1b,jm,JM2609,1d,2026-04-16,2026-06-24,46,passed,passed,passed,passed,passed,passed,passed,passed,datetime_date,[],4,0,1,2,actual_confirmed_rank1,covered,"[{""actual_checksum"": ""64f496a4ce8f2cf3f3a03acc13a50f4038631f696e72121c6ca8320c246dfcb8"", ""checksum_passed"": true, ""db_checksum_declarations_complete"": true, ""db_ids"": [34104], ""duckdb_error"": """", ""duckdb_readable"": true, ""duckdb_row_count"": 76, ""manifest_checksum_declarations_complete"": true, ""manifest_files"": [""data/manifests/rqdata_actual_contract_bars_jm_JM2609_20260401_20260707.csv""], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2609/JM2609_1d_20260401_20260707.parquet"", ""physical"": true, ""quality_passed"": true}, {""actual_checksum"": ""ef875b75c39bb0a6603c943afe31f581920732aa7d7a3b7dd72889b52829f158"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": true, ""db_ids"": [42446], ""duckdb_error"": """", ""duckdb_readable"": true, ""duckdb_row_count"": 55, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2609/JM2609_1d_20260416_20260707.parquet"", ""physical"": true, ""quality_passed"": true}, {""actual_checksum"": ""77ad68201834071699ed0e6af34c6ea029525dfa6ee7bf669839423de8eb2164"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": false, ""db_ids"": [], ""duckdb_error"": """", ""duckdb_readable"": true, ""duckdb_row_count"": 3, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=JM2609/JM2609_1d_20260706_20260707.parquet"", ""physical"": true, ""quality_passed"": false}, {""actual_checksum"": ""eb883ff10cfe5149b3dd86465702480abfc11c023898c2ad92a0f8c41aa67e1d"", ""checksum_passed"": false, ""db_checksum_declarations_complete"": false, ""db_ids"": [42445], ""duckdb_error"": ""ValueError:required columns missing: datetime"", ""duckdb_readable"": false, ""duckdb_row_count"": null, ""manifest_checksum_declarations_complete"": false, ""manifest_files"": [], ""path"": ""/Volumes/\u6269\u5c55\u76d8/guiyi-quant-workstation/data/raw/rqdata/actual_contract_bars/product=jm/contract=JM2609/frequency=1d/JM2609_1d_raw_20260416_20260707.parquet"", ""physical"": true, ""quality_passed"": false}]"
