product,contract,start_date,end_date,mapping_days,provider_start_date,provider_boundary_status,provider_boundary_source,provider_start_inferred_from_physical
a,A0505,2005-01-04,2005-03-04,37,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A0509,2005-03-07,2005-07-07,84,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A0511,2005-07-08,2005-07-22,11,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A0601,2005-07-25,2005-10-27,64,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A0605,2005-10-28,2006-02-15,70,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A0609,2006-02-16,2006-08-23,130,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A0701,2006-08-24,2006-10-31,44,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A0705,2006-11-01,2007-01-31,63,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A0709,2007-02-01,2007-05-30,75,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A0801,2007-05-31,2007-08-07,49,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A0805,2007-08-08,2007-11-15,67,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A0809,2007-11-16,2008-02-26,66,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A0901,2008-02-27,2008-10-14,155,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A0905,2008-10-15,2009-01-12,62,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A0909,2009-01-13,2009-04-14,60,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1001,2009-04-15,2009-07-09,59,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1005,2009-07-10,2009-10-26,71,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1009,2009-10-27,2010-04-22,121,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1101,2010-04-23,2010-07-21,60,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1105,2010-07-22,2010-10-22,59,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1109,2010-10-25,2011-01-05,52,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1201,2011-01-06,2011-07-13,126,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1205,2011-07-14,2011-10-27,70,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1209,2011-10-28,2012-03-20,96,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1301,2012-03-21,2012-09-03,113,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1305,2012-09-04,2013-02-01,101,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1309,2013-02-04,2013-06-07,80,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1401,2013-06-13,2013-10-16,83,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1405,2013-10-17,2013-12-30,53,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1409,2013-12-31,2014-03-28,58,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1501,2014-03-31,2014-11-26,163,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1505,2014-11-27,2015-04-14,91,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1509,2015-04-15,2015-06-15,43,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1601,2015-06-16,2015-11-11,99,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1605,2015-11-12,2016-03-09,79,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1609,2016-03-10,2016-07-13,86,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1701,2016-07-14,2016-11-28,91,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1705,2016-11-29,2017-03-23,77,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1709,2017-03-24,2017-08-04,91,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1801,2017-08-07,2017-12-11,86,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1805,2017-12-12,2018-04-04,76,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1809,2018-04-09,2018-07-30,78,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1901,2018-07-31,2018-12-21,98,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1905,2018-12-24,2019-04-19,77,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A1909,2019-04-22,2019-08-09,76,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2001,2019-08-12,2019-12-04,77,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2005,2019-12-05,2020-04-07,81,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2009,2020-04-08,2020-08-18,90,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2101,2020-08-19,2020-12-14,78,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2105,2020-12-15,2021-04-20,84,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2109,2021-04-21,2021-07-28,67,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2111,2021-07-29,2021-10-14,49,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2201,2021-10-15,2021-12-01,34,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2203,2021-12-02,2022-02-17,50,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2207,2022-02-18,2022-06-15,78,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2209,2022-06-16,2022-08-23,49,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2211,2022-08-24,2022-10-12,30,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2301,2022-10-13,2022-12-12,43,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2305,2022-12-13,2023-04-06,76,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2307,2023-04-07,2023-06-12,44,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2309,2023-06-13,2023-08-16,45,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2311,2023-08-17,2023-10-17,38,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2401,2023-10-18,2023-12-13,41,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2403,2023-12-14,2024-02-22,44,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2405,2024-02-23,2024-04-19,39,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2407,2024-04-22,2024-06-13,35,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2409,2024-06-14,2024-08-13,43,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2501,2024-08-14,2024-12-17,83,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2505,2024-12-18,2025-04-15,77,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2507,2025-04-16,2025-06-05,33,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2509,2025-06-06,2025-08-04,42,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2511,2025-08-05,2025-10-10,43,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2601,2025-10-13,2025-12-18,49,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2605,2025-12-19,2026-04-10,72,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2607,2026-04-13,2026-06-16,44,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2609,2026-06-17,2026-06-24,5,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
a,A2609,2026-07-07,2026-07-07,1,2005-01-04,mapping_evidence_only,rank1_mapping_min,False
ad,AD2511,2025-06-10,2025-09-16,71,2025-06-10,mapping_evidence_only,rank1_mapping_min,False
