product,contract_role,period,source_role,listing_start,provider_authoritative_start,provider_metadata_support,physical_min,target_start,target_end,boundary_status,boundary_reason,physical_coverage,registration,quality,reference_metadata,evidence_path_count,identity_conflict
a,dominant_main,15m,derived_from_1m,2002-03-15,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
a,dominant_main,1d,derived_from_1m,2002-03-15,,absent,2002-03-15,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,5,False
a,dominant_main,1d,direct,2002-03-15,,absent,2002-03-15,2002-03-15,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
a,dominant_main,1m,direct,2002-03-15,,absent,2010-01-04,2010-01-04,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
a,dominant_main,1w,direct,2002-03-15,,absent,2002-03-15,2002-03-15,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
a,dominant_main,30m,derived_from_1m,2002-03-15,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
a,dominant_main,5m,derived_from_1m,2002-03-15,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
a,dominant_main,60m,derived_from_1m,2002-03-15,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
ad,dominant_main,15m,derived_from_1m,2025-06-10,,absent,2025-06-10,2025-06-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
ad,dominant_main,1d,derived_from_1m,2025-06-10,,absent,2025-06-10,2025-06-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,4,False
ad,dominant_main,1d,direct,2025-06-10,,absent,2025-06-10,2025-06-10,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,4,False
ad,dominant_main,1m,direct,2025-06-10,,absent,2025-06-10,2025-06-10,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,4,False
ad,dominant_main,1w,direct,2025-06-10,,absent,2025-06-13,2025-06-13,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,4,False
ad,dominant_main,30m,derived_from_1m,2025-06-10,,absent,2025-06-10,2025-06-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
ad,dominant_main,5m,derived_from_1m,2025-06-10,,absent,2025-06-10,2025-06-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
ad,dominant_main,60m,derived_from_1m,2025-06-10,,absent,2025-06-10,2025-06-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
ag,dominant_main,15m,derived_from_1m,2012-05-10,,absent,2020-01-02,2012-05-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
ag,dominant_main,1d,derived_from_1m,2012-05-10,,absent,2012-05-10,2012-05-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,5,False
ag,dominant_main,1d,direct,2012-05-10,,absent,2012-05-10,2012-05-10,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
ag,dominant_main,1m,direct,2012-05-10,,absent,2012-05-10,2012-05-10,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
ag,dominant_main,1w,direct,2012-05-10,,absent,2012-05-11,2012-05-11,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
ag,dominant_main,30m,derived_from_1m,2012-05-10,,absent,2020-01-02,2012-05-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
ag,dominant_main,5m,derived_from_1m,2012-05-10,,absent,2020-01-02,2012-05-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
ag,dominant_main,60m,derived_from_1m,2012-05-10,,absent,2020-01-02,2012-05-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
al,dominant_main,15m,derived_from_1m,1999-01-04,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
al,dominant_main,1d,derived_from_1m,1999-01-04,,absent,2000-01-05,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,5,False
al,dominant_main,1d,direct,1999-01-04,,absent,2000-01-05,2000-01-05,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
al,dominant_main,1m,direct,1999-01-04,,absent,2010-01-04,2010-01-04,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
al,dominant_main,1w,direct,1999-01-04,,absent,2000-01-07,2000-01-07,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,6,False
al,dominant_main,30m,derived_from_1m,1999-01-04,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
al,dominant_main,5m,derived_from_1m,1999-01-04,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
al,dominant_main,60m,derived_from_1m,1999-01-04,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
ao,dominant_main,15m,derived_from_1m,2023-06-19,,absent,2023-06-19,2023-06-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
ao,dominant_main,1d,derived_from_1m,2023-06-19,,absent,2023-06-19,2023-06-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,4,False
ao,dominant_main,1d,direct,2023-06-19,,absent,2023-06-19,2023-06-19,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,4,False
ao,dominant_main,1m,direct,2023-06-19,,absent,2023-06-19,2023-06-19,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,4,False
ao,dominant_main,1w,direct,2023-06-19,,absent,2023-06-21,2023-06-21,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,4,False
ao,dominant_main,30m,derived_from_1m,2023-06-19,,absent,2023-06-19,2023-06-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
ao,dominant_main,5m,derived_from_1m,2023-06-19,,absent,2023-06-19,2023-06-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
ao,dominant_main,60m,derived_from_1m,2023-06-19,,absent,2023-06-19,2023-06-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,3,False
ap,dominant_main,15m,derived_from_1m,2017-12-22,,absent,2020-01-02,2017-12-22,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
ap,dominant_main,1d,derived_from_1m,2017-12-22,,absent,2017-12-22,2017-12-22,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,5,False
ap,dominant_main,1d,direct,2017-12-22,,absent,2017-12-22,2017-12-22,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
ap,dominant_main,1m,direct,2017-12-22,,absent,2017-12-22,2017-12-22,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
ap,dominant_main,1w,direct,2017-12-22,,absent,2017-12-22,2017-12-22,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
ap,dominant_main,30m,derived_from_1m,2017-12-22,,absent,2020-01-02,2017-12-22,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
ap,dominant_main,5m,derived_from_1m,2017-12-22,,absent,2020-01-02,2017-12-22,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
ap,dominant_main,60m,derived_from_1m,2017-12-22,,absent,2020-01-02,2017-12-22,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
au,dominant_main,15m,derived_from_1m,2008-01-09,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
au,dominant_main,1d,derived_from_1m,2008-01-09,,absent,2008-01-09,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,passed,gap,5,False
au,dominant_main,1d,direct,2008-01-09,,absent,2008-01-09,2008-01-09,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
au,dominant_main,1m,direct,2008-01-09,,absent,2010-01-04,2010-01-04,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
au,dominant_main,1w,direct,2008-01-09,,absent,2008-01-11,2008-01-11,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
au,dominant_main,30m,derived_from_1m,2008-01-09,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
au,dominant_main,5m,derived_from_1m,2008-01-09,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
au,dominant_main,60m,derived_from_1m,2008-01-09,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
b,dominant_main,15m,derived_from_1m,2004-12-22,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
b,dominant_main,1d,derived_from_1m,2004-12-22,,absent,2004-12-22,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,warning,gap,5,False
b,dominant_main,1d,direct,2004-12-22,,absent,2004-12-22,2004-12-22,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,warning,gap,5,False
b,dominant_main,1m,direct,2004-12-22,,absent,2010-01-04,2010-01-04,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
b,dominant_main,1w,direct,2004-12-22,,absent,2004-12-24,2004-12-24,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
b,dominant_main,30m,derived_from_1m,2004-12-22,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
b,dominant_main,5m,derived_from_1m,2004-12-22,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
b,dominant_main,60m,derived_from_1m,2004-12-22,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
bb,dominant_main,15m,derived_from_1m,2013-12-06,,absent,2020-01-02,2013-12-06,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
bb,dominant_main,1d,derived_from_1m,2013-12-06,,absent,2013-12-06,2013-12-06,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,covered,registered,failed,gap,5,False
bb,dominant_main,1d,direct,2013-12-06,,absent,2013-12-06,2013-12-06,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,failed,gap,5,False
bb,dominant_main,1m,direct,2013-12-06,,absent,2013-12-06,2013-12-06,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,passed,gap,5,False
bb,dominant_main,1w,direct,2013-12-06,,absent,2013-12-06,2013-12-06,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start,covered,registered,failed,gap,4,False
bb,dominant_main,30m,derived_from_1m,2013-12-06,,absent,2020-01-02,2013-12-06,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
bb,dominant_main,5m,derived_from_1m,2013-12-06,,absent,2020-01-02,2013-12-06,2026-07-10,start_boundary_supported,inherited_from_1m_boundary,partial,registered,passed,gap,3,False
