product,contract_role,period,source_role,listing_start,provider_authoritative_start,provider_metadata_support,physical_min,target_start,target_end,boundary_status,boundary_reason
a,dominant_main,15m,derived_from_1m,2002-03-15,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
a,dominant_main,1d,derived_from_1m,2002-03-15,,absent,2002-03-15,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
a,dominant_main,1d,direct,2002-03-15,,absent,2002-03-15,2002-03-15,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
a,dominant_main,1m,direct,2002-03-15,,absent,2010-01-04,2010-01-04,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
a,dominant_main,1w,direct,2002-03-15,,absent,2002-03-15,2002-03-15,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
a,dominant_main,30m,derived_from_1m,2002-03-15,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
a,dominant_main,5m,derived_from_1m,2002-03-15,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
a,dominant_main,60m,derived_from_1m,2002-03-15,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ad,dominant_main,15m,derived_from_1m,2025-06-10,,absent,2025-06-10,2025-06-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ad,dominant_main,1d,derived_from_1m,2025-06-10,,absent,2025-06-10,2025-06-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ad,dominant_main,1d,direct,2025-06-10,,absent,2025-06-10,2025-06-10,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ad,dominant_main,1m,direct,2025-06-10,,absent,2025-06-10,2025-06-10,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ad,dominant_main,1w,direct,2025-06-10,,absent,2025-06-13,2025-06-13,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ad,dominant_main,30m,derived_from_1m,2025-06-10,,absent,2025-06-10,2025-06-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ad,dominant_main,5m,derived_from_1m,2025-06-10,,absent,2025-06-10,2025-06-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ad,dominant_main,60m,derived_from_1m,2025-06-10,,absent,2025-06-10,2025-06-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ag,dominant_main,15m,derived_from_1m,2012-05-10,,absent,2020-01-02,2012-05-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ag,dominant_main,1d,derived_from_1m,2012-05-10,,absent,2012-05-10,2012-05-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ag,dominant_main,1d,direct,2012-05-10,,absent,2012-05-10,2012-05-10,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ag,dominant_main,1m,direct,2012-05-10,,absent,2012-05-10,2012-05-10,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ag,dominant_main,1w,direct,2012-05-10,,absent,2012-05-11,2012-05-11,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ag,dominant_main,30m,derived_from_1m,2012-05-10,,absent,2020-01-02,2012-05-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ag,dominant_main,5m,derived_from_1m,2012-05-10,,absent,2020-01-02,2012-05-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ag,dominant_main,60m,derived_from_1m,2012-05-10,,absent,2020-01-02,2012-05-10,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
al,dominant_main,15m,derived_from_1m,1999-01-04,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
al,dominant_main,1d,derived_from_1m,1999-01-04,,absent,2000-01-05,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
al,dominant_main,1d,direct,1999-01-04,,absent,2000-01-05,2000-01-05,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
al,dominant_main,1m,direct,1999-01-04,,absent,2010-01-04,2010-01-04,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
al,dominant_main,1w,direct,1999-01-04,,absent,2000-01-07,2000-01-07,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
al,dominant_main,30m,derived_from_1m,1999-01-04,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
al,dominant_main,5m,derived_from_1m,1999-01-04,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
al,dominant_main,60m,derived_from_1m,1999-01-04,,absent,2020-01-02,2010-01-04,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ao,dominant_main,15m,derived_from_1m,2023-06-19,,absent,2023-06-19,2023-06-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ao,dominant_main,1d,derived_from_1m,2023-06-19,,absent,2023-06-19,2023-06-19,2026-07-10,start_boundary_supported,inherited_from_1m_boundary
ao,dominant_main,1d,direct,2023-06-19,,absent,2023-06-19,2023-06-19,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
ao,dominant_main,1m,direct,2023-06-19,,absent,2023-06-19,2023-06-19,2026-07-10,start_boundary_supported,physical_min_support_without_authoritative_provider_start
