product,gap_category,status,reason,start,end,layer
a,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
a,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
ad,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
ad,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
ag,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
ag,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
al,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
al,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
ao,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
ao,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
ap,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
ap,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
au,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
au,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
b,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
b,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
bb,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
bb,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
bc,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
bc,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
br,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
br,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
bu,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
bu,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
bz,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
bz,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
c,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
c,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
cf,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
cf,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
cj,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
cj,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
cs,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
cs,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
cu,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
cu,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
cy,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
cy,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
eb,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
eb,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
ec,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
ec,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
eg,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
eg,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
fb,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
fb,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
fg,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
fg,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
fu,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
fu,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
hc,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
hc,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
i,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
i,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
ic,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
ic,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
if,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
if,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
ih,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
ih,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
im,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
im,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
j,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
j,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
jd,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
jd,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
jm,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
jm,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
jr,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
jr,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
l,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
l,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
l_f,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
l_f,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
lc,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
lc,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
lg,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
lg,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
lh,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
lh,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
lu,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
lu,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
m,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
m,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
ma,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
ma,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
ni,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
ni,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
nr,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
nr,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
oi,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
oi,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
op,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
op,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
p,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
p,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
pb,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
pb,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
pd,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
pd,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
pf,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
pf,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
pg,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
pg,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
pk,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
pk,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
pl,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
pl,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
pm,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
pm,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
pp,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
pp,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
pp_f,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
pp_f,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
pr,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
pr,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
ps,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
ps,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
pt,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
pt,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
px,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
px,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
rb,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
rb,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
ri,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
ri,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
rm,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
rm,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
rr,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
rr,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
rs,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
rs,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
ru,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
ru,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
sa,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
sa,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
sc,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
sc,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
sf,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
sf,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
sh,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
sh,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
si,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
si,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
sm,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
sm,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
sn,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
sn,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
sp,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
sp,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
sr,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
sr,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
ss,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
ss,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
t,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
t,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
ta,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
ta,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
tf,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
tf,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
tl,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
tl,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
ts,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
ts,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
ur,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
ur,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
v,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
v,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
v_f,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
v_f,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
wh,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
wh,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
wr,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
wr,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
y,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
y,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
zc,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
zc,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
zn,trading_calendar_gap,gap,calendar_boundary_incomplete,,,reference_metadata
zn,trading_session_gap,unverified,historical_scope_unverified,,,reference_metadata
