product,metadata_type,applicability,status,reason,evidence_start,evidence_end
a,asset_registration,applicable,passed,registered_contract_listing,2002-03-15,2026-07-10
a,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
a,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10
a,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2005-01-04,2026-07-07
a,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
a,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2007-07-16,2026-07-10
a,trading_session,applicable,unverified,historical_scope_unverified,,
ad,asset_registration,applicable,passed,registered_contract_listing,2025-06-10,2026-07-10
ad,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2025-06-10,2026-07-07
ad,contract_universe,applicable,unverified,blocked_by_trading_calendar,2025-06-10,2026-07-10
ad,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2025-06-10,2026-07-07
ad,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
ad,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2025-06-10,2026-07-10
ad,trading_session,applicable,unverified,historical_scope_unverified,,
ag,asset_registration,applicable,passed,registered_contract_listing,2012-05-10,2026-07-10
ag,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
ag,contract_universe,applicable,unverified,blocked_by_trading_calendar,2012-05-10,2026-07-10
ag,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2012-05-10,2026-07-07
ag,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
ag,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-10-16,2026-07-10
ag,trading_session,applicable,unverified,historical_scope_unverified,,
al,asset_registration,applicable,passed,registered_contract_listing,1999-01-04,2026-07-10
al,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
al,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10
al,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2005-01-04,2026-07-07
al,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
al,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-10-16,2026-07-10
al,trading_session,applicable,unverified,historical_scope_unverified,,
ao,asset_registration,applicable,passed,registered_contract_listing,2023-06-19,2026-07-10
ao,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2023-06-19,2026-07-07
ao,contract_universe,applicable,unverified,blocked_by_trading_calendar,2023-06-19,2026-07-10
ao,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2023-06-19,2026-07-07
ao,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
ao,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2023-06-19,2026-07-10
ao,trading_session,applicable,unverified,historical_scope_unverified,,
ap,asset_registration,applicable,passed,registered_contract_listing,2017-12-22,2026-07-10
ap,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
ap,contract_universe,applicable,unverified,blocked_by_trading_calendar,2017-12-22,2026-07-10
ap,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2017-12-22,2026-06-24
ap,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
ap,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2017-12-22,2026-07-10
ap,trading_session,applicable,unverified,historical_scope_unverified,,
au,asset_registration,applicable,passed,registered_contract_listing,2008-01-09,2026-07-10
au,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
au,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10
au,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2008-01-09,2026-07-07
au,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
au,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2012-10-16,2026-07-10
au,trading_session,applicable,unverified,historical_scope_unverified,,
b,asset_registration,applicable,passed,registered_contract_listing,2004-12-22,2026-07-10
b,continuous_contract_map,not_applicable,not_applicable,profile_scope_not_applicable,2020-01-02,2026-07-07
b,contract_universe,applicable,unverified,blocked_by_trading_calendar,2010-01-04,2026-07-10
b,main_contract_map,applicable,unverified,blocked_by_trading_calendar,2005-01-04,2026-07-07
b,trading_calendar,applicable,gap,calendar_boundary_incomplete,,
b,trading_parameter,applicable,unverified,blocked_by_trading_calendar,2008-01-16,2026-07-10
b,trading_session,applicable,unverified,historical_scope_unverified,,
