market_data_file_id,product,contract_role,contract,period,provider,data_role,data_version,file_path,normalized_physical_path,start_time,end_time,row_count,file_size_bytes,checksum,quality_status,quality_report_count,quality_report_ids,quality_report_statuses,quality_report_metrics,physical_exists
33197,jm,dominant_main,jm.MAIN,1m,rqdata,candidate,rqdata_jm_standard_1m_20250102_20251231_v1,/Volumes/扩展盘/guiyi-quant-workstation/experiments/rqdata_sample_acceptance/output/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_1m_20250102_20251231.parquet,/Volumes/扩展盘/guiyi-quant-workstation/experiments/rqdata_sample_acceptance/output/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_1m_20250102_20251231.parquet,2025-01-02T09:01:00+00:00,2025-12-31T15:00:00+00:00,83115,2480518,56648d5ca81caa08849c7de18330aea8890786292ab71f72ed209e5fd49bf51f,passed,1,[34788],"[""passed""]","[{""abnormal_price_count"":0,""abnormal_volume_count"":0,""duplicated_bars"":0,""id"":34788,""missing_bars"":0}]",False
33198,jm,dominant_main,jm.MAIN,5m,rqdata,candidate,rqdata_jm_standard_5m_20250102_20251231_v1,/Volumes/扩展盘/guiyi-quant-workstation/experiments/rqdata_sample_acceptance/output/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_5m_20250102_20251231.parquet,/Volumes/扩展盘/guiyi-quant-workstation/experiments/rqdata_sample_acceptance/output/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_5m_20250102_20251231.parquet,2025-01-02T09:05:00+00:00,2025-12-31T15:00:00+00:00,16623,581583,df40573b6d7a9a87bffb4d953233d1cb37fe51068e8269cabc396724c34b806f,passed,1,[34789],"[""passed""]","[{""abnormal_price_count"":0,""abnormal_volume_count"":0,""duplicated_bars"":0,""id"":34789,""missing_bars"":0}]",False
33199,jm,dominant_main,jm.MAIN,15m,rqdata,candidate,rqdata_jm_standard_15m_20250102_20251231_v1,/Volumes/扩展盘/guiyi-quant-workstation/experiments/rqdata_sample_acceptance/output/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_15m_20250102_20251231.parquet,/Volumes/扩展盘/guiyi-quant-workstation/experiments/rqdata_sample_acceptance/output/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_15m_20250102_20251231.parquet,2025-01-02T09:15:00+00:00,2025-12-31T15:00:00+00:00,5541,222748,6749c57cda85ed52f07efd41f945f5ba827229c016a9740fea6c2f4b06add404,passed,1,[34790],"[""passed""]","[{""abnormal_price_count"":0,""abnormal_volume_count"":0,""duplicated_bars"":0,""id"":34790,""missing_bars"":0}]",False
33200,jm,dominant_main,jm.MAIN,1d,rqdata,candidate,rqdata_jm_standard_1d_20250102_20251231_v1,/Volumes/扩展盘/guiyi-quant-workstation/experiments/rqdata_sample_acceptance/output/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_1d_20250102_20251231.parquet,/Volumes/扩展盘/guiyi-quant-workstation/experiments/rqdata_sample_acceptance/output/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_1d_20250102_20251231.parquet,2025-01-02T15:00:00+00:00,2025-12-31T15:00:00+00:00,243,26820,23bc00a6de5f6f4b97f12359eb409e538a9b552145916957bab94b18fdf38086,passed,1,[34791],"[""passed""]","[{""abnormal_price_count"":0,""abnormal_volume_count"":0,""duplicated_bars"":0,""id"":34791,""missing_bars"":0}]",False
33201,jm,dominant_main,jm.MAIN,1m,rqdata,superseded,rqdata_v1b_jm_1m_20230103_20251231_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_1m_20230103_20251231.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_1m_20230103_20251231.parquet,2023-01-03T09:01:00+00:00,2025-12-31T15:00:00+00:00,248535,6533044,60b3d26140b549c445ead99af427dd9a02fe83eff4d0fc921cde193195ff7521,passed,1,[34800],"[""passed""]","[{""abnormal_price_count"":0,""abnormal_volume_count"":0,""duplicated_bars"":0,""id"":34800,""missing_bars"":0}]",True
33202,jm,dominant_main,jm.MAIN,5m,rqdata,superseded,rqdata_jm_standard_5m_20230103_20251231_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_5m_20230103_20251231.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_5m_20230103_20251231.parquet,2023-01-03T09:05:00+00:00,2025-12-31T15:00:00+00:00,49707,1606311,1b258234c1f9765216251f34a236af6b4206275606d2b6cfa566a469b2379d9f,passed,1,[34801],"[""passed""]","[{""abnormal_price_count"":0,""abnormal_volume_count"":0,""duplicated_bars"":0,""id"":34801,""missing_bars"":0}]",True
33203,jm,dominant_main,jm.MAIN,15m,rqdata,superseded,rqdata_jm_standard_15m_20230103_20251231_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_15m_20230103_20251231.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_15m_20230103_20251231.parquet,2023-01-03T09:15:00+00:00,2025-12-31T15:00:00+00:00,16569,617975,bd51bb6bcfd724f76690870c8cc56d33ca790292adb50a7daad8f57b15507e19,passed,1,[34802],"[""passed""]","[{""abnormal_price_count"":0,""abnormal_volume_count"":0,""duplicated_bars"":0,""id"":34802,""missing_bars"":0}]",True
33204,jm,dominant_main,jm.MAIN,1d,rqdata,superseded,rqdata_jm_standard_1d_20230103_20251231_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_1d_20230103_20251231.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_1d_20230103_20251231.parquet,2023-01-03T15:00:00+00:00,2025-12-31T15:00:00+00:00,727,52727,865c4eb4199abc2e4b503943f0fb1a7e3a5f4aafa1115d38f433c5b1777e0ce4,passed,1,[34803],"[""passed""]","[{""abnormal_price_count"":0,""abnormal_volume_count"":0,""duplicated_bars"":0,""id"":34803,""missing_bars"":0}]",True
33205,jm,dominant_main,jm.MAIN,1m,rqdata,superseded,rqdata_jm_standard_1m_20230103_20260707_v2,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_1m_20230103_20260707_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_1m_20230103_20260707_v2.parquet,2023-01-03T09:01:00+00:00,2026-07-06T23:00:00+00:00,289455,7506960,c762e52b6c7b3b4aa7585d91f056b58433a4ed2bce1e643679b441f25aeada52,passed,1,[34804],"[""passed""]","[{""abnormal_price_count"":0,""abnormal_volume_count"":0,""duplicated_bars"":0,""id"":34804,""missing_bars"":0}]",True
33206,jm,dominant_main,jm.MAIN,5m,rqdata,superseded,rqdata_jm_standard_5m_20230103_20260707_v2,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_5m_20230103_20260707_v2.parquet,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=jm/contract=jm.MAIN/jm_MAIN_5m_20230103_20260707_v2.parquet,2023-01-03T09:05:00+00:00,2026-07-06T23:00:00+00:00,57891,1873881,5363cdca30e509a9140d5a35021acb3a030db511ac68f8ad5e8a27f99220adda,passed,1,[34805],"[""passed""]","[{""abnormal_price_count"":0,""abnormal_volume_count"":0,""duplicated_bars"":0,""id"":34805,""missing_bars"":0}]",True
