calendar_boundary_status,consumer,contract_role,effective_target_end,materialization_policy,period,product,profile_id,requirement_level,target_end,target_id,target_start
verified,backtest,dominant_main,2026-06-26,required,15m,jm,intraday_research_v1,hard,2026-06-28,hard:backtest:jm:15m:2023-06-28:2026-06-28,2023-06-28
verified,backtest,dominant_main,2026-06-26,required,1d,jm,intraday_research_v1,hard,2026-06-28,hard:backtest:jm:1d:2023-06-28:2026-06-28,2023-06-28
verified,backtest,dominant_main,2026-06-26,required,5m,jm,intraday_research_v1,hard,2026-06-28,hard:backtest:jm:5m:2023-06-28:2026-06-28,2023-06-28
verified,live_observation,dominant_main,2026-07-10,required,15m,jm,live_observation_v1,hard,2026-07-10,hard:live_observation:jm:15m:2023-01-03:2026-07-10,2023-01-03
verified,live_observation,dominant_main,2026-07-10,required,1m,jm,live_observation_v1,hard,2026-07-10,hard:live_observation:jm:1m:2023-01-03:2026-07-10,2023-01-03
verified,live_observation,dominant_main,2026-07-10,required,5m,jm,live_observation_v1,hard,2026-07-10,hard:live_observation:jm:5m:2023-01-03:2026-07-10,2023-01-03
verified,signal,dominant_main,2026-07-10,required,15m,jm,intraday_research_v1,hard,2026-07-10,hard:signal:jm:15m:2023-01-03:2026-07-10,2023-01-03
verified,signal,dominant_main,2026-07-10,required,5m,jm,intraday_research_v1,hard,2026-07-10,hard:signal:jm:5m:2023-01-03:2026-07-10,2023-01-03
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,a,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:a:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,a,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:a:1d:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1m,a,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:a:1m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,30m,a,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:a:30m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,5m,a,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:a:5m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,60m,a,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:a:60m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,15m,ad,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:ad:15m:source:2026-07-10,
verified,profile_registry,dominant_main,2026-07-10,verify_only,1d,ad,intraday_research_v1,profile_eligible,2026-07-10,profile_eligible:profile_registry:ad:1d:source:2026-07-10,
