target_id,requirement_level,consumer,profile_id,product,contract_role,period,target_start,target_end,effective_target_end,calendar_boundary_status,source_1m_file_id,source_1m_path,source_1m_version,source_1m_checksum,source_checksum_status,source_1m_quality,derived_file_id,derived_path,derived_version,derived_data_role,derived_quality,physical_min_datetime,physical_max_datetime,window_class,source_interval,source_bar_count_status,session_boundary_status,source_gap_count,recomputed_row_count,content_comparison_status,checksum_status,lineage_status,coverage_status,active_binding_status,recommended_action
profile_eligible:profile_registry:a:15m:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,a,dominant_main,15m,,2026-07-10,2026-07-10,verified,82765,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1m_20020315_20260711_v2.parquet,rqdata_a_standard_1m_20020315_20260711_v2,8975a3b291c612b314e442f3b94c026d161bfe944d737566de4c86f899b7f8fe,matched,passed,102740,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_15m_20100104_20260710_full_history_rebuild_004b.parquet,fh_rebuild004b_a_15m_20100104_20260710,candidate,passed,2010-01-04T09:15:00,2026-07-10T15:00:00,provider_earliest_candidate,1m,present,not_computed,,,not_computed,matched,verified,covered,active_other_version,none
profile_eligible:profile_registry:a:1d:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,a,dominant_main,1d,,2026-07-10,2026-07-10,verified,82765,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1m_20020315_20260711_v2.parquet,rqdata_a_standard_1m_20020315_20260711_v2,8975a3b291c612b314e442f3b94c026d161bfe944d737566de4c86f899b7f8fe,matched,passed,82673,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20020315_20260711_v2.parquet,rqdata_a_standard_1d_20020315_20260711_v2,primary,passed,2002-03-15T00:00:00,2026-07-10T00:00:00,provider_earliest_candidate,1m,column_missing,not_computed,,,not_computed,matched,lineage_unverified,covered,active_other_version,rebuild_from_exact_passed_1m_candidate
profile_eligible:profile_registry:a:1m:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,a,dominant_main,1m,,2026-07-10,2026-07-10,verified,82765,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1m_20020315_20260711_v2.parquet,rqdata_a_standard_1m_20020315_20260711_v2,8975a3b291c612b314e442f3b94c026d161bfe944d737566de4c86f899b7f8fe,matched,passed,,,,,,2010-01-04T09:01:00,2026-07-10T15:00:00,provider_earliest_candidate,1m,not_applicable_source,not_computed,,,not_computed,matched,verified,covered,active_other_version,none
profile_eligible:profile_registry:a:30m:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,a,dominant_main,30m,,2026-07-10,2026-07-10,verified,82765,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1m_20020315_20260711_v2.parquet,rqdata_a_standard_1m_20020315_20260711_v2,8975a3b291c612b314e442f3b94c026d161bfe944d737566de4c86f899b7f8fe,matched,passed,102741,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_30m_20100104_20260710_full_history_rebuild_004b.parquet,fh_rebuild004b_a_30m_20100104_20260710,candidate,passed,2010-01-04T09:30:00,2026-07-10T15:00:00,provider_earliest_candidate,1m,present,not_computed,,,not_computed,matched,verified,covered,active_other_version,none
profile_eligible:profile_registry:a:5m:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,a,dominant_main,5m,,2026-07-10,2026-07-10,verified,82765,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1m_20020315_20260711_v2.parquet,rqdata_a_standard_1m_20020315_20260711_v2,8975a3b291c612b314e442f3b94c026d161bfe944d737566de4c86f899b7f8fe,matched,passed,102742,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_5m_20100104_20260710_full_history_rebuild_004b.parquet,fh_rebuild004b_a_5m_20100104_20260710,candidate,passed,2010-01-04T09:05:00,2026-07-10T15:00:00,provider_earliest_candidate,1m,present,not_computed,,,not_computed,matched,verified,covered,active_other_version,none
profile_eligible:profile_registry:a:60m:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,a,dominant_main,60m,,2026-07-10,2026-07-10,verified,82765,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1m_20020315_20260711_v2.parquet,rqdata_a_standard_1m_20020315_20260711_v2,8975a3b291c612b314e442f3b94c026d161bfe944d737566de4c86f899b7f8fe,matched,passed,102743,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_60m_20100104_20260710_full_history_rebuild_004b.parquet,fh_rebuild004b_a_60m_20100104_20260710,candidate,passed,2010-01-04T10:00:00,2026-07-10T15:00:00,provider_earliest_candidate,1m,present,not_computed,,,not_computed,matched,verified,covered,active_other_version,none
profile_eligible:profile_registry:ad:15m:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,ad,dominant_main,15m,,2026-07-10,2026-07-10,verified,71645,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260712_v2.parquet,rqdata_ad_standard_1m_20230103_20260712_v2,fe2d4e48fe990db5822211714760d78023ef1b2a2e6af9d44c3d74cef51813bd,matched,passed,71703,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_15m_20230103_20260712_v2.parquet,rqdata_ad_standard_15m_20230103_20260712_v2,primary,passed,2025-06-10T09:15:00,2026-07-10T15:00:00,2023+,1m,present,not_computed,,,not_computed,matched,lineage_unverified,covered,active_other_version,rebuild_from_exact_passed_1m_candidate
profile_eligible:profile_registry:ad:1d:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,ad,dominant_main,1d,,2026-07-10,2026-07-10,verified,71645,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260712_v2.parquet,rqdata_ad_standard_1m_20230103_20260712_v2,fe2d4e48fe990db5822211714760d78023ef1b2a2e6af9d44c3d74cef51813bd,matched,passed,71646,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1d_20230103_20260712_v2.parquet,rqdata_ad_standard_1d_20230103_20260712_v2,primary,passed,2025-06-10T00:00:00,2026-07-10T00:00:00,2023+,,column_missing,not_computed,,,not_computed,matched,lineage_unverified,covered,active_other_version,rebuild_from_exact_passed_1m_candidate
profile_eligible:profile_registry:ad:1m:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,ad,dominant_main,1m,,2026-07-10,2026-07-10,verified,71645,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260712_v2.parquet,rqdata_ad_standard_1m_20230103_20260712_v2,fe2d4e48fe990db5822211714760d78023ef1b2a2e6af9d44c3d74cef51813bd,matched,passed,,,,,,2025-06-10T09:01:00,2026-07-10T15:00:00,2023+,1m,not_applicable_source,not_computed,,,not_computed,matched,verified,covered,active_other_version,none
profile_eligible:profile_registry:ad:30m:source:2026-07-10,profile_eligible,profile_registry,intraday_research_v1,ad,dominant_main,30m,,2026-07-10,2026-07-10,verified,71645,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260712_v2.parquet,rqdata_ad_standard_1m_20230103_20260712_v2,fe2d4e48fe990db5822211714760d78023ef1b2a2e6af9d44c3d74cef51813bd,matched,passed,71704,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_30m_20230103_20260712_v2.parquet,rqdata_ad_standard_30m_20230103_20260712_v2,primary,passed,2025-06-10T09:30:00,2026-07-10T15:00:00,2023+,1m,present,not_computed,,,not_computed,matched,lineage_unverified,covered,active_other_version,rebuild_from_exact_passed_1m_candidate
