active_binding_status,calendar_boundary_status,checksum_status,consumer,content_comparison_status,contract_role,coverage_status,derived_data_role,derived_file_id,derived_path,derived_quality,derived_version,effective_target_end,lineage_status,materialization_policy,period,physical_max_datetime,physical_min_datetime,product,profile_id,recommended_action,recomputed_row_count,requirement_level,residual_reason,session_boundary_status,source_1m_checksum,source_1m_file_id,source_1m_path,source_1m_quality,source_1m_version,source_bar_count_status,source_checksum_status,source_gap_count,source_interval,target_end,target_id,target_start,window_class
active_other_version,verified,matched,profile_registry,not_computed,dominant_main,covered,primary,82673,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1d_20020315_20260711_v2.parquet,passed,rqdata_a_standard_1d_20020315_20260711_v2,2026-07-10,lineage_unverified,verify_only,1d,2026-07-10T00:00:00,2002-03-15T00:00:00,a,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified,not_computed,8975a3b291c612b314e442f3b94c026d161bfe944d737566de4c86f899b7f8fe,82765,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=a/contract=a.MAIN/a_MAIN_1m_20020315_20260711_v2.parquet,passed,rqdata_a_standard_1m_20020315_20260711_v2,column_missing,matched,,1m,2026-07-10,profile_eligible:profile_registry:a:1d:source:2026-07-10,,provider_earliest_candidate
active_other_version,verified,matched,profile_registry,not_computed,dominant_main,covered,primary,71703,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_15m_20230103_20260712_v2.parquet,passed,rqdata_ad_standard_15m_20230103_20260712_v2,2026-07-10,lineage_unverified,verify_only,15m,2026-07-10T15:00:00,2025-06-10T09:15:00,ad,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified,not_computed,fe2d4e48fe990db5822211714760d78023ef1b2a2e6af9d44c3d74cef51813bd,71645,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260712_v2.parquet,passed,rqdata_ad_standard_1m_20230103_20260712_v2,present,matched,,1m,2026-07-10,profile_eligible:profile_registry:ad:15m:source:2026-07-10,,2023+
active_other_version,verified,matched,profile_registry,not_computed,dominant_main,covered,primary,71646,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1d_20230103_20260712_v2.parquet,passed,rqdata_ad_standard_1d_20230103_20260712_v2,2026-07-10,lineage_unverified,verify_only,1d,2026-07-10T00:00:00,2025-06-10T00:00:00,ad,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified,not_computed,fe2d4e48fe990db5822211714760d78023ef1b2a2e6af9d44c3d74cef51813bd,71645,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260712_v2.parquet,passed,rqdata_ad_standard_1m_20230103_20260712_v2,column_missing,matched,,,2026-07-10,profile_eligible:profile_registry:ad:1d:source:2026-07-10,,2023+
active_other_version,verified,matched,profile_registry,not_computed,dominant_main,covered,primary,71704,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_30m_20230103_20260712_v2.parquet,passed,rqdata_ad_standard_30m_20230103_20260712_v2,2026-07-10,lineage_unverified,verify_only,30m,2026-07-10T15:00:00,2025-06-10T09:30:00,ad,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified,not_computed,fe2d4e48fe990db5822211714760d78023ef1b2a2e6af9d44c3d74cef51813bd,71645,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260712_v2.parquet,passed,rqdata_ad_standard_1m_20230103_20260712_v2,present,matched,,1m,2026-07-10,profile_eligible:profile_registry:ad:30m:source:2026-07-10,,2023+
active_other_version,verified,matched,profile_registry,not_computed,dominant_main,covered,primary,71702,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_5m_20230103_20260712_v2.parquet,passed,rqdata_ad_standard_5m_20230103_20260712_v2,2026-07-10,lineage_unverified,verify_only,5m,2026-07-10T15:00:00,2025-06-10T09:05:00,ad,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified,not_computed,fe2d4e48fe990db5822211714760d78023ef1b2a2e6af9d44c3d74cef51813bd,71645,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260712_v2.parquet,passed,rqdata_ad_standard_1m_20230103_20260712_v2,present,matched,,1m,2026-07-10,profile_eligible:profile_registry:ad:5m:source:2026-07-10,,2023+
active_other_version,verified,matched,profile_registry,not_computed,dominant_main,covered,primary,71705,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_60m_20230103_20260712_v2.parquet,passed,rqdata_ad_standard_60m_20230103_20260712_v2,2026-07-10,lineage_unverified,verify_only,60m,2026-07-10T15:00:00,2025-06-10T10:00:00,ad,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified,not_computed,fe2d4e48fe990db5822211714760d78023ef1b2a2e6af9d44c3d74cef51813bd,71645,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=ad.MAIN/ad_MAIN_1m_20230103_20260712_v2.parquet,passed,rqdata_ad_standard_1m_20230103_20260712_v2,present,matched,,1m,2026-07-10,profile_eligible:profile_registry:ad:60m:source:2026-07-10,,2023+
active_other_version,verified,matched,profile_registry,not_computed,dominant_main,covered,primary,82692,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1d_20120510_20260711_v2.parquet,passed,rqdata_ag_standard_1d_20120510_20260711_v2,2026-07-10,lineage_unverified,verify_only,1d,2026-07-10T00:00:00,2012-05-10T00:00:00,ag,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified,not_computed,686566b5a61ecef53f5dbbe8e1c91388e29cb3f7b637e327f462454f61406adc,82784,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ag/contract=ag.MAIN/ag_MAIN_1m_20120510_20260711_v2.parquet,passed,rqdata_ag_standard_1m_20120510_20260711_v2,column_missing,matched,,1m,2026-07-10,profile_eligible:profile_registry:ag:1d:source:2026-07-10,,provider_earliest_candidate
active_other_version,verified,matched,profile_registry,not_computed,dominant_main,covered,primary,82669,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1d_20000104_20260711_v2.parquet,passed,rqdata_al_standard_1d_20000104_20260711_v2,2026-07-10,lineage_unverified,verify_only,1d,2026-07-10T00:00:00,2000-01-05T00:00:00,al,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified,not_computed,a5d7f7949a736a7229c3bbf9c65d226fec39e26406e1f935a91269a5caaf0c63,82761,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=al/contract=al.MAIN/al_MAIN_1m_20000104_20260711_v2.parquet,passed,rqdata_al_standard_1m_20000104_20260711_v2,column_missing,matched,,1m,2026-07-10,profile_eligible:profile_registry:al:1d:source:2026-07-10,,provider_earliest_candidate
active_other_version,verified,matched,profile_registry,not_computed,dominant_main,covered,primary,71707,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_15m_20230103_20260712_v2.parquet,passed,rqdata_ao_standard_15m_20230103_20260712_v2,2026-07-10,lineage_unverified,verify_only,15m,2026-07-10T15:00:00,2023-06-19T09:15:00,ao,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified,not_computed,1692baf057ca898f12d363a1262fc961e9b591e51f3dd338f2887d25ad9c45aa,71648,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_1m_20230103_20260712_v2.parquet,passed,rqdata_ao_standard_1m_20230103_20260712_v2,present,matched,,1m,2026-07-10,profile_eligible:profile_registry:ao:15m:source:2026-07-10,,2023+
active_other_version,verified,matched,profile_registry,not_computed,dominant_main,covered,primary,71649,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_1d_20230103_20260712_v2.parquet,passed,rqdata_ao_standard_1d_20230103_20260712_v2,2026-07-10,lineage_unverified,verify_only,1d,2026-07-10T00:00:00,2023-06-19T00:00:00,ao,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified,not_computed,1692baf057ca898f12d363a1262fc961e9b591e51f3dd338f2887d25ad9c45aa,71648,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_1m_20230103_20260712_v2.parquet,passed,rqdata_ao_standard_1m_20230103_20260712_v2,column_missing,matched,,,2026-07-10,profile_eligible:profile_registry:ao:1d:source:2026-07-10,,2023+
active_other_version,verified,matched,profile_registry,not_computed,dominant_main,covered,primary,71708,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_30m_20230103_20260712_v2.parquet,passed,rqdata_ao_standard_30m_20230103_20260712_v2,2026-07-10,lineage_unverified,verify_only,30m,2026-07-10T15:00:00,2023-06-19T09:30:00,ao,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified,not_computed,1692baf057ca898f12d363a1262fc961e9b591e51f3dd338f2887d25ad9c45aa,71648,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_1m_20230103_20260712_v2.parquet,passed,rqdata_ao_standard_1m_20230103_20260712_v2,present,matched,,1m,2026-07-10,profile_eligible:profile_registry:ao:30m:source:2026-07-10,,2023+
active_other_version,verified,matched,profile_registry,not_computed,dominant_main,covered,primary,71706,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_5m_20230103_20260712_v2.parquet,passed,rqdata_ao_standard_5m_20230103_20260712_v2,2026-07-10,lineage_unverified,verify_only,5m,2026-07-10T15:00:00,2023-06-19T09:05:00,ao,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified,not_computed,1692baf057ca898f12d363a1262fc961e9b591e51f3dd338f2887d25ad9c45aa,71648,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_1m_20230103_20260712_v2.parquet,passed,rqdata_ao_standard_1m_20230103_20260712_v2,present,matched,,1m,2026-07-10,profile_eligible:profile_registry:ao:5m:source:2026-07-10,,2023+
active_other_version,verified,matched,profile_registry,not_computed,dominant_main,covered,primary,71709,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_60m_20230103_20260712_v2.parquet,passed,rqdata_ao_standard_60m_20230103_20260712_v2,2026-07-10,lineage_unverified,verify_only,60m,2026-07-10T15:00:00,2023-06-19T10:00:00,ao,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified,not_computed,1692baf057ca898f12d363a1262fc961e9b591e51f3dd338f2887d25ad9c45aa,71648,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ao/contract=ao.MAIN/ao_MAIN_1m_20230103_20260712_v2.parquet,passed,rqdata_ao_standard_1m_20230103_20260712_v2,present,matched,,1m,2026-07-10,profile_eligible:profile_registry:ao:60m:source:2026-07-10,,2023+
active_other_version,verified,matched,profile_registry,not_computed,dominant_main,covered,primary,82720,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_1d_20171222_20260711_v2.parquet,passed,rqdata_ap_standard_1d_20171222_20260711_v2,2026-07-10,lineage_unverified,verify_only,1d,2026-07-10T00:00:00,2017-12-22T00:00:00,ap,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified,not_computed,95b7936de7dd84ec6e5dfb897e700754e96fc55d75e7223888681e4c79dd9d89,82743,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=CZCE/symbol=ap/contract=ap.MAIN/ap_MAIN_1m_20171222_20260711_v2.parquet,passed,rqdata_ap_standard_1m_20171222_20260711_v2,column_missing,matched,,1m,2026-07-10,profile_eligible:profile_registry:ap:1d:source:2026-07-10,,provider_earliest_candidate
active_other_version,verified,matched,profile_registry,not_computed,dominant_main,covered,primary,82683,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=SHFE/symbol=au/contract=au.MAIN/au_MAIN_1d_20080109_20260711_v2.parquet,passed,rqdata_au_standard_1d_20080109_20260711_v2,2026-07-10,lineage_unverified,verify_only,1d,2026-07-10T00:00:00,2008-01-09T00:00:00,au,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified,not_computed,20c0256b49127294721e945aa0eedd9ee37ff6a07e558a25c7f569297e597f92,82776,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=au/contract=au.MAIN/au_MAIN_1m_20080109_20260711_v2.parquet,passed,rqdata_au_standard_1m_20080109_20260711_v2,column_missing,matched,,1m,2026-07-10,profile_eligible:profile_registry:au:1d:source:2026-07-10,,provider_earliest_candidate
active_selected,verified,matched,profile_registry,not_computed,dominant_main,partial,primary,56436,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_1d_20200102_20260711_v2.parquet,passed,rqdata_b_standard_1d_20200102_20260711_v2,2026-07-10,lineage_unverified,verify_only,1d,2026-07-10T00:00:00,2020-01-02T00:00:00,b,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified|partial,not_computed,4d0a25fcaba3f154a5ebbe23e4b9e1b4450f4636684a8477a8746987150489a0,82769,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=b/contract=b.MAIN/b_MAIN_1m_20041222_20260711_v2.parquet,passed,rqdata_b_standard_1m_20041222_20260711_v2,column_missing,matched,,1m,2026-07-10,profile_eligible:profile_registry:b:1d:source:2026-07-10,,2020+
missing,verified,missing,profile_registry,not_computed,dominant_main,missing,,,,missing,,2026-07-10,lineage_unverified,verify_only,1d,,,bb,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,checksum_missing|lineage_unverified|missing,not_computed,7f3eda947ec72e9314458196d77008cf52c1f7458746551e6691cf4790330646,82757,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=DCE/symbol=bb/contract=bb.MAIN/bb_MAIN_1m_20131206_20260711_v2.parquet,passed,rqdata_bb_standard_1m_20131206_20260711_v2,file_missing,matched,,,2026-07-10,profile_eligible:profile_registry:bb:1d:source:2026-07-10,,missing
active_other_version,verified,matched,profile_registry,not_computed,dominant_main,covered,primary,71510,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=INE/symbol=bc/contract=bc.MAIN/bc_MAIN_15m_20201119_20260711_v2.parquet,passed,rqdata_bc_standard_15m_20201119_20260711_v2,2026-07-10,lineage_unverified,verify_only,15m,2026-07-10T15:00:00,2020-11-19T09:15:00,bc,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified,not_computed,d0288b1e193a852632a13c0207685f5f7a55952f6d747476c8a46fa5c50827ce,71333,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=bc.MAIN/bc_MAIN_1m_20201119_20260711_v2.parquet,passed,rqdata_bc_standard_1m_20201119_20260711_v2,present,matched,,1m,2026-07-10,profile_eligible:profile_registry:bc:15m:source:2026-07-10,,2020+
active_selected,verified,matched,profile_registry,not_computed,dominant_main,covered,primary,56440,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=INE/symbol=bc/contract=bc.MAIN/bc_MAIN_1d_20201119_20260711_v2.parquet,passed,rqdata_bc_standard_1d_20201119_20260711_v2,2026-07-10,lineage_unverified,verify_only,1d,2026-07-10T00:00:00,2020-11-19T00:00:00,bc,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified,not_computed,d0288b1e193a852632a13c0207685f5f7a55952f6d747476c8a46fa5c50827ce,71333,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=bc.MAIN/bc_MAIN_1m_20201119_20260711_v2.parquet,passed,rqdata_bc_standard_1m_20201119_20260711_v2,column_missing,matched,,1m,2026-07-10,profile_eligible:profile_registry:bc:1d:source:2026-07-10,,2020+
active_other_version,verified,matched,profile_registry,not_computed,dominant_main,covered,primary,71511,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=INE/symbol=bc/contract=bc.MAIN/bc_MAIN_30m_20201119_20260711_v2.parquet,passed,rqdata_bc_standard_30m_20201119_20260711_v2,2026-07-10,lineage_unverified,verify_only,30m,2026-07-10T15:00:00,2020-11-19T09:30:00,bc,intraday_research_v1,rebuild_from_exact_passed_1m_candidate,,profile_eligible,lineage_unverified,not_computed,d0288b1e193a852632a13c0207685f5f7a55952f6d747476c8a46fa5c50827ce,71333,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=INE/symbol=bc/contract=bc.MAIN/bc_MAIN_1m_20201119_20260711_v2.parquet,passed,rqdata_bc_standard_1m_20201119_20260711_v2,present,matched,,1m,2026-07-10,profile_eligible:profile_registry:bc:30m:source:2026-07-10,,2020+
