action,table,identity,before,after
session_retire,trading_sessions,{'id': 35},"{'id': 35, 'exchange_code': 'CNFE', 'instrument_symbol': 'jm', 'session_name': 'regular', 'start_time': '09:00:00', 'end_time': '15:00:00', 'crosses_midnight': False, 'is_active': True, 'provider': 'rqdata'}","{'id': 35, 'exchange_code': 'CNFE', 'instrument_symbol': 'jm', 'session_name': 'regular', 'start_time': '09:00:00', 'end_time': '15:00:00', 'crosses_midnight': False, 'is_active': False, 'provider': 'rqdata'}"
session_insert,trading_sessions,"{'exchange_code': 'DCE', 'instrument_symbol': 'jm', 'session_name': 'night'}",,"{'exchange_code': 'DCE', 'instrument_symbol': 'jm', 'session_name': 'night', 'start_time': '21:00:00', 'end_time': '23:00:00', 'crosses_midnight': False, 'is_active': True, 'provider': 'rqdata_contract_v1'}"
session_insert,trading_sessions,"{'exchange_code': 'DCE', 'instrument_symbol': 'jm', 'session_name': 'day_am_1'}",,"{'exchange_code': 'DCE', 'instrument_symbol': 'jm', 'session_name': 'day_am_1', 'start_time': '09:00:00', 'end_time': '10:15:00', 'crosses_midnight': False, 'is_active': True, 'provider': 'rqdata_contract_v1'}"
session_insert,trading_sessions,"{'exchange_code': 'DCE', 'instrument_symbol': 'jm', 'session_name': 'day_am_2'}",,"{'exchange_code': 'DCE', 'instrument_symbol': 'jm', 'session_name': 'day_am_2', 'start_time': '10:30:00', 'end_time': '11:30:00', 'crosses_midnight': False, 'is_active': True, 'provider': 'rqdata_contract_v1'}"
session_insert,trading_sessions,"{'exchange_code': 'DCE', 'instrument_symbol': 'jm', 'session_name': 'day_pm'}",,"{'exchange_code': 'DCE', 'instrument_symbol': 'jm', 'session_name': 'day_pm', 'start_time': '13:30:00', 'end_time': '15:00:00', 'crosses_midnight': False, 'is_active': True, 'provider': 'rqdata_contract_v1'}"
calendar_update,trading_calendars,"{'id': 27001, 'trade_date': '2023-01-04'}","{'id': 27001, 'exchange_code': 'DCE', 'trade_date': '2023-01-04', 'has_night_session': False}","{'id': 27001, 'exchange_code': 'DCE', 'trade_date': '2023-01-04', 'has_night_session': True}"
calendar_update,trading_calendars,"{'id': 27002, 'trade_date': '2023-01-05'}","{'id': 27002, 'exchange_code': 'DCE', 'trade_date': '2023-01-05', 'has_night_session': False}","{'id': 27002, 'exchange_code': 'DCE', 'trade_date': '2023-01-05', 'has_night_session': True}"
calendar_update,trading_calendars,"{'id': 27003, 'trade_date': '2023-01-06'}","{'id': 27003, 'exchange_code': 'DCE', 'trade_date': '2023-01-06', 'has_night_session': False}","{'id': 27003, 'exchange_code': 'DCE', 'trade_date': '2023-01-06', 'has_night_session': True}"
calendar_update,trading_calendars,"{'id': 27004, 'trade_date': '2023-01-09'}","{'id': 27004, 'exchange_code': 'DCE', 'trade_date': '2023-01-09', 'has_night_session': False}","{'id': 27004, 'exchange_code': 'DCE', 'trade_date': '2023-01-09', 'has_night_session': True}"
calendar_update,trading_calendars,"{'id': 27005, 'trade_date': '2023-01-10'}","{'id': 27005, 'exchange_code': 'DCE', 'trade_date': '2023-01-10', 'has_night_session': False}","{'id': 27005, 'exchange_code': 'DCE', 'trade_date': '2023-01-10', 'has_night_session': True}"
