asset_identity_key,physical_path,manifest_record_count,manifest_sources,declared_data_versions,declared_row_counts,declared_min_datetimes,declared_max_datetimes,declared_checksums,declared_quality_statuses,declared_market_data_file_ids,declared_quality_report_ids,identity_conflict
ad|actual_contract|AD2511|15m|rqdata|primary|rq_acb_ad_AD2511_15m_20250610_20250916_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ad/contract=AD2511/AD2511_15m_20250610_20250916.parquet,1,"[""data/manifests/rqdata_actual_contract_bars_ad_AD2511_20250610_20250916.csv#2""]","[""rq_acb_ad_AD2511_15m_20250610_20250916_v1""]",[2185],"[""2025-06-10T09:15:00""]","[""2025-09-16T15:00:00""]","[""c49dfa77f4df8a1b750f2446d368ec3993f7ae35fa6cb81feb9c2c6640b97b09""]","[""passed""]",[47744],[47612],False
ad|actual_contract|AD2511|1m|rqdata|primary|rq_acb_ad_AD2511_1m_20250610_20250916_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=AD2511/AD2511_1m_20250610_20250916.parquet,1,"[""data/manifests/rqdata_actual_contract_bars_ad_AD2511_20250610_20250916.csv#3""]","[""rq_acb_ad_AD2511_1m_20250610_20250916_v1""]",[32775],"[""2025-06-10T09:01:00""]","[""2025-09-16T15:00:00""]","[""dd7e3768e8f13ae35a6163e72448717c8216301844c8276c3c5715b228cef58e""]","[""passed""]",[47742],[47610],False
ad|actual_contract|AD2511|30m|rqdata|primary|rq_acb_ad_AD2511_30m_20250610_20250916_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=SHFE/symbol=ad/contract=AD2511/AD2511_30m_20250610_20250916.parquet,1,"[""data/manifests/rqdata_actual_contract_bars_ad_AD2511_20250610_20250916.csv#4""]","[""rq_acb_ad_AD2511_30m_20250610_20250916_v1""]",[1128],"[""2025-06-10T09:30:00""]","[""2025-09-16T15:00:00""]","[""f13dd1c6fcfdd0842d8275db9c79da049fe03d5c330a0c2b72eac887f488667f""]","[""passed""]",[47745],[47613],False
ad|actual_contract|AD2511|5m|rqdata|primary|rq_acb_ad_AD2511_5m_20250610_20250916_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=ad/contract=AD2511/AD2511_5m_20250610_20250916.parquet,1,"[""data/manifests/rqdata_actual_contract_bars_ad_AD2511_20250610_20250916.csv#5""]","[""rq_acb_ad_AD2511_5m_20250610_20250916_v1""]",[6555],"[""2025-06-10T09:05:00""]","[""2025-09-16T15:00:00""]","[""1a8c4c6b7fb9f7008688351a04259a530783103def20fe2caa246bb686eba9c9""]","[""passed""]",[47743],[47611],False
ad|actual_contract|AD2511|60m|rqdata|primary|rq_acb_ad_AD2511_60m_20250610_20250916_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=SHFE/symbol=ad/contract=AD2511/AD2511_60m_20250610_20250916.parquet,1,"[""data/manifests/rqdata_actual_contract_bars_ad_AD2511_20250610_20250916.csv#6""]","[""rq_acb_ad_AD2511_60m_20250610_20250916_v1""]",[635],"[""2025-06-10T10:00:00""]","[""2025-09-16T15:00:00""]","[""cc672824d1d4cc92b44d9e35ff34caea8272671ded20cd4a5b1e0eee4e070c89""]","[""passed""]",[47746],[47614],False
ad|actual_contract|AD2512|15m|rqdata|primary|rq_acb_ad_AD2512_15m_20250917_20251027_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ad/contract=AD2512/AD2512_15m_20250917_20251027.parquet,1,"[""data/manifests/rqdata_actual_contract_bars_ad_AD2512_20250917_20251027.csv#2""]","[""rq_acb_ad_AD2512_15m_20250917_20251027_v1""]",[697],"[""2025-09-16T21:15:00""]","[""2025-10-27T15:00:00""]","[""663efd42792cb089d999dd7f9c4cc62fd24d42242af364e8aa045cae500dc7bb""]","[""passed""]",[47750],[47617],False
ad|actual_contract|AD2512|1m|rqdata|primary|rq_acb_ad_AD2512_1m_20250917_20251027_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=AD2512/AD2512_1m_20250917_20251027.parquet,1,"[""data/manifests/rqdata_actual_contract_bars_ad_AD2512_20250917_20251027.csv#3""]","[""rq_acb_ad_AD2512_1m_20250917_20251027_v1""]",[10455],"[""2025-09-16T21:01:00""]","[""2025-10-27T15:00:00""]","[""396a9c88561563622adaf2ef1152af601cf4cac6a284cf1ee365f9e4faf8bbfe""]","[""passed""]",[47748],[47615],False
ad|actual_contract|AD2512|30m|rqdata|primary|rq_acb_ad_AD2512_30m_20250917_20251027_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=SHFE/symbol=ad/contract=AD2512/AD2512_30m_20250917_20251027.parquet,1,"[""data/manifests/rqdata_actual_contract_bars_ad_AD2512_20250917_20251027.csv#4""]","[""rq_acb_ad_AD2512_30m_20250917_20251027_v1""]",[360],"[""2025-09-16T21:30:00""]","[""2025-10-27T15:00:00""]","[""4538c182cf127b4fa32a27505a5d5efff30a4575d7c39033c32c0c5ac5f8bc4c""]","[""passed""]",[47751],[47618],False
ad|actual_contract|AD2512|5m|rqdata|primary|rq_acb_ad_AD2512_5m_20250917_20251027_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=ad/contract=AD2512/AD2512_5m_20250917_20251027.parquet,1,"[""data/manifests/rqdata_actual_contract_bars_ad_AD2512_20250917_20251027.csv#5""]","[""rq_acb_ad_AD2512_5m_20250917_20251027_v1""]",[2091],"[""2025-09-16T21:05:00""]","[""2025-10-27T15:00:00""]","[""2ad1a66a88d1fb134cd7d6e181d53646f4b38bb52dd021e4081b91d15b8f64f1""]","[""passed""]",[47749],[47616],False
ad|actual_contract|AD2512|60m|rqdata|primary|rq_acb_ad_AD2512_60m_20250917_20251027_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=SHFE/symbol=ad/contract=AD2512/AD2512_60m_20250917_20251027.parquet,1,"[""data/manifests/rqdata_actual_contract_bars_ad_AD2512_20250917_20251027.csv#6""]","[""rq_acb_ad_AD2512_60m_20250917_20251027_v1""]",[203],"[""2025-09-16T22:00:00""]","[""2025-10-27T15:00:00""]","[""08cdc601d12aa1b9b062c50c71fd59f76127eee2674ef9bfe411d643cad3a642""]","[""passed""]",[47752],[47619],False
ad|actual_contract|AD2601|15m|rqdata|primary|rq_acb_ad_AD2601_15m_20251028_20251126_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=SHFE/symbol=ad/contract=AD2601/AD2601_15m_20251028_20251126.parquet,1,"[""data/manifests/rqdata_actual_contract_bars_ad_AD2601_20251028_20251126.csv#2""]","[""rq_acb_ad_AD2601_15m_20251028_20251126_v1""]",[682],"[""2025-10-27T21:15:00""]","[""2025-11-26T15:00:00""]","[""5be1cd3a964a333f29000e16c416c64dd770d9f8ecd4af785bb15a4769dd0cd2""]","[""passed""]",[47756],[47622],False
ad|actual_contract|AD2601|1m|rqdata|primary|rq_acb_ad_AD2601_1m_20251028_20251126_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1m/exchange=SHFE/symbol=ad/contract=AD2601/AD2601_1m_20251028_20251126.parquet,1,"[""data/manifests/rqdata_actual_contract_bars_ad_AD2601_20251028_20251126.csv#3""]","[""rq_acb_ad_AD2601_1m_20251028_20251126_v1""]",[10230],"[""2025-10-27T21:01:00""]","[""2025-11-26T15:00:00""]","[""576780ede1821ab737de06fae2d05619a45e42c1e4666b85ea6b9c7a35c913ae""]","[""passed""]",[47754],[47620],False
ad|actual_contract|AD2601|30m|rqdata|primary|rq_acb_ad_AD2601_30m_20251028_20251126_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=SHFE/symbol=ad/contract=AD2601/AD2601_30m_20251028_20251126.parquet,1,"[""data/manifests/rqdata_actual_contract_bars_ad_AD2601_20251028_20251126.csv#4""]","[""rq_acb_ad_AD2601_30m_20251028_20251126_v1""]",[352],"[""2025-10-27T21:30:00""]","[""2025-11-26T15:00:00""]","[""c1d5614f4668d14da204dfc6705e48a5786a3c6c37bb2ecbec6d63020f1a0098""]","[""passed""]",[47757],[47623],False
ad|actual_contract|AD2601|5m|rqdata|primary|rq_acb_ad_AD2601_5m_20251028_20251126_v1,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=SHFE/symbol=ad/contract=AD2601/AD2601_5m_20251028_20251126.parquet,1,"[""data/manifests/rqdata_actual_contract_bars_ad_AD2601_20251028_20251126.csv#5""]","[""rq_acb_ad_AD2601_5m_20251028_20251126_v1""]",[2046],"[""2025-10-27T21:05:00""]","[""2025-11-26T15:00:00""]","[""378160de10cdb7042e45d140e3bcd9dce2ed18bf3257d746a20f32b4df5cce1d""]","[""passed""]",[47755],[47621],False
