profile_id,instrument_symbol,contract_code,period,contract_role,target_start,target_end,target_ranges,lineage_required,evidence_source
intraday_research_v1,a,a.MAIN,15m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,a,a.MAIN,1d,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,a,a.MAIN,1m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,a,a.MAIN,30m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,a,a.MAIN,5m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,a,a.MAIN,60m,dominant_main,2010-01-04,2026-07-10,"[[""2010-01-04"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,ad,ad.MAIN,15m,dominant_main,2025-06-10,2026-07-10,"[[""2025-06-10"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,ad,ad.MAIN,1d,dominant_main,2025-06-10,2026-07-10,"[[""2025-06-10"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,ad,ad.MAIN,1m,dominant_main,2025-06-10,2026-07-10,"[[""2025-06-10"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,ad,ad.MAIN,30m,dominant_main,2025-06-10,2026-07-10,"[[""2025-06-10"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,ad,ad.MAIN,5m,dominant_main,2025-06-10,2026-07-10,"[[""2025-06-10"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,ad,ad.MAIN,60m,dominant_main,2025-06-10,2026-07-10,"[[""2025-06-10"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,ag,ag.MAIN,15m,dominant_main,2012-05-10,2026-07-10,"[[""2012-05-10"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,ag,ag.MAIN,1d,dominant_main,2012-05-10,2026-07-10,"[[""2012-05-10"",""2026-07-10""]]",True,audit_v2_expected_windows
intraday_research_v1,ag,ag.MAIN,1m,dominant_main,2012-05-10,2026-07-10,"[[""2012-05-10"",""2026-07-10""]]",False,audit_v2_expected_windows
intraday_research_v1,ag,ag.MAIN,30m,dominant_main,2012-05-10,2026-07-10,"[[""2012-05-10"",""2026-07-10""]]",True,audit_v2_expected_windows
