profile_id,instrument_symbol,contract_code,period,group_key,block_reason,market_data_file_id,evidence_source
intraday_research_v1,a,a.MAIN,15m,a|a.MAIN|15m,checksum_not_verified,71382,rulebook
intraday_research_v1,a,a.MAIN,1d,a|a.MAIN|1d,sealing_unverified,56426,rulebook
intraday_research_v1,a,a.MAIN,1d,a|a.MAIN|1d,checksum_not_verified,82673,rulebook
intraday_research_v1,a,a.MAIN,1m,a|a.MAIN|1m,checksum_not_verified,71301,rulebook
intraday_research_v1,a,a.MAIN,1m,a|a.MAIN|1m,checksum_not_verified,82765,rulebook
intraday_research_v1,a,a.MAIN,30m,a|a.MAIN|30m,checksum_not_verified,71383,rulebook
intraday_research_v1,a,a.MAIN,5m,a|a.MAIN|5m,checksum_not_verified,71381,rulebook
intraday_research_v1,a,a.MAIN,60m,a|a.MAIN|60m,checksum_not_verified,71384,rulebook
intraday_research_v1,ad,ad.MAIN,15m,ad|ad.MAIN|15m,checksum_not_verified,71703,rulebook
intraday_research_v1,ad,ad.MAIN,1d,ad|ad.MAIN|1d,checksum_not_verified,71646,rulebook
intraday_research_v1,ad,ad.MAIN,1m,ad|ad.MAIN|1m,checksum_not_verified,71645,rulebook
intraday_research_v1,ad,ad.MAIN,30m,ad|ad.MAIN|30m,checksum_not_verified,71704,rulebook
intraday_research_v1,ad,ad.MAIN,5m,ad|ad.MAIN|5m,checksum_not_verified,71702,rulebook
intraday_research_v1,ad,ad.MAIN,60m,ad|ad.MAIN|60m,checksum_not_verified,71705,rulebook
intraday_research_v1,ag,ag.MAIN,15m,ag|ag.MAIN|15m,checksum_not_verified,71342,rulebook
intraday_research_v1,ag,ag.MAIN,1d,ag|ag.MAIN|1d,sealing_unverified,56428,rulebook
intraday_research_v1,ag,ag.MAIN,1d,ag|ag.MAIN|1d,checksum_not_verified,82692,rulebook
intraday_research_v1,ag,ag.MAIN,1m,ag|ag.MAIN|1m,checksum_not_verified,71291,rulebook
intraday_research_v1,ag,ag.MAIN,1m,ag|ag.MAIN|1m,checksum_not_verified,82784,rulebook
intraday_research_v1,ag,ag.MAIN,30m,ag|ag.MAIN|30m,checksum_not_verified,71343,rulebook
intraday_research_v1,ag,ag.MAIN,5m,ag|ag.MAIN|5m,checksum_not_verified,71341,rulebook
intraday_research_v1,ag,ag.MAIN,60m,ag|ag.MAIN|60m,checksum_not_verified,71344,rulebook
intraday_research_v1,al,al.MAIN,15m,al|al.MAIN|15m,checksum_not_verified,71354,rulebook
intraday_research_v1,al,al.MAIN,1d,al|al.MAIN|1d,sealing_unverified,56430,rulebook
intraday_research_v1,al,al.MAIN,1d,al|al.MAIN|1d,checksum_not_verified,82669,rulebook
intraday_research_v1,al,al.MAIN,1m,al|al.MAIN|1m,checksum_not_verified,71294,rulebook
intraday_research_v1,al,al.MAIN,1m,al|al.MAIN|1m,checksum_not_verified,82761,rulebook
intraday_research_v1,al,al.MAIN,30m,al|al.MAIN|30m,checksum_not_verified,71355,rulebook
intraday_research_v1,al,al.MAIN,5m,al|al.MAIN|5m,checksum_not_verified,71353,rulebook
intraday_research_v1,al,al.MAIN,60m,al|al.MAIN|60m,checksum_not_verified,71356,rulebook
intraday_research_v1,ao,ao.MAIN,15m,ao|ao.MAIN|15m,checksum_not_verified,71707,rulebook
intraday_research_v1,ao,ao.MAIN,1d,ao|ao.MAIN|1d,checksum_not_verified,71649,rulebook
intraday_research_v1,ao,ao.MAIN,1m,ao|ao.MAIN|1m,checksum_not_verified,71648,rulebook
intraday_research_v1,ao,ao.MAIN,30m,ao|ao.MAIN|30m,checksum_not_verified,71708,rulebook
intraday_research_v1,ao,ao.MAIN,5m,ao|ao.MAIN|5m,checksum_not_verified,71706,rulebook
intraday_research_v1,ao,ao.MAIN,60m,ao|ao.MAIN|60m,checksum_not_verified,71709,rulebook
intraday_research_v1,ap,ap.MAIN,15m,ap|ap.MAIN|15m,checksum_not_verified,71518,rulebook
intraday_research_v1,ap,ap.MAIN,1d,ap|ap.MAIN|1d,sealing_unverified,56432,rulebook
intraday_research_v1,ap,ap.MAIN,1d,ap|ap.MAIN|1d,checksum_not_verified,82720,rulebook
intraday_research_v1,ap,ap.MAIN,1m,ap|ap.MAIN|1m,checksum_not_verified,71335,rulebook
intraday_research_v1,ap,ap.MAIN,1m,ap|ap.MAIN|1m,checksum_not_verified,82743,rulebook
intraday_research_v1,ap,ap.MAIN,30m,ap|ap.MAIN|30m,checksum_not_verified,71519,rulebook
intraday_research_v1,ap,ap.MAIN,5m,ap|ap.MAIN|5m,checksum_not_verified,71517,rulebook
intraday_research_v1,ap,ap.MAIN,60m,ap|ap.MAIN|60m,checksum_not_verified,71520,rulebook
intraday_research_v1,au,au.MAIN,15m,au|au.MAIN|15m,checksum_not_verified,71346,rulebook
intraday_research_v1,au,au.MAIN,1d,au|au.MAIN|1d,sealing_unverified,56434,rulebook
intraday_research_v1,au,au.MAIN,1d,au|au.MAIN|1d,checksum_not_verified,82683,rulebook
intraday_research_v1,au,au.MAIN,1m,au|au.MAIN|1m,checksum_not_verified,71292,rulebook
intraday_research_v1,au,au.MAIN,1m,au|au.MAIN|1m,checksum_not_verified,82776,rulebook
intraday_research_v1,au,au.MAIN,30m,au|au.MAIN|30m,checksum_not_verified,71347,rulebook
intraday_research_v1,au,au.MAIN,5m,au|au.MAIN|5m,checksum_not_verified,71345,rulebook
intraday_research_v1,au,au.MAIN,60m,au|au.MAIN|60m,checksum_not_verified,71348,rulebook
intraday_research_v1,b,b.MAIN,15m,b|b.MAIN|15m,checksum_not_verified,71386,rulebook
intraday_research_v1,b,b.MAIN,1d,b|b.MAIN|1d,sealing_unverified,56436,rulebook
intraday_research_v1,b,b.MAIN,1d,b|b.MAIN|1d,quality_policy_violation,82689,rulebook
intraday_research_v1,b,b.MAIN,1m,b|b.MAIN|1m,checksum_not_verified,71302,rulebook
intraday_research_v1,b,b.MAIN,1m,b|b.MAIN|1m,checksum_not_verified,82769,rulebook
intraday_research_v1,b,b.MAIN,30m,b|b.MAIN|30m,checksum_not_verified,71387,rulebook
intraday_research_v1,b,b.MAIN,5m,b|b.MAIN|5m,checksum_not_verified,71385,rulebook
intraday_research_v1,b,b.MAIN,60m,b|b.MAIN|60m,checksum_not_verified,71388,rulebook
intraday_research_v1,bb,bb.MAIN,15m,bb|bb.MAIN|15m,checksum_not_verified,71582,rulebook
intraday_research_v1,bb,bb.MAIN,1d,bb|bb.MAIN|1d,quality_policy_violation,56438,rulebook
intraday_research_v1,bb,bb.MAIN,1d,bb|bb.MAIN|1d,quality_policy_violation,82705,rulebook
intraday_research_v1,bb,bb.MAIN,1m,bb|bb.MAIN|1m,checksum_not_verified,71533,rulebook
intraday_research_v1,bb,bb.MAIN,1m,bb|bb.MAIN|1m,checksum_not_verified,82757,rulebook
intraday_research_v1,bb,bb.MAIN,30m,bb|bb.MAIN|30m,checksum_not_verified,71583,rulebook
intraday_research_v1,bb,bb.MAIN,5m,bb|bb.MAIN|5m,checksum_not_verified,71581,rulebook
intraday_research_v1,bb,bb.MAIN,60m,bb|bb.MAIN|60m,checksum_not_verified,71584,rulebook
intraday_research_v1,bc,bc.MAIN,15m,bc|bc.MAIN|15m,checksum_not_verified,71510,rulebook
intraday_research_v1,bc,bc.MAIN,1d,bc|bc.MAIN|1d,sealing_unverified,56440,rulebook
intraday_research_v1,bc,bc.MAIN,1m,bc|bc.MAIN|1m,checksum_not_verified,71333,rulebook
intraday_research_v1,bc,bc.MAIN,30m,bc|bc.MAIN|30m,checksum_not_verified,71511,rulebook
intraday_research_v1,bc,bc.MAIN,5m,bc|bc.MAIN|5m,checksum_not_verified,71509,rulebook
intraday_research_v1,bc,bc.MAIN,60m,bc|bc.MAIN|60m,checksum_not_verified,71512,rulebook
intraday_research_v1,br,br.MAIN,15m,br|br.MAIN|15m,checksum_not_verified,71711,rulebook
intraday_research_v1,br,br.MAIN,1d,br|br.MAIN|1d,checksum_not_verified,71652,rulebook
intraday_research_v1,br,br.MAIN,1m,br|br.MAIN|1m,checksum_not_verified,71651,rulebook
intraday_research_v1,br,br.MAIN,30m,br|br.MAIN|30m,checksum_not_verified,71712,rulebook
intraday_research_v1,br,br.MAIN,5m,br|br.MAIN|5m,checksum_not_verified,71710,rulebook
intraday_research_v1,br,br.MAIN,60m,br|br.MAIN|60m,checksum_not_verified,71713,rulebook
intraday_research_v1,bu,bu.MAIN,15m,bu|bu.MAIN|15m,checksum_not_verified,71390,rulebook
intraday_research_v1,bu,bu.MAIN,1d,bu|bu.MAIN|1d,sealing_unverified,56442,rulebook
intraday_research_v1,bu,bu.MAIN,1d,bu|bu.MAIN|1d,checksum_not_verified,82701,rulebook
