profile_id,instrument_symbol,contract_code,period,previous_binding_id,previous_market_data_file_id,previous_data_version,next_market_data_file_id,next_data_version
intraday_research_v1,ad,ad.MAIN,1m,269,55977,rqdata_ad_standard_1m_20230103_20260711_v2,71645,rqdata_ad_standard_1m_20230103_20260712_v2
intraday_research_v1,ao,ao.MAIN,1m,287,55980,rqdata_ao_standard_1m_20230103_20260711_v2,71648,rqdata_ao_standard_1m_20230103_20260712_v2
intraday_research_v1,ap,ap.MAIN,1m,293,55981,rqdata_ap_standard_1m_20230103_20260711_v2,82743,rqdata_ap_standard_1m_20171222_20260711_v2
intraday_research_v1,au,au.MAIN,1m,299,55982,rqdata_au_standard_1m_20230103_20260711_v2,82776,rqdata_au_standard_1m_20080109_20260711_v2
intraday_research_v1,b,b.MAIN,1m,305,55983,rqdata_b_standard_1m_20230103_20260711_v2,82769,rqdata_b_standard_1m_20041222_20260711_v2
intraday_research_v1,bb,bb.MAIN,1m,310,55984,rqdata_bb_standard_1m_20230103_20260711_v2,82757,rqdata_bb_standard_1m_20131206_20260711_v2
intraday_research_v1,bc,bc.MAIN,1m,316,55985,rqdata_bc_standard_1m_20230103_20260711_v2,71333,rqdata_bc_standard_1m_20201119_20260711_v2
intraday_research_v1,br,br.MAIN,1m,322,55986,rqdata_br_standard_1m_20230103_20260711_v2,71651,rqdata_br_standard_1m_20230103_20260712_v2
intraday_research_v1,bu,bu.MAIN,1m,328,55987,rqdata_bu_standard_1m_20230103_20260711_v2,82793,rqdata_bu_standard_1m_20131009_20260711_v2
intraday_research_v1,bz,bz.MAIN,1m,334,55988,rqdata_bz_standard_1m_20230103_20260711_v2,71654,rqdata_bz_standard_1m_20230103_20260712_v2
intraday_research_v1,c,c.MAIN,1m,340,55989,rqdata_c_standard_1m_20230103_20260711_v2,82768,rqdata_c_standard_1m_20040922_20260711_v2
intraday_research_v1,cf,cf.MAIN,1m,346,55990,rqdata_cf_standard_1m_20230103_20260711_v2,82766,rqdata_cf_standard_1m_20040601_20260711_v2
intraday_research_v1,cj,cj.MAIN,1m,352,55991,rqdata_cj_standard_1m_20230103_20260711_v2,82738,rqdata_cj_standard_1m_20190430_20260711_v2
intraday_research_v1,cs,cs.MAIN,1m,358,55992,rqdata_cs_standard_1m_20230103_20260711_v2,82751,rqdata_cs_standard_1m_20141219_20260711_v2
intraday_research_v1,cu,cu.MAIN,1m,364,55993,rqdata_cu_standard_1m_20230103_20260711_v2,82762,rqdata_cu_standard_1m_20000104_20260711_v2
intraday_research_v1,cy,cy.MAIN,1m,370,55994,rqdata_cy_standard_1m_20230103_20260711_v2,82744,rqdata_cy_standard_1m_20170818_20260711_v2
intraday_research_v1,eb,eb.MAIN,1m,376,55995,rqdata_eb_standard_1m_20230103_20260711_v2,82733,rqdata_eb_standard_1m_20190926_20260711_v2
intraday_research_v1,ec,ec.MAIN,1m,382,55996,rqdata_ec_standard_1m_20230103_20260711_v2,71657,rqdata_ec_standard_1m_20230103_20260712_v2
intraday_research_v1,eg,eg.MAIN,1m,388,55997,rqdata_eg_standard_1m_20230103_20260711_v2,82739,rqdata_eg_standard_1m_20181210_20260711_v2
intraday_research_v1,fb,fb.MAIN,1m,394,55998,rqdata_fb_standard_1m_20230103_20260711_v2,82758,rqdata_fb_standard_1m_20131206_20260711_v2
intraday_research_v1,fg,fg.MAIN,1m,400,55999,rqdata_fg_standard_1m_20230103_20260711_v2,82788,rqdata_fg_standard_1m_20121203_20260711_v2
intraday_research_v1,fu,fu.MAIN,1m,406,56000,rqdata_fu_standard_1m_20230103_20260711_v2,82767,rqdata_fu_standard_1m_20040825_20260711_v2
intraday_research_v1,hc,hc.MAIN,1m,412,56001,rqdata_hc_standard_1m_20230103_20260711_v2,82755,rqdata_hc_standard_1m_20140321_20260711_v2
intraday_research_v1,i,i.MAIN,1m,418,56002,rqdata_i_standard_1m_20230103_20260711_v2,82794,rqdata_i_standard_1m_20131018_20260711_v2
intraday_research_v1,ic,ic.MAIN,1m,424,56003,rqdata_ic_standard_1m_20230103_20260711_v2,82746,rqdata_ic_standard_1m_20150416_20260711_v2
intraday_research_v1,if,if.MAIN,1m,430,56004,rqdata_if_standard_1m_20230103_20260711_v2,82780,rqdata_if_standard_1m_20100416_20260711_v2
intraday_research_v1,ih,ih.MAIN,1m,436,56005,rqdata_ih_standard_1m_20230103_20260711_v2,82747,rqdata_ih_standard_1m_20150416_20260711_v2
intraday_research_v1,im,im.MAIN,1m,442,56006,rqdata_im_standard_1m_20230103_20260711_v2,71548,rqdata_im_standard_1m_20220722_20260711_v2
intraday_research_v1,j,j.MAIN,1m,448,56007,rqdata_j_standard_1m_20230103_20260711_v2,82782,rqdata_j_standard_1m_20110415_20260711_v2
intraday_research_v1,jd,jd.MAIN,1m,454,56008,rqdata_jd_standard_1m_20230103_20260711_v2,82760,rqdata_jd_standard_1m_20131108_20260711_v2
intraday_research_v1,jr,jr.MAIN,1m,466,56010,rqdata_jr_standard_1m_20230103_20260711_v2,82759,rqdata_jr_standard_1m_20131118_20260711_v2
intraday_research_v1,l,l.MAIN,1m,472,56011,rqdata_l_standard_1m_20230103_20260711_v2,82774,rqdata_l_standard_1m_20070731_20260711_v2
intraday_research_v1,l_f,l_f.MAIN,1m,478,56012,rqdata_l_f_standard_1m_20230103_20260711_v2,71660,rqdata_l_f_standard_1m_20230103_20260712_v2
intraday_research_v1,lc,lc.MAIN,1m,484,56013,rqdata_lc_standard_1m_20230103_20260711_v2,71663,rqdata_lc_standard_1m_20230103_20260712_v2
intraday_research_v1,lg,lg.MAIN,1m,490,56014,rqdata_lg_standard_1m_20230103_20260711_v2,71666,rqdata_lg_standard_1m_20230103_20260712_v2
intraday_research_v1,lh,lh.MAIN,1m,496,56015,rqdata_lh_standard_1m_20230103_20260711_v2,71546,rqdata_lh_standard_1m_20210108_20260711_v2
intraday_research_v1,lu,lu.MAIN,1m,502,56016,rqdata_lu_standard_1m_20230103_20260711_v2,71525,rqdata_lu_standard_1m_20200622_20260711_v2
intraday_research_v1,m,m.MAIN,1m,508,56017,rqdata_m_standard_1m_20230103_20260711_v2,82764,rqdata_m_standard_1m_20000717_20260711_v2
intraday_research_v1,ma,ma.MAIN,1m,514,56018,rqdata_ma_standard_1m_20230103_20260711_v2,82754,rqdata_ma_standard_1m_20140617_20260711_v2
intraday_research_v1,ni,ni.MAIN,1m,520,56019,rqdata_ni_standard_1m_20230103_20260711_v2,82748,rqdata_ni_standard_1m_20150327_20260711_v2
intraday_research_v1,nr,nr.MAIN,1m,526,56020,rqdata_nr_standard_1m_20230103_20260711_v2,82736,rqdata_nr_standard_1m_20190812_20260711_v2
intraday_research_v1,oi,oi.MAIN,1m,532,56021,rqdata_oi_standard_1m_20230103_20260711_v2,82785,rqdata_oi_standard_1m_20120716_20260711_v2
intraday_research_v1,op,op.MAIN,1m,538,56022,rqdata_op_standard_1m_20230103_20260711_v2,71669,rqdata_op_standard_1m_20230103_20260712_v2
intraday_research_v1,p,p.MAIN,1m,544,56023,rqdata_p_standard_1m_20230103_20260711_v2,82775,rqdata_p_standard_1m_20071029_20260711_v2
intraday_research_v1,pb,pb.MAIN,1m,550,56024,rqdata_pb_standard_1m_20230103_20260711_v2,82781,rqdata_pb_standard_1m_20110324_20260711_v2
intraday_research_v1,pd,pd.MAIN,1m,556,56025,rqdata_pd_standard_1m_20230103_20260711_v2,71672,rqdata_pd_standard_1m_20230103_20260712_v2
intraday_research_v1,pf,pf.MAIN,1m,562,56026,rqdata_pf_standard_1m_20230103_20260711_v2,71529,rqdata_pf_standard_1m_20201012_20260711_v2
intraday_research_v1,pg,pg.MAIN,1m,568,56027,rqdata_pg_standard_1m_20230103_20260711_v2,71334,rqdata_pg_standard_1m_20200330_20260711_v2
intraday_research_v1,pk,pk.MAIN,1m,574,56028,rqdata_pk_standard_1m_20230103_20260711_v2,71547,rqdata_pk_standard_1m_20210201_20260711_v2
intraday_research_v1,pl,pl.MAIN,1m,580,56029,rqdata_pl_standard_1m_20230103_20260711_v2,71675,rqdata_pl_standard_1m_20230103_20260712_v2
intraday_research_v1,pm,pm.MAIN,1m,586,56030,rqdata_pm_standard_1m_20230103_20260711_v2,82783,rqdata_pm_standard_1m_20120117_20260711_v2
intraday_research_v1,pp,pp.MAIN,1m,592,56031,rqdata_pp_standard_1m_20230103_20260711_v2,82756,rqdata_pp_standard_1m_20140228_20260711_v2
intraday_research_v1,pp_f,pp_f.MAIN,1m,598,56032,rqdata_pp_f_standard_1m_20230103_20260711_v2,71678,rqdata_pp_f_standard_1m_20230103_20260712_v2
intraday_research_v1,pr,pr.MAIN,1m,604,56033,rqdata_pr_standard_1m_20230103_20260711_v2,71681,rqdata_pr_standard_1m_20230103_20260712_v2
intraday_research_v1,ps,ps.MAIN,1m,610,56034,rqdata_ps_standard_1m_20230103_20260711_v2,71684,rqdata_ps_standard_1m_20230103_20260712_v2
intraday_research_v1,pt,pt.MAIN,1m,616,56035,rqdata_pt_standard_1m_20230103_20260711_v2,71687,rqdata_pt_standard_1m_20230103_20260712_v2
intraday_research_v1,px,px.MAIN,1m,622,56036,rqdata_px_standard_1m_20230103_20260711_v2,71690,rqdata_px_standard_1m_20230103_20260712_v2
intraday_research_v1,rb,rb.MAIN,1m,628,56037,rqdata_rb_standard_1m_20230103_20260711_v2,82777,rqdata_rb_standard_1m_20090327_20260711_v2
intraday_research_v1,ri,ri.MAIN,1m,634,56038,rqdata_ri_standard_1m_20230103_20260711_v2,82786,rqdata_ri_standard_1m_20120724_20260711_v2
intraday_research_v1,rm,rm.MAIN,1m,640,56039,rqdata_rm_standard_1m_20230103_20260711_v2,82789,rqdata_rm_standard_1m_20121228_20260711_v2
intraday_research_v1,rr,rr.MAIN,1m,646,56040,rqdata_rr_standard_1m_20230103_20260711_v2,82735,rqdata_rr_standard_1m_20190816_20260711_v2
intraday_research_v1,rs,rs.MAIN,1m,651,56041,rqdata_rs_standard_1m_20230103_20260711_v2,82790,rqdata_rs_standard_1m_20121228_20260711_v2
intraday_research_v1,ru,ru.MAIN,1m,657,56042,rqdata_ru_standard_1m_20230103_20260711_v2,82763,rqdata_ru_standard_1m_20000104_20260711_v2
intraday_research_v1,sa,sa.MAIN,1m,663,56043,rqdata_sa_standard_1m_20230103_20260711_v2,82732,rqdata_sa_standard_1m_20191206_20260711_v2
intraday_research_v1,sc,sc.MAIN,1m,669,56044,rqdata_sc_standard_1m_20230103_20260711_v2,82742,rqdata_sc_standard_1m_20180326_20260711_v2
intraday_research_v1,sf,sf.MAIN,1m,675,56045,rqdata_sf_standard_1m_20230103_20260711_v2,82752,rqdata_sf_standard_1m_20140808_20260711_v2
intraday_research_v1,sh,sh.MAIN,1m,681,56046,rqdata_sh_standard_1m_20230103_20260711_v2,71693,rqdata_sh_standard_1m_20230103_20260712_v2
intraday_research_v1,si,si.MAIN,1m,687,56047,rqdata_si_standard_1m_20230103_20260711_v2,71336,rqdata_si_standard_1m_20221222_20260711_v2
